[1]| 제114편{{{br}}} 행성의 스랍 정부
[66]| {b{b{7. }b}b}{b{b{{k{k{운명}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{예비}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{단체}k}k}}b}b}
[67]| 운명 예비 단체는, 세계의 상황을 다루는 초인간 행정부의 특별한 봉사에 참여하게 된, 살아있는 남녀들로 구성된다. 이 단체는, 진화하는 세상에서 시간세계의 자녀들에게 자비와 지혜를 잘 베풀도록 돕기 위해, 그 영역의 영{靈} 지휘자들이 각 세대에서 선택한 남녀들로 이뤄진다. 상승 계획의 상황을 처리함에 있어서, 의지를 지닌 필사 피조물이 그런 책임을 수행할 능력이 있고 신용할 만하면, 즉시 그들을 이처럼 접촉하고 활용하기 시작하는 것이 일반 관례다. 따라서, 남녀가 충분한 정신적 수용력, 적절한 도덕적 상태, 및 필수적 영성{靈性}을 갖고 현세의 행동 무대에 나타나자마자, 그들은 곧 필사자 보좌관으로서, 적절한 천상{天上} 집단의 행성 인격체들에게 즉시 배치된다.
[68]| 인간이 행성 운명의 보호자로서 선택될 때, 즉 이 세상의 경영인들이 수행하고 있는 여러 계획에서 긴요한 개인이 될 때, 그때 행성의 스라빔 우두머리는 그들이 스랍 단체에 임시로 배속되도록 허락하고, 이 필사자 예비군과 함께 근무하도록, 개인 운명 보호 천사들을 임명한다. 모든 예비군은 자아_의식하는 {k{k{조율사}k}k}를 소유하고 있으며, 그들 대부분은 지적 성취와 영적 달성의 고등 시공우주 궤도들에서 활동한다.
[69]| 인간거주 세계의 운명 예비 단체에서 근무하도록, 그 영역의 필사자들이 선택되는 이유는 다음과 같다:
[70]| 1. 세계 상황의 다양한 활동을 수행함에 있어서, 가능성 있는 수많은 비상대책 사명을 위해 비밀리에 숙달될 수 있는 특별한 능력.
[71]| 2. 인간적인 보답이나 보상과는 상관없이 기꺼이 봉사하려는 마음과 함께, 어떤 특별한 사회적, 경제적, 정치적, 영적, 또는 기타 대의{大義}에 전심으로 헌신함.
[72]| 3. 행성의 어려움에 대처하고, 앞으로 다가올 세계적 비상사태에 대처할, 비범한 융통성과 {k{k{유란시아}k}k}_이전{以前}에 유용한 체험을 한 {k{k{사고}k}k} {k{k{조율사}k}k}를 소유함.
[73]| 행성에서 천상의 봉사에 임하는 각 부서는, 운명의 신분을 가진 이 필사자들로 구성된 연락 단체를 부여받을 자격이 있다. 보통의 인간거주 세계는 70개의 분리된 운명 단체를 보유하고 있는데, 이들은 현행 세계 직무의 초인적 실행에 긴밀하게 연결돼 있다. {k{k{유란시아}k}k}에는, 스랍의 감독을 받는 행성 집단마다 하나씩, 열두 개의 운명 예비 단체가 있다.
[74]| 열두 집단의 {k{k{유란시아}k}k} 운명 예비군은, 땅에서 수많은 중대한 직책을 위해 미리 연습하고, 가능성 있는 행성 비상사태에 행동할 준비가 돼있는, 그 구체의 필사 거주자로 구성된다. 연합된 이 단체는 현재 962명으로 구성돼 있다. 가장 작은 단체는 41명이고, 가장 큰 것은 172명이다. 20명 미만의 접촉 인격체를 제외하고, 독특한 이 집단의 구성원은, 어떤 행성 위기가 있을 때 작용할 가능성을 위해서 자신이 준비되고 있음을 전혀 의식하지 못한다. 이 필사자 예비군은, 각자 자신이 배속돼 있는 그 단체의 선택을 받고, {k{k{사고}k}k} {k{k{조율사}k}k}와 스랍 수호자가 사역하는 혼합된 기법에 따라, 정신 속 깊은 곳에서 마찬가지로 훈련받고 숙달된다. 무의식 속에서 받는 이 훈련에 수많은 다른 천상의 인격체가 여러 차례 참여하며, 이 모든 특별한 준비를 하는 동안 중도자들은 귀중하고 필수적인 봉사를 수행한다.
[75]| 많은 세계에서는 비교적 잘 적응된 2차 중도 피조물이, {k{k{사고}k}k} {k{k{조율사}k}k}가 내주{內住}하는 정신에 능숙하게 침투함으로써, 확실히 알맞게 구성된 어떤 필사자의 그 {k{k{사고}k}k} {k{k{조율사}k}k}와 다양한 정도로 접촉할 수 있다. (그리고 시공우주 조절이 바로 그렇게 우연히 조합돼서, 본 계시가 {k{k{유란시아}k}k}에서 {k{k{영어}k}k}로 물질화 됐다.) 진화 세계의 그런 잠재적{潛在的} 접촉 필사자들은 여러 예비 단체에 결집되며, 영적 문명이 증진되고 {k{k{지고자}k}k}들이 사람의 나라들에서 통치력을 발휘할 수 있는 것은, 어느 정도는, 앞을 내다보는 작은 집단의 이 인격체들을 통해서다. 이처럼 이 운명 예비 단체에 소속된 남녀들은, 중도 피조물의 간섭하는 사역을 통해서, 자신의 {k{k{조율사}k}k}와 다양한 정도로 접촉하지만;바로 이 필사자들은, 진화하는 문화가 몰락하거나 또는 살아있는 진리의 빛이 소멸되는 것을 방지하기 위해 이 예비 인격체들이 작용하는, 그런 드문 사회적 비상사태와 영적으로 위급한 상황 이외에는, 동료들에게 거의 알려지지 않는다. {k{k{유란시아}k}k}에서는 이 운명 예비군이 인간 역사의 장을 드물게 장식해 왔다.
[76]| 예비군은 필수 행성 정보를 보존하는 자로서 무의식적으로 행동한다. 어떤 예비군이 죽음에 임박했을 경우에, 특정한 생생한 자료가, 죽어가는 그 예비군의 정신으로부터 비교적 젊은 후계자에게로 전환되는 경우가 여러 차례 있었는데, 두 {k{k{사고}k}k} {k{k{조율사}k}k}의 접촉으로 이뤄진다. 그 {k{k{조율사}k}k}들은, 이 예비 단체들과 관련해서, 우리가 알지 못하는 많은 다른 방법으로 확실히 작용한다.
[77]| {k{k{유란시아}k}k}에서 운명 예비 단체는 영구적 우두머리를 갖지는 않지만, 그 통치 조직을 구성하는 그 자체의 영구적 협의회들을 갖고 있다. 이 협의회들 중에는, 사법 협의회, 역사 협의회, 정치적 주권에 대한 협의회, 및 기타 많은 것이 포함돼 있다. 때로는 그 예비군 조직에 따라서, 이런 영구적 협의회들은 특정한 역할을 위해, 전체 예비 단체의 명목상 (필사자) 우두머리를 임명해 왔다. 그런 예비군 우두머리들의 재직 기간은, 대개 몇 시간 지속되는 문제이며, 당면한 어떤 과제를 성취할 때까지로 국한된다.
[78]| {k{k{유란시아}k}k} 예비 단체는, {k{k{아담족속}k}k}과 {k{k{안드족속}k}k} 시대에 그 구성원이 가장 많았으며, 보라색 혈통이 희석됨에 따라서 점차 줄어들었고, {k{k{오순절}k}k} 무렵에는 밑바닥에 도달했으나, 그 후로는 예비 단체의 구성원이 점차 증가해 왔다.
[79]| ({k{k{유란시아}k}k}에서 우주를_의식하는 시민으로 구성된 시공우주 예비 단체 필사자가 현재 1,000명을 넘어섰는데, 시공우주 시민권에 대한 그들의 통찰력은 그들이 거주하는 이 땅의 영역을 훨씬 초월하지만, 나는 살아있는 인간으로 구성된 이 독특한 집단의 역할의 실제 성질을 계시하지 못하도록 금지됐다.)
[80]| {k{k{유란시아}k}k} 필사자는, 자신의 세계가 지방우주의 어떤 회로들로부터 영적인 면에서 비교적 격리돼 있다고 해서, 시공우주에서 버림받거나 고아가 된 행성이라는 느낌을 가져서는 안 된다. 행성에는 세계 직무와 인간의 운명을 아주 분명하게 효과적으로 보살피는, 초인간적 감독이 활동하고 있다.
[81]| 그러나 너희는, 이상적 행성 정부에 대해서 기껏해야, 빈약한 관념만 가질 수 있는 것이 사실이다. {k{k{행성}k}k} {k{k{왕자}k}k}가 있던 초기 시절부터, {k{k{유란시아}k}k}는 세상을 성장시키고 인종을 발전시키는 신성한 계획이 유실됨으로 고통당해 왔다. {k{k{사타니아}k}k}에서 충성스런 인간거주 세계들은, 현재의 {k{k{유란시아}k}k}처럼 그렇게 통치되지 않는다. 그럼에도, 고립된 다른 세계들과 비교하면, 너희 행성의 여러 정부는 그렇게 열등하지 않았으며;오직 하나 또는 두 세계만이 더 못하다고 말할 수 있고, 몇몇은 약간 더 나을지 모르지만, 대부분의 세계는 너희와 거의 같은 수준이다.
[82]| 지방우주에서는, 행성 경영의 불안정한 상태가 언제 끝나게 될지, 아무도 모르는 것 같다. {k{k{네바돈}k}k}의 {k{k{멜기세덱}k}k}들은, {k{k{미가엘}k}k}이 {k{k{유란시아}k}k}에 친히 다시 도착할 때까지, 행성 정부와 경영에 거의 변화가 없으리라는 견해를 가지려는 경향이 있다. 의심할 여지없이, 더 일찍이 아니라면 이때, 전면적 변화가 행성 관리에 적용될 것이다. 그러나 세계 경영의 그런 변경이 어떤 본질을 가질 것인가에 대해서는, 아무도 추측할 수조차 없는 것처럼 보인다. {k{k{네바돈}k}k} 우주에 있는 인간거주 세계들의 전체 역사에서, 그런 사건이 일어난 전례가 없다. {k{k{유란시아}k}k}의 미래 정부와 관련해서 이해하기 어려운 많은 것 가운데 두드러진 한 가지는, 천사장들의 회로와 분야별 본부가 이 행성에 있다는 것이다.
[83]| 우주의 여러 협의회에서는, 고립된 너희 세계를 잊지 않고 있다. {k{k{유란시아}k}k}는 죄로 인해 비난 받고, 반역으로 인해 신성한 보호에서 떨어져 나간, 시공우주 고아가 아니다. {k{k{우버사}k}k}로부터 {k{k{살빙톤}k}k}까지 그리고 {k{k{예루셈}k}k}에 이르기까지, 심지어 {k{k{하보나}k}k}와 {k{k{낙원}k}k}에서도, 그들은 모두 우리가 여기 있음을 알고 있으며;{k{k{유란시아}k}k}에 지금 거주하는 너희 필사자들은, 마치 구체가 불성실한 한 {k{k{행성}k}k} {k{k{왕자}k}k}에게 한 번도 배신당하지 않았던 것처럼, 똑같이 사랑스럽고 소중히 여겨지고, 똑같이 충실하게, 아니 그보다 더 보살핌을 받고 있다. “{k{k{아버지}k}k}께서 친히 너희를 사랑하신다”는 말은 영원히 참말이다.
[84]| [{k{k{유란시아}k}k}에 주둔한 {k{k{스라빔}k}k} {k{k{우두머리}k}k}가 제시했음]
