[1]| 제119편{{{br}}} 그리스도 미가엘의 증여
[37]| 이번에 스랍으로 증여된 기간에, 즉 우주 표준시간으로 40년이 넘도록 {k{k{미가엘}k}k}은 {k{k{살빙톤}k}k}에 없었다. 이 시기 동안에 그는 가르치는 스랍 조언자, 즉 26명의 상이한 주요 선생에게 너희가 개인 비서라고 일컬을만한 존재로서 배속됐는데, 22개의 서로 다른 세계에서 활약했다. 그의 마지막 임무, 즉 최종 임무는, {k{k{네바돈}k}k} 우주에서 3_번 성좌의 84_번 체계에 있는 462_번 세계에서, {k{k{삼위일체}k}k} {k{k{교사}k}k} {k{k{아들}k}k}의 증여 사명에 소속된 조언자이자 협조자로서의 임무였다.
[38]| 이 {k{k{삼위일체}k}k} {k{k{교사}k}k} {k{k{아들}k}k}은 이렇게 배정된 7년 내내, 그의 스랍 동역자의 신분에 걸맞다고 전적으로 납득된 적이 전혀 없었다. 정말로, 그 시기 동안 모든 스라빔에게 특별한 관심과 시선이 집중됐다. 우리의 사랑하는 {k{k{주권자}k}k}가 스라빔으로 변장하고 우주에 나가 있음을 잘 알고 있었지만, 우리는 그의 정체성에 대해서는 전혀 확인할 수 없었다. 그가 이 {k{k{삼위일체}k}k} {k{k{교사}k}k} {k{k{아들}k}k}의 증여 사명을 수행하기까지는, 그의 정체성이 확실하게 드러난 적이 없었다. 그러나 이 시기 내내, 피조물로서 증여하는 사명에 임하고 있는 우주 {k{k{주권자}k}k}를 눈치 채지 못하고 접대했음을, 우리 가운데 혹시 누군가가 알아보지 않을까 염려하여, 최고 스라빔이 특별히 배려하며 주목했다. 그리하여 천사들에 관해서, 그들의 {k{k{창조주}k}k}이며 {k{k{통치자}k}k}인 그가, “스랍 인격과 비슷한 상태에서 모든 면에 단련과 시험을 받았다”는 것이 영원한 사실로 남게 됐다.
[39]| 이 연속되는 증여가 점점 더 낮은 형태의 우주 생명체 본성을 가짐에 따라서, {k{k{가브리엘}k}k}은 이런 육신화 모험에 점점 더 많이 관여했는데, 증여된 {k{k{미가엘}k}k}과 대리 우주 통치자인 {k{k{임마누엘}k}k} 사이에 우주 연락원으로서 활동했기 때문이다.
[40]| {k{k{미가엘}k}k}은 이제 자신이 창조한 우주 {k{k{아들}k}k}들 가운데 세 계층:즉 {k{k{멜기세덱}k}k}, {k{k{라노난덱}k}k}, 및 {k{k{물질}k}k} {k{k{아들}k}k} 계층에서 증여하는 체험을 거쳤다. 그 다음에 그는, 의지를 지닌 가장 낮은 형태의 피조물, 즉 시간과 공간에서 진화하는 필사자의, 상승하는 생애의 다양한 국면에 눈을 돌리기 전에, 한 최고 스라빔으로서 천사의 생애와 비슷한 상태로 인격화할 만큼 자신을 낮췄다.
[41]| {b{b{5. }b}b}{b{b{{k{k{다섯}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{번째}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{증여}k}k}}b}b}
[42]| {k{k{유란시아}k}k}에서 계산하는 시간으로, 3억 년보다 약간 더 전에, 우리는 {k{k{임마누엘}k}k}에게 우주 권세를 이양하는 또 하나의 사건을 목격했으며, {k{k{미가엘}k}k}이 떠날 채비를 하는 것을 보게 됐다. 이 경우는, 그의 목적지가 {k{k{오르본톤}k}k} 연방우주의 본부인 {k{k{우버사}k}k}임을 그가 알린 점에서, 이전{以前}의 다른 경우들과 달랐다. 때가 되자 우리 {k{k{주권자}k}k}가 떠났지만, 연방우주 방송은 {k{k{태고}k}k} {k{k{항존자}k}k}들의 뜰에 {k{k{미가엘}k}k}이 도착했음을 알리지 않았다. 그가 {k{k{살빙톤}k}k}에서 떠난 직후에, {k{k{우버사}k}k} 방송에는 다음과 같은 의미심장한 성명서가 실렸다:“아무 발표도 번호도 없이, {k{k{네바돈}k}k} 우주로부터 필사의 기원에 속하는 상승 순례자가 오늘 도착했는데, {k{k{살빙톤}k}k}의 {k{k{임마누엘}k}k}로부터 공인받았고, {k{k{네바돈}k}k}의 {k{k{가브리엘}k}k}이 동행했습니다. 정체불명의 이 존재는 참된 영 상태를 나타내고 있으며, 우리는 그를 받아들여 교제했습니다.”
[43]| 너희가 오늘 {k{k{우버사}k}k}를 방문할 수 있다면, {k{k{이븐토드}k}k}가 거기에 머물렀던 시절의 이야기를 되풀이하는 소리를 들을 것인데, 시간과 공간에서 번호가 없는 이 특별한 순례자가, {k{k{우버사}k}k}에서는 그 이름으로 알려졌다. 그리고 상승하는 이 필사자, 즉 적어도 상승하는 필사자의 영{靈} 단계와 똑같은 모습의 훌륭한 인격체가, {k{k{오르본톤}k}k} 표준시간으로 11년 동안 {k{k{우버사}k}k}에서 살았고 활약했다. 이 존재는 임무를 부여받았고, {k{k{오르본톤}k}k}의 다양한 지방우주에서 온 동료들과 공통으로, 한 영{靈} 필사자의 의무를 수행했다. “동료들과 마찬가지로, 그는 모든 면에서 시험과 단련을 받았으며”, 모든 경우에, 그는 상급자들의 신뢰와 신임을 받기에 마땅함을 입증했고, 한편 그는 어김없이 동료 영들의 존경과 충성스런 찬미를 받았다.
[44]| {k{k{살빙톤}k}k}에서, 우리는 깊은 관심을 갖고 이 순례자 영의 생애를 따라다녔는데, {k{k{가브리엘}k}k}이 나타난 것을 보고서, 번호가 없고 겸손한 이 순례자 영이 우리 지방우주의 증여된 통치자임을 우리는 잘 알았다. 필사자 진화에서 한 단계의 역할로 육신화한 {k{k{미가엘}k}k}의 이 첫 번째 출현은, {k{k{네바돈}k}k} 전체를 짜릿하게 하고 매혹시키는 사건이었다. 우리는 그런 것들을 들어본 적은 있었지만 그때서야 그것을 볼 수 있었다. 그는 완전히 성숙되고 완벽하게 훈련된 영 필사자로서, 그리고 {k{k{하보나}k}k}로 상승하는 한 필사자 집단이 진출할 때까지 자신의 생애를 그렇게 계속하는 존재로서 {k{k{우버사}k}k}에 출현했으며;그 후에 그는 {k{k{태고}k}k} {k{k{항존자}k}k}들과 대화를 나눴고, 곧 {k{k{가브리엘}k}k}과 함께 갑작스럽게 그리고 아무런 예식 없이 {k{k{우버사}k}k}를 떠났는데, 그로부터 얼마 후 {k{k{살빙톤}k}k}에 있는 자기 자리에 모습을 드러냈다.
[45]| 이 증여를 완성하기 전에는, 가장 높은 {k{k{멜기세덱}k}k}으로부터, 아래로 시간과 공간에서 진화하는 세계들의 살과 피로 이뤄진 필사자에 이르기까지, 다양한 계층의 우주 인격체들과 같은 모습으로 {k{k{미가엘}k}k}이 육신화할 것이라는 사실이, 우리에게 최종적으로 밝혀지지 않았었다. 이 무렵에 {k{k{멜기세덱}k}k} 학부들은, {k{k{미가엘}k}k}이 언젠가 육신을 입은 하나의 필사자로서 육신화 할 가능성이 있음을 가르치기 시작했으며, 설명할 수 없는 그런 증여를 위한 가능한 기법에 대해서 많은 의견이 있었다. {k{k{미가엘}k}k}이 상승하는 필사자의 역할을 이미 몸소 수행했다는 사실은, 지방우주와 연방우주를 거쳐 맨 위까지 피조물을 진보시키는 전체 기획에, 새롭고 증대된 흥미를 부여했다.
[46]| 하지만, 이렇게 이어지는 여러 증여의 기법은 신비로 남아있다. 심지어 {k{k{가브리엘}k}k}도, {k{k{낙원}k}k} {k{k{아들}k}k}이며 우주 {k{k{창조주}k}k}인 이 분이, 뜻대로, 자신에게 종속된 피조물 가운데 하나의 인격을 띠고 그 생애를 어떻게 살 수 있었는지 그 방법을 납득하지 못한다고 고백했다.
[47]| {b{b{6. }b}b}{b{b{{k{k{여섯}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{번째}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{증여}k}k}}b}b}
[48]| 이제 임박한 증여를 준비하기에 {k{k{살빙톤}k}k} 전체가 익숙했으므로, {k{k{미가엘}k}k}은 본부 행성에 머무는 자들을 소집했고, 육신화 계획의 남은 부분을 처음으로 알렸는데, 그 내용은 다섯째 성좌의 본부 행성에 있는 {k{k{지고자}k}k} {k{k{아버지}k}k}들의 뜰에서, 모론시아 필사자의 생애{生涯}를 시작하기 위한 목적으로, 자신이 {k{k{살빙톤}k}k}을 곧 떠나게 됨을 알리는 것이었다. 그리고 나서 우리는, 그의 일곱 번째이자 마지막 증여가, 필사자 육신과 비슷한 모습으로 어떤 진화 세계에서 이뤄질 것이라는 발표를 처음 들었다.
[49]| {k{k{미가엘}k}k}은 여섯 번째 증여를 위해 {k{k{살빙톤}k}k}을 떠나기 전에, 모여 있는 그 구체 거주민에게 연설했고, 모두가 잘 지켜보는 가운데 떠났는데, 어떤 단독 스랍과 {k{k{네바돈}k}k}의 {k{k{빛나는}k}k} {k{k{새벽별}k}k}만 동행했다. 우주에 대한 감독이 다시 {k{k{임마누엘}k}k}에게 위임되는 동안, 경영 책임이 더 널리 분산됐다.
[50]| {k{k{미가엘}k}k}은 5_번 성좌 본부에 나타났는데, 상승하는 신분의 완전히 성장한 모론시아 필사자로서 나타났다. 번호가 없는 이 모론시아 필사자의 생애에 대한 자세한 내용을 내가 계시하지 못하도록 돼있어서 매우 유감인데, 이는 그것이, {k{k{유란시아}k}k}에서 가졌던 극적이고 비참한 체류 기간도 제외하지 않고, {k{k{미가엘}k}k}의 증여 체험에서 아주 색다르고 놀라운 시기들 가운데 하나였기 때문이다. 그러나 이 임무를 받아들이면서 내게 부과된 여러 제한 가운데 하나는, {k{k{미가엘}k}k}이 {k{k{엔단텀}k}k}의 모론시아 필사자로서 가졌던, 이 놀라운 생애의 세부 사항을 설명하지 못하게 금지한 것이다.
[51]| {k{k{미가엘}k}k}이 이 모론시아 증여에서 돌아왔을 때, 우리 모두에게 명백히 드러난 것은, 우리 {k{k{창조주}k}k}가 동료 피조물이 됐었다는 것, 즉 {k{k{우주}k}k} {k{k{주권자}k}k}가, 자신의 영역들에 있는 피조 지성체 가운데 가장 낮은 형태에게도, 친구가 되고 인정 많은 협조자가 됐다는 사실이었다. 이런 일이 있기 전에, 우주 경영에서 피조물의 관점에 대한 이런 점진적 습득을 우리는 이미 유념했는데, 그것이 점차 나타났기 때문이었으며, 그렇지만 모론시아 필사자 증여를 완성한 후에 더 확실하게 됐고, 그가 {k{k{유란시아}k}k}에서 목수의 아들의 생애를 마치고 돌아왔을 때 더욱 확실해졌다.
[52]| {k{k{미가엘}k}k}이 모론시아 증여에서 언제 돌아올 것인지에 대해, 우리는 {k{k{가브리엘}k}k}로부터 미리 들었으며, 따라서 우리는 {k{k{살빙톤}k}k}에서 적절한 환영식을 준비했다. 수백만의 존재가 {k{k{네바돈}k}k}의 성좌 본부 세계들로부터 모였으며, {k{k{살빙톤}k}k}에 가까운 세계들에 체류하는 대부분의 존재는, 자기 우주의 통치권을 되찾는 그를 환영하기 위해 함께 모였다. 자기 피조물에게 그토록 강렬하게 관심 가졌던 {k{k{주권자}k}k}를 환영하고 그에게 감사 표시를 하는 많은 연설에 대한 답으로, 그는 이렇게 대답했을 뿐이다:“나는 오직 내 {k{k{아버지}k}k}의 일을 했을 뿐이다. 자기 피조물을 사랑하고 간절히 이해하고자 하는 {k{k{낙원}k}k} {k{k{아들}k}k}들이 기뻐하는 일을 행하고 있을 따름이다.”
[53]| 그러나 그날 이후로, {k{k{미가엘}k}k}이 {k{k{사람의}k}k} {k{k{아들}k}k}{人子}로서 {k{k{유란시아}k}k} 모험에 발을 내디딘 그 시각까지, 그가 머문 성좌 전체의 물질 세계들로부터 모인 동료들과 마찬가지로 모든 면에서 시험을 받으면서, 진화로 상승하는 모론시아 필사자로 증여되어 육신화한 자로서, {k{k{엔단텀}k}k}에서 활동하는 동안 그들의 {k{k{주권}k}k} {k{k{통치자}k}k}가 세운 많은 업적에 대해, 온 {k{k{네바돈}k}k}이 계속 토의했다.
[54]| {b{b{7. }b}b}{b{b{{k{k{일곱}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{번째}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{마지막}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{증여}k}k}}b}b}
[55]| 수만 년 동안 우리는 모두, {k{k{미가엘}k}k}의 일곱 번째 마지막 증여를 고대했다. {k{k{가브리엘}k}k}은 이 최종 증여가 필사자 육신과 비슷한 모습으로 이뤄지리라고 우리에게 가르쳤지만, 우리는 최고점에 달한 이 모험의 시기, 장소, 및 방법에 대해서 전혀 알지 못했다.
[56]| {k{k{미가엘}k}k}이 자신의 마지막 증여 상영관으로 {k{k{유란시아}k}k}를 선택했다는 공개 발표는, 우리가 {k{k{아담}k}k}과 {k{k{이브}k}k}의 태만에 대해서 배운 직후에 이뤄졌다. 그리하여 너희가 사는 세계는, 3만 5천 년이 넘는 동안, 전체 우주 협의회들에서 매우 관심을 끄는 자리를 차지하고 있었다. {k{k{유란시아}k}k} 증여의 어느 과정에서도 (육신화의 신비 이외에) 아무런 비밀이 없었다. 처음부터 마지막까지, {k{k{미가엘}k}k}이 마침내 승리해서 최고 {k{k{우주}k}k} {k{k{주권자}k}k}로서 {k{k{살빙톤}k}k}으로 돌아오기까지, 작지만 매우 명예로운 너희 세계에서 벌어진 모든 일이 가장 온전하게 우주에 공개됐다.
[57]| 우리는 이것이 그 방법일 것이라고 믿었지만, 사건 자체가 발생될 때까지, {k{k{미가엘}k}k}이 그 영역의 무력한 한 아기로 땅에 나타나리라는 것을 전혀 알지 못했다. 그때까지는, 그가 증여되기로 선택한 인격체 집단 가운데 온전히 성장한 개인으로서 항상 나타났었으며, {k{k{베들레헴}k}k}의 아기가 {k{k{유란시아}k}k}에 태어났다는 것을 알리는 방송이 {k{k{살빙톤}k}k}에서 퍼져나갔을 때, 그것은 참으로 놀라운 것이었다.
[58]| 그때 우리는, 우리 {k{k{창조주}k}k}이며 친구인 그가, 무력한 한 아기로 증여됨으로써 자신의 위치와 권세에서 명백하게 위협 받는, 자신의 생애 전체에서 가장 불확실한 과정을 거치고 있음을 알게 됐을 뿐만 아니라, 이 최종 필사자 증여가, {k{k{네바돈}k}k} 우주의 명백한 최고 주권자로서의 영원한 지위를 그에게 부여할 것임도 알게 됐다. 지구 시간으로 3분의 1세기{世紀} 동안, 이 지방우주에 있는 모든 지역의 관심이 {k{k{유란시아}k}k}에 집중됐다. 모든 지성체는 마지막 증여가 진행되고 있다는 것을 깨달았고, {k{k{사타니아}k}k}에서 있었던 {k{k{루시퍼}k}k} 반역과 {k{k{유란시아}k}k}에서 {k{k{캘리개스챠}k}k}의 배반에 대해서 우리가 오랫동안 알고 있었듯이, 인간 육체를 닮은 초라한 형체 속에서 {k{k{유란시아}k}k}에 육신화 되기 위해 우리 통치자가 자신을 낮췄을 때 일어나게 될 갈등이 얼마나 맹렬할지, 우리는 잘 알았다.
[59]| {k{k{유대인}k}k} 아기인 {k{k{요셉}k}k}의 아들 {k{k{예슈아}k}k}는, 이 특별한 아기가 {k{k{낙원}k}k}의 신성한 {k{k{아들}k}k}이며, 이 지방우주의 모든 사물과 존재의 창조자인, {k{k{네바돈}k}k}의 {k{k{미가엘}k}k}의 육신화였음을 {i{i{제외하고는}i}i}, 그 이전과 이후의 다른 모든 아기와 마찬가지로 잉태됐고 세상에 태어났다. 그리고 {k{k{예수}k}k}라는 인간 형체 속에 {k{k{신격}k}k}이 육신화되는 이 신비는, 이 세상의 자연적인 기원과는 달리, 영원히 풀리지 않는 수수께끼로 남을 것이다. 자신의 피조물과 비슷한 형태로 {k{k{창조주}k}k}가 육신화 됐던 그 기법과 방법을, 너희는 영원 속에서도 결코 알지 못할 것이다. 그것은 {k{k{소나링톤}k}k}의 비밀이며, 그런 신비는, 증여 체험을 통과한 그 신성한 {k{k{아들}k}k}들에게만 예외적으로 알려진다.
[60]| 땅에 있는 어떤 현자{賢者}들은 {k{k{미가엘}k}k}의 임박한 도래를 알았다. 한 세계가 다른 세계와 접촉함으로, 영적 통찰력을 가진 이 현자들은, {k{k{미가엘}k}k}이 {k{k{유란시아}k}k}에 증여될 것을 알았다. 그리고 중도 피조물들을 통해서, 스라빔이 한 무리의 {k{k{갈대아}k}k} 제사장에게 알려줬는데, 그들의 지도자는 {k{k{아르드논}k}k}이었다. {k{k{하나님}k}k}을 섬기는 이 사람들이, 구유에서 태어난 아기를 방문했다. {k{k{예수}k}k}의 탄생과 관련해서 유일한 초자연적 사건은, 첫째 동산에서 {k{k{아담}k}k}과 {k{k{이브}k}k}에게 먼저 배정됐던 스라빔이, {k{k{아르드논}k}k}과 그의 동역자들에게 이렇게 알려준 것이었다.
[61]| {k{k{예수}k}k}의 인간 부모는 그들이 살던 시대와 세대에 평범한 사람이었으며, 육신화 된 이 {k{k{하나님의}k}k} {k{k{아들}k}k}은 그렇게 여자에게서 태어났고, 그 종족과 시대의 어린이들이 겪는 평범한 방식으로 자라났다.
[62]| {k{k{미가엘}k}k}이 {k{k{유란시아}k}k}에 머물렀던 이야기, 즉 너희가 사는 세계에 {k{k{창조주}k}k} {k{k{아들}k}k}이 필사 존재로 증여됐다는 내용은 본 이야기의 범위와 목적을 벗어나는 문제다.
[63]| {b{b{8. }b}b}{b{b{{k{k{미가엘의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{증여}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{이후}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{신분}k}k}}b}b}
[64]| {k{k{미가엘}k}k}이 {k{k{유란시아}k}k}에서 자신의 최종 증여에 성공한 뒤에, {k{k{네바돈}k}k}의 주권 통치자로서, {k{k{태고}k}k} {k{k{항존자}k}k}들의 인정을 받았을 뿐만 아니라, 자신이 창조한 지방우주의 확립된 지휘자로서, {k{k{만유의}k}k} {k{k{아버지}k}k}의 인정도 받았다. 그가 {k{k{살빙톤}k}k}으로 돌아옴에 따라서, {k{k{사람의}k}k} {k{k{아들}k}k}이며 {k{k{하나님의}k}k} {k{k{아들}k}k}인 {k{k{미가엘}k}k}은, {k{k{네바돈}k}k}의 확고한 통치자로서 선포됐다. {k{k{미가엘}k}k}의 주권에 대한 여덟 번째 선포가 {k{k{우버사}k}k}로부터 도착했고, 또한 {k{k{낙원}k}k}으로부터는 {k{k{만유의}k}k} {k{k{아버지}k}k}와 {k{k{영원한}k}k} {k{k{아들}k}k}의 공동 선언문이 도래했는데, {k{k{하나님}k}k}과 사람의 이 합일체를 우주의 유일한 우두머리로 임명한다는 내용이었고, {k{k{살빙톤}k}k}에 주둔하는 {k{k{합동}k}k} {k{k{항존자}k}k}에게 {k{k{낙원}k}k}으로 돌아가라는 뜻을 알려주라고 지시했다. 성좌 본부에 있는 {k{k{충실}k}k} {k{k{항존자}k}k}들 역시 {k{k{지고자}k}k}들 협의회에서 물러나라는 지시를 받았다. 그러나 {k{k{미가엘}k}k}은 조언과 협동을 제공하는 {k{k{삼위일체}k}k} {k{k{아들}k}k}들의 철수에 동의하려고 하지 않았다. 그는 그들을 {k{k{살빙톤}k}k}에 모아놓고 그들이 {k{k{네바돈}k}k}에서 영원토록 임무를 맡아줄 것을 친히 부탁했다. 그들은, 이 요청에 따르고 싶다는 바램을, {k{k{낙원}k}k}에 있는 자신의 지휘자들에게 표명했으며, 그 뒤에 얼마 안 되어 {k{k{낙원}k}k}의 분리 명령이 발효됐는데, 중앙우주에 소속된 이 {k{k{아들}k}k}들을 {k{k{네바돈}k}k}의 {k{k{미가엘}k}k}의 법정에 영원히 배속시켰다.
[65]| {k{k{미가엘}k}k}이 증여 생애를 마치고, 자신이 창조한 우주에서 최고 권세를 최종적으로 확립하기까지, {k{k{유란시아}k}k} 시간으로 거의 10억 년이 걸렸다. {k{k{미가엘}k}k}은 창조자로서 태어났고, 통치자로서 교육받았으며, 관리자로서 훈련받았지만, 그 주권을 체험으로 얻도록 요구됐다. 그리하여 너희의 작은 세계는, 자신이 만든 우주에 대한 무제한의 통제 및 지휘 권한을 얻기 위해서 각 {k{k{낙원}k}k} {k{k{창조주}k}k} {k{k{아들}k}k}에게 요구되는 체험을 {k{k{미가엘}k}k}이 완성한 경기장으로, 온 {k{k{네바돈}k}k}에 두루 알려지게 됐다. 너희가 지방우주를 상승함에 따라서, {k{k{미가엘}k}k}의 이전{以前} 증여들에 관계된 인격체들의 이상{理想}에 대해 좀 더 배우게 될 것이다.
[66]| 자신을 피조물로 증여하는 과정을 완성하면서, {k{k{미가엘}k}k}은 자신의 주권을 확립했을 뿐만 아니라, {k{k{지존자}k}k} {k{k{하나님}k}k}의 진화하는 주권을 증대시키고 있었다. 이 여러 증여가 이뤄지는 과정에서, {k{k{창조주}k}k} {k{k{아들}k}k}은 피조물 인격체의 다양한 본성을 하강하면서 탐구하는 데 참여했을 뿐만 아니라, {k{k{낙원}k}k} {k{k{신격}k}k}들의 여러 가지 다양한 뜻을 계시하기도 했는데, 그분들의 종합된 통일은 {k{k{최상급}k}k} {k{k{창조주}k}k}들이 드러낸 바와 같이, {k{k{지존하신}k}k} {k{k{분}k}k}의 뜻을 드러낸다.
[67]| {k{k{신격}k}k}들의 이 다양한 뜻의 양상들은, {k{k{일곱}k}k} {k{k{으뜸}k}k} {k{k{영}k}k}의 다른 본성들에서 영원히 인격화됐으며, {k{k{미가엘}k}k}의 각 증여는 이런 신성 형태화들 가운데 하나를 독특하게 계시했다. 그는 {k{k{멜기세덱}k}k} 증여에서 {k{k{아버지}k}k}와 {k{k{아들}k}k}과 {k{k{영}k}k}의 결합된 뜻을, {k{k{라노난덱}k}k} 증여에서는 {k{k{아버지}k}k}와 {k{k{아들}k}k}의 뜻을 나타냈으며;{k{k{아담}k}k}으로 자신을 증여했을 때에는 {k{k{아버지}k}k}와 {k{k{영}k}k}의 뜻을, 스랍으로 증여했을 때에는 {k{k{아들}k}k}과 {k{k{영}k}k}의 뜻을 계시했으며;{k{k{우버사}k}k}에서 필사자로 증여했을 때에는 {k{k{공동}k}k} {k{k{행위자}k}k}의 뜻을, 모론시아 필사자 증여에서는 {k{k{영원한}k}k} {k{k{아들}k}k}의 뜻을 묘사했으며;{k{k{유란시아}k}k} 물질 증여에서는 그가 심지어 살과 피로 이뤄진 한 필사자로서 {k{k{만유의}k}k} {k{k{아버지}k}k}의 뜻을 실천했다.
[68]| 일곱 번에 걸친 이 증여의 완성은, {k{k{미가엘}k}k}의 최고 주권의 독립을 가져왔으며, 또한 {k{k{네바돈}k}k}에서 {k{k{지존자}k}k}의 주권을 가능하게 만들었다. {k{k{미가엘}k}k}의 증여 가운데 어느 경우에도 {k{k{지존자}k}k} {k{k{하나님}k}k}을 드러내지 않았지만, 일곱 번에 걸친 증여 전체 총합은 {k{k{지존하신}k}k} {k{k{분}k}k}을 {k{k{네바돈}k}k}에 새롭게 계시한 것이었다.
[69]| {k{k{하나님}k}k}으로부터 사람에게로 내려오는 체험에서, {k{k{미가엘}k}k}은, 부분적인 증명가능성으로부터 최상의 유한한 행동으로 향상됨, 그리고 유한절대 기능 잠재성의 최종 해방을 동시적으로 체험했다. {k{k{창조주}k}k} {k{k{아들}k}k}인 {k{k{미가엘}k}k}은 시_공간을 창조하는 자이지만, 칠중의 {k{k{으뜸}k}k} {k{k{아들}k}k} {k{k{미가엘}k}k}은 {k{k{궁극}k}k} {k{k{삼위일체}k}k}를 구성하는 신성한 단체의 한 구성원이다.
[70]| {k{k{일곱}k}k} {k{k{으뜸}k}k} {k{k{영}k}k}에서 나타난 {k{k{삼위일체}k}k}의 뜻을 계시하는 체험을 거치면서, {k{k{창조주}k}k} {k{k{아들}k}k}은 {k{k{지존자}k}k}의 뜻을 드러내는 체험을 거쳤다. {k{k{지존자}k}k}의 뜻을 계시하는 자로서 활동하면서, {k{k{미가엘}k}k}은 모든 다른 {k{k{으뜸}k}k} {k{k{아들}k}k}과 더불어, 자신을 {k{k{지존자}k}k}와 영원히 일치시켰다. 그는 현재 우주 시대에 {k{k{지존자}k}k}를 계시하고, {k{k{지존성}k}k}의 주권을 실현하는 데 참여한다. 그러나 우리는, 다음 우주 시대에 그가 외부 공간 우주들을 위하여, 그리고 거기서, 첫째 체험적 {k{k{삼위일체}k}k} 안에서 {k{k{지존하신}k}k} {k{k{분}k}k}과 협력할 것이라고 믿는다.
[71]| {k{k{유란시아}k}k}는, 온 {k{k{네바돈}k}k}에서 감상을 일으키는 성지{聖地}, 즉 인간이 거주하는 천만 세계의 우두머리요, {k{k{그리스도}k}k} {k{k{미가엘}k}k}, 즉 {k{k{네바돈}k}k} 전체의 주권자, 영역들을 돌보는 {k{k{멜기세덱}k}k} 사역자, 체계 구원자, {k{k{아담}k}k}의 구속자{救贖者}, 스랍의 동료, 상승하는 영들의 동역자, 모론시아 진보자, 필사자 육신의 모습을 했던 {k{k{사람의}k}k} {k{k{아들}k}k}, 그리고 {k{k{유란시아}k}k}의 {k{k{행성}k}k} {k{k{왕자}k}k}가 필사자로서 있었던 고향이다. 그리고 너희에게 있는 기록이, 바로 이 {k{k{예수}k}k}가 자신을 일시적으로 증여했던 세계, 즉 {k{k{십자가의}k}k} {k{k{세계}k}k}로 언젠가 돌아오리라 약속했다고 말하는데, 그 기록은 틀림없는 사실이다.
[72]| [{k{k{그리스도}k}k} {k{k{미가엘}k}k}의 일곱 번에 걸친 증여를 묘사하는 본 문서는, 전해진 일련의 발표문 중에서 63번째 글인데, {k{k{미가엘}k}k}이 필사 육신의 모습으로 이 땅에 나타난 그때까지, {k{k{유란시아}k}k}의 역사를 서술하는 여러 인격체들의 후원을 받았다. 본 문서들은 {k{k{맨투시아}k}k} {k{k{멜기세덱}k}k}의 지휘 아래서 활동하는, 열두 명으로 이뤄진 {k{k{네바돈}k}k} 위원회의 공인을 받았다. 우리는, {k{k{유란시아}k}k} 시간으로 서기 1935년에, 우리 감독관들이 허락한 기법에 따라서, 이 이야기들을 구성했고 {k{k{영어}k}k}로 기록했다.]
