[1]| 제187편{{{br}}} 십자가형
[45]| {b{b{5. }b}b}{b{b{{k{k{십자가}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{위에서}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{마지막}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{시간}k}k}}b}b}
[46]| 열두 시가 조금 지났을 때, 이런 현상이 일어나기에는 조금 이를 때이기는 했지만, 고운 모래가 바람에 날렸으므로 하늘이 어두워졌다. {k{k{예루살렘}k}k} 사람들은, {k{k{아라비아}k}k} 사막에서 뜨거운 바람과 함께 모래 폭풍이 다가오는 것을 예고하는 현상임을 알았다. 한 시경 됐을 때에는 해가 가려져서 무척 어두웠고, 남아있던 인파도 서둘러 성으로 돌아갔다. 이 시각 후 얼마 안 되어 {k{k{주님}k}k}이 숨을 거뒀을 때, 30명 미만의 사람, 즉 13명의 {k{k{로마}k}k} 군인과 15명 정도의 신자 무리만 남아 있었다. 이 신자들은 두 남자, 즉 {k{k{예수}k}k}의 형제 {k{k{유다}k}k}와 {k{k{주님}k}k}이 숨을 거두기 직전에 돌아온 {k{k{요한}k}k} {k{k{세베대}k}k} 외에는 모두 여자였다.
[47]| 한 시 조금 지나서, 강한 모래 폭풍으로 점점 더 어두워질 때, {k{k{예수}k}k}께서는 점차 인간 의식이 희미해지기 시작했다. 그는 자비, 용서, 그리고 훈계의 말씀을 마지막으로 했다. 그의 --어머니를 돌보는 것에 관한-- 마지막 소원은 이미 말씀했다. 죽음이 다가오는 동안에 {k{k{예수}k}k}의 인간 정신은, {k{k{히브리}k}k} 성서 구절, 특히 {k{k{시편}k}k}에서 여러 구절을 반복해서 떠올렸다. 인간 {k{k{예수}k}k}께서는 마지막 의식 속에서 {k{k{시편}k}k}의 어떤 부분을 마음 속에 되풀이했는데, 현재 {k{k{시편}k}k} 20편, 21편 그리고 22편으로 알려진 내용이다. 입술을 움직이기는 했지만, 너무 쇠약했으므로 이 구절을 소리 내어 말하지 못했고, 완전하게 기억하는 구절을 마음 속에 떠올렸다. 그 가운데 몇 마디만 서 있는 사람들에게 들렸는데, “기름 부은 자를 {k{k{주}k}k}께서 구원하실 줄을 내가 압니다,” “나의 모든 대적에게 당신의 손이 임할 것입니다,” 그리고 “나의 {k{k{하나님}k}k}, 나의 {k{k{하나님}k}k}, 어찌하여 나를 버리셨습니까?”라는 구절이었다. {k{k{예수}k}k}께서는 {k{k{아버지}k}k} 뜻대로 살았음에 대해 한 순간도 의심하지 않았으며;지금 {k{k{아버지}k}k} 뜻에 따라서 육신의 삶을 마치고 있다는 것을 결코 의심하지 않았다. 그는 {k{k{아버지}k}k}께서 자신을 버리셨다고 느끼지 않았으며;다만 희미해지는 의식 속에서 여러 {k{k{성서}k}k} 구절을 기억했을 뿐이고, 그것들 중에 “나의 {k{k{하나님}k}k}, 나의 {k{k{하나님}k}k}, 어찌하여 나를 버리셨습니까?”라고 시작하는 {k{k{시편}k}k} 22편이 포함됐을 뿐이다. 그리고 이것은, 옆에 있는 사람들이 확실히 들을 수 있을 만한 소리로 말함으로써 우연히 들린, 세 구절 가운데 하나였다.
[48]| 필사자 {k{k{예수}k}k}께서 친구들에게 한 마지막 요청은, 한 시 반쯤 됐을 때, 두 번째로 “내가 목마르다”고 한 말씀이었으며, 당시에 흔히 식초라고 불리는 신 포도주를 똑같은 스펀지에 적셔서, 바로 그 지휘관이 그의 입술을 적시게 했다.
[49]| 모래 폭풍이 심해지고 하늘은 점점 더 어두워졌다. 병사들과 작은 무리의 신자들이 여전히 옆에 서 있었다. 병사들은 날카로운 모래 바람을 피하려고 십자가 곁에서 서로 몸을 기대고 웅크리고 있었다. {k{k{요한}k}k}의 어머니와 다른 사람들은, 조금 떨어진 곳에 있는 지붕처럼 돼있는 바위 밑에서 지켜봤다. {k{k{주님}k}k}이 마지막 숨을 거둘 때, 그의 십자가 밑에는, {k{k{요한}k}k} {k{k{세베대}k}k}, {k{k{주님}k}k}의 형제 {k{k{유다}k}k}와 자매 {k{k{룻}k}k}, {k{k{막달라}k}k} {k{k{마리아}k}k}, 그리고 한때 {k{k{세포리}k}k}에 있었던 {k{k{리브가}k}k}가 있었다.
[50]| {k{k{예수}k}k}께서 큰 소리로, “다 이뤘다! {k{k{아버지}k}k}여, 내 영혼을 {k{k{아버지}k}k} 손에 맡깁니다”라고 소리친 때는 세 시 직전이었다. 그는 이렇게 말씀한 후에 고개를 숙였고, 악전고투하던 생명이 끊어졌다. {k{k{예수}k}k}께서 죽는 모습을 지켜본 {k{k{로마}k}k} 백부장은 가슴을 치면서, “이 사람은 참으로 의로운 자였으며;정말로 {k{k{하나님의}k}k} {k{k{아들}k}k}이셨다”라고 말했다. 그리고 그는 그때로부터 {k{k{예수}k}k}를 믿기 시작했다.
[51]| {k{k{예수}k}k}께서는 --살았을 때와 마찬가지로-- 왕답게 죽었다. 그는 자신의 왕권을 거리낌 없이 인정했고, 비참한 시간을 지나가는 상황에서도 여전히 주인이었다. 자신이 택한 사도들의 안전을 도모한 후에, 불명예스런 죽음을 기꺼이 맞이했다. 문제를 야기할 수 있는 {k{k{베드로}k}k}의 폭력을 현명하게 제지했고, {k{k{요한}k}k}에게는 자신의 필사자 실존이 끝나는 순간까지 곁에 있도록 했다. 자신의 참된 본성을 잔인한 {k{k{산헤드린}k}k}에게 나타냈고, {k{k{빌라도}k}k}에게는 {k{k{하나님의}k}k} {k{k{아들}k}k}로서 주권적 권세의 근원을 상기시켰다. 가로 들보를 지고 {k{k{골고다}k}k}를 향해 출발했으며, 필사자 획득물에 속하는 자신의 영을 {k{k{낙원}k}k} {k{k{아버지}k}k}께 위탁함으로써, 애정이 깃든 증여를 마쳤다. 그런 삶을 마치면서--곧 그런 죽음에 즈음하여-- {k{k{주님}k}k}은 정말로 “다 이뤘다”고 말씀할 수 있었다.
[52]| 이날은 {k{k{유월절}k}k}과 {k{k{안식일}k}k}을 준비하는 날이었으므로, {k{k{유대인}k}k}은 이 시체들을 {k{k{골고다}k}k}에 남겨두기를 원치 않았다. 그리하여 그들은 {k{k{빌라도}k}k}에게 가서, 십자가에서 끌어내려서 세 사람의 다리를 꺾고, 죄수를 묻는 구덩이로 해가 지기 전에 던져 넣을 수 있도록 자신들을 보내달라고 요구했다. 이 요청을 들은 {k{k{빌라도}k}k}는 세 명의 병사를 보내서 {k{k{예수}k}k}와 두 강도를 죽이고 다리를 꺾게 했다.
[53]| 이 병사들이 {k{k{골고다}k}k}에 도착했을 때, 두 강도에게는 그렇게 했지만, {k{k{예수}k}k}께서는 이미 죽은 것을 보고 무척 놀랐다. 아무튼, 그의 죽음을 확인하기 위해, 병사 가운데 하나가 창으로그의왼쪽 옆구리를 찔렀다. 십자가에 달린 죄수가 심지어 이틀 또는 삼일 동안 질질 끌며 살아있는 것이 보통이었지만, {k{k{예수}k}k}께서는 극심한 감정적 고뇌와 첨예한 영적 고통으로 인해, 다섯 시간 반이 약간 못돼서 육신을 입은 필사자 생애가 끝났다.
[54]| {b{b{6. }b}b}{b{b{{k{k{십자가형}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{이후}k}k}}b}b}
[55]| 모래 폭풍으로 어두워진 가운데, 세 시 반쯤 됐을 때, {k{k{다윗}k}k} {k{k{세베대}k}k}는 {k{k{예수}k}k}의 죽음을 알리는 심부름꾼들을 마지막으로 내보냈다. 그는 마지막 심부름꾼을 {k{k{베다니}k}k}에 있는 {k{k{마르다}k}k}와 {k{k{마리아}k}k}의 집으로 보냈는데, 거기에 {k{k{예수}k}k}의 어머니와 다른 가족이 머물고 있으리라고 생각했다.
[56]| {k{k{주님}k}k}이 돌아가신 후에, {k{k{요한}k}k}은 {k{k{유다}k}k}를 시켜서 여자들을 {k{k{엘리야}k}k} {k{k{마가}k}k}의 집으로 보냈으며, {k{k{안식일}k}k} 동안 거기에 머물게 했다. {k{k{요한}k}k} 자신은, 이때 {k{k{로마}k}k} 지휘관과 친해졌기 때문에, {k{k{빌라도}k}k}로부터 {k{k{예수}k}k}의 시체를 가져가도록 허락한다는 명령을 가지고 {k{k{요셉}k}k}과 {k{k{니고데모}k}k}가 거기에 도착할 때까지, {k{k{골고다}k}k}에 남아 있었다.
[57]| 방대한 한 우주에 비참함과 슬픔이 가득했던 하루는 그렇게 끝났는데, 그 우주의 무수한 지성체들은, 인간으로 육신화 된 사랑하는 {k{k{주권자}k}k}가 십자가에 처형되는 끔찍한 장면에 몸서리쳤으며;필사자의 냉담함과 인간의 사악함이 이렇게 나타난 것으로 인해 기절할 정도였다. 
