[1]| 제36편{{{br}}} 생명 운반자
[59]| 5. {i{i{조언의}i}i} {i{i{기질}i}i} --사회적 충동, 종{種}끼리 협동하는 재능;의지를 지닌 피조물이 동료들과 조화를 이루는 역량;하등 피조물끼리 군생{群生}하려는 본능의 근원.
[60]| 6. {i{i{경배의}i}i} {i{i{기질}i}i} --종교적 자극, 정신을 가진 피조물을 두 가지 기본 필사자 실존 계층으로 분리시키는 특이한 첫 충동. 경배의 기질은, 관련된 동물을, 정신 재능은 있지만 혼은 없는 피조물로부터 영원토록 구별시킨다. 경배는 영적으로_상승할 수 있는 후보자의 자격이 있음을 나타낸다.
[61]| 7. {i{i{지혜의}i}i} {i{i{기질}i}i} --모든 도덕적 피조물이 질서 있게 점진적으로 진화해서 진보하려는 선천적인 경향. 이것은 보조체 중에서 가장 높은데, 다른 모든 보조체의 업무를 조정하고 관련시키는 영이다. 이 영은 정신을 지닌 피조물이 실존에서 얼마나 상승하고 있는지에 대해, 실제적이고 효과적인 계획표를 작성하고 관리하는 타고난 충동의 비결이며;살아있는 것들의 이 재능은, 그들의 살아남기 위한 불가해한 역량, 그리고 살아남은 경우에는, 관련된 그 유기체의 정신 속에서 다른 여섯 정신 사역자 전체가 동원할 수 있는 모든 것을 획득하기 위해, 그들의 과거 체험과 현재 기회 전체를 조화시킬 수 있는 역량을 설명한다. 지혜는 지적 성취의 절정이다. 지혜는, 순전히 정신적이고 도덕적인 실존이 달성할 목표다.
[62]| 보조 정신_영들은 체험함으로 성장하지만, 결코 인격있는 존재가 될 수 없다. 그들은 기능적으로 진화하며, 동물 계층에 있는 처음 다섯 가지 기능은, 일곱 가지 전체가 인간 지능으로서 작용하는 데 어느 정도 필수적이다. 동물과의 이런 관계는, 보조체들로 하여금 인간 정신으로서 더 실제적으로 효과를 발휘하게 만들며;따라서 동물은 사람의 육체적 진화뿐 아니라, 지적{知的} 진화에도 어느 정도 필수적이다.
[63]| 동력 중심과 물리 통제관들이 우주의 생명 없는 힘과 관련돼 있음과 거의 똑같이, 지방우주{k{k{ }k}k}{k{k{어머니}k}k} {k{k{영}k}k}의 이 정신_보조체들은 지성적 신분을 가진 피조물 생명체와 관련된다. 그들은 인간거주 세계에 있는 정신 회로에서 매우 귀중한 봉사를 수행하며, {k{k{총괄}k}k} {k{k{물리}k}k} {k{k{통제관}k}k}들과 효과적으로 협력하는 자들인데, 이 {k{k{총괄}k}k} {k{k{물리}k}k} {k{k{통제관}k}k}들은 또한 보조체를 받기 전의 정신 수준인, 학습력_없는 정신, 즉 기계적 정신 수준에서 통제관과 지휘자로서 일한다.
[64]| 살아있는 정신은, 체험을 통해서 배울 수 있는 능력이 출현하기 전에는, {k{k{총괄}k}k} {k{k{물리}k}k} {k{k{통제관}k}k}들이 돌보는 영역이다. 피조물 정신은, 신성{神性}을 인식하고 {k{k{신격}k}k}을 경배하는 역량을 획득하기 전에는, 보조 영들의 독자적 영역이다. 피조물의 지능이 영적으로 반응하게 됨에 따라서, 그런 창조된 정신은 즉시 초월정신이 되는데, 지방우주{k{k{ }k}k}{k{k{어머니}k}k} {k{k{영}k}k}의 영 순환 속으로 즉각 회로화 된다.
[65]| {k{k{신성한}k}k} {k{k{사역자}k}k}는 인간거주 세계들의 {k{k{거룩한}k}k} {k{k{영}k}k}이며, 보조 정신_영들은 그의 몸소 현존하는 영의 다양하고 매우 영적인 기능과 어떤 면에서도 직접 관련이 없지만;그들은 진화하는 사람 안에서 바로 이 영이 출현하는 것보다 기능적으로 앞서며, 그 출현을 위해 준비한다. 보조체들은, {k{k{우주}k}k} {k{k{어머니}k}k} {k{k{영}k}k}으로 하여금 지방우주의 살아있는 물질 피조물과 다양한 접촉을 이루게 하고, 그들을 통제할 수 있게 하지만, 선{先}인격 수준에서 활동할 때에는 {k{k{지존하신}k}k} {k{k{분}k}k} 안에 반응을 일으키지 않는다.
[66]| 비영적 정신은 영_에너지의 형태화 또는 물리적_에너지의 현상이다. 인간 정신은, 인격있는 정신일지라도, 영과 일체가 되지 않으면 생존할 자질을 갖추지 못한다. 정신은 신성{神性}이 증여한 것이지만, 영 통찰력 없이 작용할 때, 그리고 경배 드리면서 생존을 갈망하는 역량이 없을 때에는 불멸하지 않는다.
[67]| {b{b{6. }b}b}{b{b{{k{k{살아있는}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{세력}k}k}}b}b}
[68]| 생명은 기계적인 동시에 생동적이다--곧 물질적인 동시에 영적이다. {k{k{유란시아}k}k} 물리학자와 화학자들은 식물 및 동물 생명체의 원형질 형태를 이해하는 데 늘 진보하겠지만, 살아있는 유기체를 만들 수는 결코 없을 것이다. 생명체는 모든 에너지 형태화와는 다른 어떤 것이며;육체를 가진 피조물의 물질적 생명조차 물질에 내재하지 않는다.
[69]| 물질인 사물은 독립된 실존을 누릴지 모르지만, 생명은 오직 생명으로부터 발생된다. 정신은 오직 선재{先在}하는 정신으로부터 유래될 수 있다. 영은 오직 영 선조들로부터 기원된다. 피조물이 생명체 형태를 만들 수는 있겠지만, 오직 창조자 인격체 또는 창조적 세력만이, 활성화시키는 살아있는 섬광을 제공할 수 있다.
[70]| {k{k{생명}k}k} {k{k{운반자}k}k}들은 살아있는 존재의 물질 형태 또는 육체 원형{原型}을 조직할 수 있지만, {k{k{영}k}k}이 생명의 최초 섬광을 제공하고 정신이라는 재능을 증여한다. 심지어 {k{k{생명}k}k} {k{k{운반자}k}k}들이 {k{k{살빙톤}k}k} 세계에서 조직하는 살아있는 실험용 생명체 형태도, 번식 능력은 항상 결여돼 있다. 생명 공식과 활력 원형들이 정확하게 조립되고 알맞게 조직화 됐을 때, 한 {k{k{생명}k}k} {k{k{운반자}k}k}의 현존은 생명체를 태동시키기에 충분하지만, 그런 모든 살아있는 유기체에는 필수적인 두 속성이--곧 정신 재능과 번식 능력이-- 결여돼 있다. 동물의 정신과 인간의 정신은 지방우주{k{k{ }k}k}{k{k{어머니}k}k} {k{k{영}k}k}의 선물인데, 일곱 보조 정신_영을 통해서 작용하며, 한편 번식할 수 있는 피조물 역량은, {k{k{생명}k}k} {k{k{운반자}k}k}들이 개시한, 선조 생명 원형질에, {k{k{우주}k}k} {k{k{영}k}k}이 특유하게 직접 나눠준 것이다.
[71]| {k{k{생명}k}k} {k{k{운반자}k}k}들이 생명체 원형의 설계를 완료했을 때, 즉 에너지 체계를 조직한 후에, 추가적인 어떤 현상이 반드시 발생돼야 하며;“생명의 숨결”이, 생명 없는 이 형체 속으로 주입돼야 한다. {k{k{하나님}k}k}의 {k{k{아들}k}k}들이 생명체 형태를 만들 수 있지만, 생명을 일으키는 섬광을 실제로 제공하는 이는 {k{k{하나님}k}k}의 {k{k{영}k}k}이다. 그리고 이렇게 주입된 생명이 바닥나면, 남아있는 물질 육신은 다시 죽은 물체가 된다. 증여된 생명이 고갈될 때, 육신은 물질 우주의 품으로 돌아가는데, 그 육신은 에너지_물질에 속하는, 눈에 보이는 그런 연합체에 {k{k{생명}k}k} {k{k{운반자}k}k}들이 전달했던 그 생명 재능을 위해 일시적 운반체로서 작동하도록, {k{k{생명}k}k} {k{k{운반자}k}k}들이 물질 우주로부터 빌려온 것이다.
[72]| {k{k{생명}k}k} {k{k{운반자}k}k}들이 식물과 동물에 증여한 생명은, 그 식물이나 동물이 죽었을 때 {k{k{생명}k}k} {k{k{운반자}k}k}들에게 돌아가지 않는다. 살아있는 그런 물체에서 떠나가는 생명은 독자성{獨自性}도 없고 인격도 없으며;그 생명은 죽은 후에 개별적으로 살아남지 않는다. 실존하던 동안, 그리고 물질로 된 본체 속에 머물렀을 때, 생명은 변화를 겪었으며;에너지의 진화를 겪었고, 우주에서 시공우주 세력의 한 부분으로서만 살아남으며;개별 생명체로는 살아남지 않는다. 필사 피조물의 생존은, 필사 정신 속에 있는 불멸하는 혼의 진화에 전적으로 달려 있다.
[73]| 우리가 생명을 “에너지”와 “세력{힘}”으로 언급하지만, 실제로는 둘 다 아니다. 세력과_에너지는 다양하게 인력에 반응하지만;생명은 그렇지 않다. 원형{原型} 역시 인력에 반응하지 않는데, 인력에_반응해야 할 모든 책무를 이미 충족시킨 에너지로 구성돼 있기 때문이다. 그런 생명은 어떤 배열된_원형{原型} 또는 그 밖의 분리된 --물질적, 정신적, 또는 영적-- 에너지 체계에 생기{生氣}를 불어넣은 것이다.
[74]| 진화 행성들에는, 우리에게 전반적으로 분명하지 않은, 생명 합성과 관련된 어떤 것들이 있다. {k{k{생명}k}k} {k{k{운반자}k}k}들의 전기화학적 공식을 따르는 물리적 유기체를 우리가 충분히 납득하지만, {i{i{생명}i}i}{i{i{_}i}i}{i{i{활성화}i}i} {i{i{섬광}i}i}의 본질과 근원을 전부 알지는 못한다. 우리는, 생명이 {k{k{아버지}k}k}로부터 {k{k{아들}k}k}을 통해서, 그리고 {k{k{영}k}k}을 {i{i{따라서}i}i} 흐른다는 것을 안다. {k{k{으뜸}k}k} {k{k{영}k}k}들이, 모든 피조물에게 쏟아 부어지는 생명의 강이 흐르는 칠중{七重} 경로일 가능성이 매우 높다. 그러나 우리는 새로운 행성에 생명이 증여되는 초기 사건에, 감독하는 {k{k{으뜸}k}k} {k{k{영}k}k}이 어떤 기법으로 참여하는지, 납득하지 못한다. 우리가 확신하기로는, {k{k{태고}k}k} {k{k{항존자}k}k} 역시, 새로운 세계에서 이 생명 개시{開始}에 어떤 역할을 하지만, 우리는 그 본질이 무엇인지 전혀 알지 못한다. {k{k{우주}k}k} {k{k{어머니}k}k} {k{k{영}k}k}이 생명 없는 원형을 실제로 활성화시키고, 활성화된 그런 원형질에 유기체의 번식 특권을 첨부시킨다는 것을 우리는 안다. 이 세 가지가 때로는 시간과 공간의 {k{k{최상급}k}k} {k{k{창조주}k}k}들을 가리키는 {k{k{칠중}k}k} {k{k{하나님}k}k}의 수준임을 우리가 목격하지만;그밖에 우리는 {k{k{유란시아}k}k} 필사자들보다 더 알지 못한다--다만, 개념은 {k{k{아버지}k}k} 안에, 표현은 {k{k{아들}k}k} 안에, 생명의 실현은 {k{k{영}k}k} 안에 고유하다는 것을 알 뿐이다.
[75]| [{k{k{유란시아}k}k}에 참관인으로 머물고, {k{k{감독하는}k}k} {k{k{계시}k}k} {k{k{단체}k}k}의 {k{k{멜기세덱}k}k} {k{k{우두머리}k}k}의 요청에 따라서, 이 자격으로 행동하는 {k{k{보론다덱}k}k} {k{k{아들}k}k}이 작성했음]
