[1]| 제55편{{{br}}} 빛과 생명의 구체
[75]| 4. {i{i{빛과}i}i} {i{i{생명의}i}i} {i{i{넷째}i}i} {i{i{단계}i}i}. 그 세계들에, {k{k{삼위일체}k}k} {k{k{교사}k}k} {k{k{아들}k}k}들이 새로운 역할을 띠고 나타난다. 그들은 자신이 속한 계층과 매우 오랫동안 연합했던, 피조물에서_삼자일체된 아들들의 보조를 받아, 이제 {k{k{행성}k}k} {k{k{주권자}k}k} 및 그 동역자들에게 자발적 조언자와 충고자로서 그 세계들로 온다. 그런 쌍은--곧 {k{k{낙원}k}k}_{k{k{하보나}k}k}에서_삼일체된 아들 및 상승자에서_삼자일체된 아들은-- 행성 통치자들을 고귀하게 섬길 수 있는, 차이 나는 우주 관점과 다양한 개인 체험을 보여준다.
[76]| {k{k{행성}k}k} {k{k{아담}k}k}과 {k{k{이브}k}k}는, 이 시대 이후에 언제든지, 자신의 {k{k{낙원}k}k} 상승을 시작하기 위해 행성 의무에서 풀려나게 해달라고 {k{k{주권자}k}k} {k{k{창조주}k}k} {k{k{아들}k}k}에게 청원할 수 있으며, 아니면 점점 더 영적인 사회에 새롭게 출현하는 계층의 지휘자로서 행성에 남을 수 있는데, 그 영적 사회는, {k{k{찬란한}k}k} {k{k{저녁별}k}k}들이 묘사한 완결성취자들의 철학적 교훈을 납득하려고 애쓰는 진보된 필사자들로 구성돼 있으며, {k{k{찬란한}k}k} {k{k{저녁별}k}k}들은, 연방우주의 본부에서 온 제2스라빔과 쌍을 이뤄 공동으로 일하도록 이제 이런 세계에 배정된다. 
[77]| 완결성취자들은, 사회의 새로운 초물질적인 활동을--곧 사회 활동, 문화 활동, 철학 활동, 시공우주 활동, 및 영적 활동을-- 개시하는 데 주로 참여한다. 우리가 식별하는 한, 그들은 진화로 안정된 일곱째 시기 속으로 깊숙이 들어갈 때까지 이 사역을 계속할 것인데, 아마 그때, 외부 공간에서 사역하려고 나갈지도 모르며;그래서 우리는 {k{k{낙원}k}k}으로부터 오는 유한절대 존재들이 그들의 자리를 대치할지도 모른다고 추측한다.
[78]| 5. {i{i{빛과}i}i} {i{i{생명의}i}i} {i{i{다섯째}i}i} {i{i{단계}i}i}. 정착된 실존에 대한 이 단계의 재조정은, 거의 완전히 물리적 분야에 관한 것이며, {k{k{총괄}k}k} {k{k{물리}k}k} {k{k{통제관}k}k}들의 주요 관심사다.
[79]| 6. {i{i{빛과}i}i} {i{i{생명의}i}i} {i{i{여섯째}i}i} {i{i{단계}i}i}는, 그 영역에서 정신 회로의 새로운 기능들이 개발되는 것을 목격한다. 시공우주의 지혜는, 정신이 우주에게 베푼 사역의 일부분인 듯하다.
[80]| 7. {i{i{빛과}i}i} {i{i{생명의}i}i} {i{i{일곱째}i}i} {i{i{단계}i}i}. 일곱째 시기에 일찍이, {k{k{태고}k}k} {k{k{항존자}k}k}들이 보낸 어떤 자발적 충고자가, {k{k{행성}k}k} {k{k{주권자}k}k}에게 조언하는 {k{k{삼위일체}k}k} {k{k{교사}k}k}와 합세하며, 나중에는 연방우주의 {k{k{최상급}k}k} {k{k{행정관}k}k}이 그들에게 보낸 세 번째 조언자로 보강될 것이다.
[81]| 이 시기 이전 또는 이 시기 동안에, {k{k{아담}k}k}과 {k{k{이브}k}k}가 반드시 행성 임무에서 풀려난다. 완결성취자 단체에 한 {k{k{물질}k}k} {k{k{아들}k}k}이 있다면, 그는 필사 행정관 우두머리와 연합할지도 모르며, 때로는 한 {k{k{멜기세덱}k}k}이 이 자격으로 활동하겠다고 자원한다. 한 명의 중도자가 완결성취자들 가운데 있다면, 행성에 남아 있는 그 계층 전체가 즉각 풀려난다.
[82]| 긴 세월의 임무에서 풀려남에 따라, {k{k{행성}k}k} {k{k{아담}k}k}과 {k{k{이브}k}k}는 다음과 같은 생애를 선택할 수 있다:
[83]| 1. 그들은 행성에서 풀려나는 것을 보증 받을 수 있으며, {k{k{낙원}k}k}으로 가는 생애를 우주 본부에서 즉각 시작하고, 모론시아 체험이 완료될 때 {k{k{사고}k}k} {k{k{조율사}k}k}를 받는다.
[84]| 2. 아주 흔히, {k{k{행성}k}k} {k{k{아담}k}k}과 {k{k{이브}k}k}는, 빛 속에 정착된 어떤 세계에서 아직 근무하는 동안에 {k{k{조율사}k}k}를 받게 될 것이며, 이것은 어떤 기간의 행성 봉사를 위해서 자원한, 외계에서 들어온 순수_혈통의 자녀 가운데 일부가 {k{k{조율사}k}k}를 받게 됨과 동시에 일어난다. 그 후에 그들은 모두 우주 본부로 가서, 거기서 {k{k{낙원}k}k} 생애를 시작할 수 있다.
[85]| 3. {k{k{행성}k}k} {k{k{아담}k}k}과 {k{k{이브}k}k}는 --체계 본부에서 온 {k{k{물질}k}k} {k{k{아들}k}k}과 {k{k{딸}k}k}들이 하듯이-- 잠깐 머물기 위해서 중간유한절대 세계로 직접 가기로 선택할 수 있는데, 거기서 {k{k{조율사}k}k}를 받는다.
[86]| 4. 그들은 체계 본부로 돌아가기로 결정할 수 있는데, 거기서 한동안 최고 법정에서 자리를 차지하며, 그 근무를 마친 후에 {k{k{조율사}k}k}를 받고 {k{k{낙원}k}k} 상승을 시작한다.
[87]| 5. 경영 임무를 마치고, 자신이 태어났던 세계로 가서 한동안 선생으로서 근무하기로 선택할 수 있으며, 그들이 우주 본부로 이동할 때 {k{k{조율사}k}k}가 내주하게 된다.
[88]| 이 모든 시기들 내내, 외계에서 들어온 보조하는 {k{k{물질}k}k} {k{k{아들}k}k}과 {k{k{딸}k}k}들은, 진보하는 사회 및 경제 체제에 굉장한 영향을 미친다. 적어도 그들은 인간화 되고, {k{k{조율사}k}k}를 받으며, {k{k{낙원}k}k}을 향해 출발하기로 선택하는 그 시점까지는 잠재적으로 불멸한다.
[89]| 진화 세계에서 {k{k{사고}k}k} {k{k{조율사}k}k}를 받기 위해서는, 어떤 존재든지 반드시 인간화돼야 한다. {k{k{필사}k}k} {k{k{완결성취자}k}k} {k{k{단체}k}k}의 상승하는 모든 구성원에게는 {k{k{조율사}k}k}가 이미 내주하고 융합했으며, 스라빔은 예외인데, 스라빔에게는 이 단체로 소집되는 시점에 {k{k{아버지}k}k}가 다른 유형의 영으로서 내주한다.
[90]| {b{b{5. }b}b}{b{b{{k{k{물질}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{발달의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{전성기}k}k}}b}b}
[91]| {k{k{유란시아}k}k}처럼, 죄에_짓눌리고, 악이_지배하고, 자아를_추구하는, 격리된 세계에 사는 필사 피조물은, 죄 없는 구체에서 이 진보된 진화 시기들의 특징인, 물리적 완전성, 지적 달성, 및 영적 발전을 도저히 상상할 수 없다.
[92]| 빛과 생명에 정착된 세계의 진보된 단계는 물질 진화 발달의 전성기를 나타낸다. 교화{敎化}된 이런 세계에서는, 초기 원시 시대의 게으름과 충돌이 이미 사라졌다. 가난과 사회적 불평등이 모두 사라졌고, 퇴화가 없어졌으며, 직무 태만은 보기 힘들다. 정신병이 실제로 사라졌고, 정신_박약은 아주 드물다.
[93]| 이 세계들의 경제, 사회, 및 경영 상태는, 고귀하고 완전하게 된 계층에 속한다. 과학, 예술, 및 산업이 번창하고, 사회는 높은 물질적, 지적, 및 문화적 성취를 이뤄서 순조롭게 작동하는 구조다. 산업은 대체로 그런 뛰어난 문명의 높은 목표를 돕는 쪽으로 크게 전환됐다. 그런 세계의 경제생활은 윤리에 맞춰져 왔다.
[94]| 전쟁은 역사의 관심거리가 돼버렸고, 더 이상 군대나 경찰은 없다. 정부는 점차 사라지고 있다. 자아_통제가, 인간이 제정한 법규를 서서히 쓸모없게 만들고 있다. 문명이 중간 정도로 발전돼 있을 때, 시민 정부와 법적 규제는, 시민이 도덕적이고 영적일수록 줄어든다.
[95]| 학교는 광범하게 개선되고, 정신 훈련과 혼{魂}의 성장에 기여한다. 예술의 전당은 매우 아름답고 음악 단체는 뛰어나다. 경배 드리는 성전은, 그에 관련된 철학 및 체험적 종교 학교들과 함께 아름다움과 장엄함을 연출한다. 경배 드리는 집회가 열리는 야외무대는 단순한 예술적 치장이 똑같이 장엄하다.
[96]| 경쟁하는 놀이, 유머, 그리고 다른 국면의 개인적 및 집단적 성취를 위한 설비는 충분하고 적절하다. 고도로 문화화 된 그런 세계에서 경쟁 활동의 특별히 두드러진 점은, 과학과 우주론{宇宙論} 철학에서 뛰어나려고 개인 및 집단이 기울이는 노력과 관계된다. 문학과 웅변술이 번창하고, 언어는 생각을 표현할 뿐만 아니라 개념을 잘 상징하도록 무척 개선된다. 삶은 상쾌하고 단순하며;사람은 마침내 고도의 기계 발달과 영감 주는 어떤 지적 달성을 조화시켰고, 절묘한 영적 성취는 이 두 가지를 무색하게 만든다. 행복을 추구하는 것은 기쁘고도 만족스런 체험이다.
[97]| {b{b{6. }b}b}{b{b{{k{k{개별}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{필사자}k}k}}b}b}
[98]| 세계들이 빛과 생명의 정착된 상태에서 진보할 때, 사회는 점점 더 평화롭게 된다. 개인은, 확실히 자립하고, 자기 가족에 헌신하는 한편, 더 이타적이고 더 형제답게 된다.
[99]| {k{k{유란시아}k}k}에서 너희는, 현재 상태 그대로는, 완전하게 된 이런 세계들에서 사는 계몽된 인종들의 발전된 상태와 진보된 본성을 거의 이해할 수 없다. 이런 민족은 진화 인종들의 전성기다. 그러나 그런 존재들도 여전히 필사{必死}이며;계속 숨 쉬고, 먹고, 자고, 마신다. 이렇게 대단한 진화도 하늘나라가 아니며, 하지만 {k{k{낙원}k}k}으로 상승하는 신성한 세계들을 훌륭하게 예시한다.
[100]| 정상 세계에서, 필사자 인종의 생물학적 건강은, {k{k{아담}k}k}_이후 시기들 동안 높은 수준에 이르게 된지 오래 됐으며;이제, 안정된 여러 시대 전반에 걸쳐서 사람의 육신적 진화는 계속된다. 보는 것과 듣는 것이 모두 확장됐다. 이제는 인구가 고정된 숫자로 안정된다. 출산은 행성의 요구와 타고난 유전적 자질에 따라서 규제를 받는데:이 시기 동안, 행성에 있는 필사자들은 다섯 내지 열 개의 집단으로 구분되며, 하류 집단은 상류 집단보다 절반 정도의 자녀만 두도록 허용된다. 빛과 생명의 시대 전반에 걸친 그런 훌륭한 인종의 계속된 개선은 대체로, 우수한 양질의 사회적 본성, 철학적 본성, 시공우주의 본성, 및 영적 본성을 나타내는 인종 혈통을 선택적으로 번식시키는 문제다.
[101]| 이전{以前}의 진화 시대들과 마찬가지로 {k{k{조율사}k}k}가 계속 도래하며, 시기들이 지남에 따라, 이 필사자들은 내주하는 {k{k{아버지}k}k} 단편과 점점 더 친밀하게 교제할 수 있다. 영적 발달 단계 이전의 배아기{胚芽期}에는 보조 정신_영들이 여전히 작용하고 있다. 정착된 생명의 계속되는 여러 시기를 체험함에 따라서, {k{k{거룩한}k}k} {k{k{영}k}k}과 천사들의 사역은 더욱 효과를 나타낸다. 빛과 생명의 넷째 단계에서, 진보된 필사자들은 연방우주가 관할하는 {k{k{으뜸}k}k} {k{k{영}k}k}의 영 현존과 상당히 큰 의식적{意識的} 접촉을 체험하게 되는 것처럼 보이며, 한편 그런 세계의 철학은, {k{k{지존자}k}k} {k{k{하나님}k}k}의 새로운 계시를 이해하려는 시도에 집중된다. 이런 진보된 상태의 행성에서는, 인간 거주자 가운데 반 이상이, 살아 있는 상태에서 모론시아 상태로 전환되는 것을 체험한다. 그렇더라도, “옛 것들은 지나가고 있으니, 보라, 모든 것이 새롭게 되고 있다.”
[102]| 빛_과_생명의 시대 가운데 다섯째 시기가 끝날 무렵에, 육체의 진화가 완전한 발달을 달성하게 되리라고 우리는 생각한다. 진화하는 인간 정신과 관련된 영적 발달의 상한{上限}은, 모론시아 가치기준과 시공우주 의미가 결합된 수준, {k{k{조율사}k}k}와_융합하는 수준에 따라서 결정되는 것을 우리는 목격한다. 그러나 지혜에 관해서는:우리가 정말로 알지 못하지만, 지적 진화와 지혜의 달성에 한계가 결코 있을 수 없다고 추측한다. 일곱째 단계의 세계에서, 지혜는 물질 잠재력을 다 나타내고, 모타 통찰력으로 들어갈 수 있으며, 결국 유한절대의 위대함도 맛볼 수 있다.
[103]| 우리는, 고도로 진화되고 오래 지속되는 일곱째 단계의 세계에서, 인간이 전환되기 전에 지방우주 언어를 충분히 배우는 것을 봤으며;나는, 어밴돈터들이 비교적 나이 든 필사자들에게 연방우주 방언을 가르치고 있는, 아주 오래된 몇몇 늙은 행성을 방문한 적이 있다. 그리고 나는 이런 세계에서, 유한절대 인격체들이 모론시아 성전에서 완결성취자들의 현존을 드러내는 기법을 관찰해 왔다.
[104]| 이것은 진화 세계들에서 일어나는 필사자 투쟁의 훌륭한 목표에 대한 이야기이며;인간이 모론시아 생애에 들어가기도 전에 전부 발생하며;인간거주 세상에서 물질적 필사자는, 이 모든 찬란한 발전을 달성할 수 있으며, 그런 달성은, {k{k{낙원}k}k}으로 상승하고 신성에 도달하는, 끝없고 납득할 수 없는 그 생애의 바로 첫 단계다.
[105]| 그러나 정착된 빛과 생명의 일곱째 시기에 오래 존속한 세계들로부터, 지금 어떤 종류의 진화 필사자들이 출현하고 있는지, 너희가 상상할 수 있을까? 자신의 상승 생애를 시작하려고, 지방우주 본부의 모론시아 세계들로 나아가는 그런 존재들이다.
[106]| 혼란스런 {k{k{유란시아}k}k} 필사자들이, 빛과 생명에 오랫동안 정착한, 비교적 더 진보된 이 세계 가운데 하나를 볼 수만 있다면, 진화적 창조 기획이라는 지혜에 대해서 다시는 의심을 품지 않을 것이다. 설령 피조물이 영원히 진보하는 미래가 없더라도, 완전함을 성취한 그런 정착된 세계에서 필사자 인종들이 진화로 훌륭하게 달성한 것은, 시간과 공간의 여러 세계에서 사람을 창조한 것을 여전히 정당화시키고도 남을 것이다.
[107]| 우리는 종종 숙고해 본다:광우주가 빛과 생명에 정착하게 되면, 상승하는 세련된 필사자들이 여전히 {k{k{완결성취}k}k} {k{k{단체}k}k}로 들어가게 돼있을까? 그러나 우리는 모른다.
[108]| {b{b{7. }b}b}{b{b{{k{k{첫째}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{단계}k}k}}b}b}{b{b{,}b}b}{b{b{ }b}b}{b{b{{k{k{행성}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{단계}k}k}}b}b}
[109]| 이 시기는, 새로운 행성 본부에 모론시아 성전이 나타나는 때부터, 전체 체계가 빛과 생명에 정착하는 때까지 계속된다. 이 시기는, {k{k{삼위일체}k}k} {k{k{교사}k}k} {k{k{아들}k}k}들이 그들의 계속되는 세계 사명을 종료할 때 시작되는데, 그때 그 구체의 {k{k{낙원}k}k} 증여 {k{k{아들}k}k}의 명령으로, 그리고 몸소 출현함으로, {k{k{행성}k}k} {k{k{왕자}k}k}는 {k{k{행성}k}k} {k{k{주권자}k}k} 신분으로 올라간다. 이와 동시에, 완결성취자들은 행성 직무에 능동적으로 참여하기 시작한다.
[110]| 겉으로 눈에 보이는 현상으로는, 빛과 생명에 정착된 그런 세계의 실제 통치자 또는 지휘자는, {k{k{물질}k}k} {k{k{아들}k}k}과 {k{k{딸}k}k}, 즉 {k{k{행성}k}k} {k{k{아담}k}k}과 {k{k{이브}k}k}다. 완결성취자들은 눈에 보이지 않는데, 모론시아 성전에 있는 경우를 제외하면 {k{k{왕자}k}k}_{k{k{주권자}k}k} 역시 그렇다. 그러므로 행성 체제의 실제적이고 엄밀한 의미의 우두머리는 {k{k{물질}k}k} {k{k{아들}k}k}과 {k{k{딸}k}k}이다. 우주 영역들에 두루, 왕과 왕비의 관념이 눈길을 끌어온 것은 이런 제도를 알았기 때문이다. 그리고, 이런 이상적 환경 아래서 왕과 왕비는 대단히 성공한 자인데, 그런 경우에 한 세계는 그렇게 높은 인격체들에게, 더 높지만 눈에 보이지 않는 통치자들을 대신해서 활동하라고 명령할 수 있다.
[111]| 너희 세계가 그런 시대에 도달할 때, 의심할 여지없이, 현재 {k{k{유란시아}k}k}의 대리 {k{k{행성}k}k} {k{k{왕자}k}k}인 {k{k{마키벤타}k}k} {k{k{멜기세덱}k}k}이 {k{k{행성}k}k} {k{k{주권자}k}k} 자리에 않게 될 것이며;{k{k{노라티아덱}k}k}의 {k{k{지고자}k}k}의 피보호자로서 현재 {k{k{에덴시아}k}k}에 머물고 있는 {k{k{유란시아}k}k} {k{k{아담}k}k}과 {k{k{이브}k}k}의 한 아들과 딸이 그를 동반하리라고, {k{k{예루셈}k}k}에서 오랫동안 추측해 왔다. {k{k{아담}k}k}의 이 자녀들이 {k{k{멜기세덱}k}k}_{k{k{주권자}k}k}와 연합하여 {k{k{유란시아}k}k}에서 그렇게 근무할지도 모르는데, 이는 거의 37,000년 전, {k{k{에덴시아}k}k}로 운반되기 위해 준비하는 가운데 {k{k{유란시아}k}k}에서 자신의 물질 신체를 포기했을 당시에, 번식 능력을 뺏겼기 때문이다.
[112]| 정착된 이 시대는, 체계에 있는 모든 인간거주 행성마다 안정된 시절을 달성할 때까지 계속되며;그 다음에는, --마침내 빛과 생명을 성취한-- 가장 어린 세계가, 체계 시간으로 1,000년 동안 그런 정착을 체험했을 때, 전체 체계가 안정된 상태로 들어가며, 각 세계는 빛과 생명의 시대라는 체계 시기로 진입하게 된다.
[113]| {b{b{8. }b}b}{b{b{{k{k{둘째}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{단계}k}k}}b}b}{b{b{,}b}b}{b{b{ }b}b}{b{b{{k{k{체계}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{단계}k}k}}b}b}
[114]| 전체 체계가 생명 속에 정착하게 될 때, 새로운 체제의 정부가 출범한다. {k{k{행성}k}k} {k{k{주권자}k}k}들은 체계 비밀회의의 회원이 되며, {k{k{성좌}k}k} {k{k{아버지}k}k}들의 거부권에 지배되는 이 새로운 경영 기관이 최고 권위를 갖는다. 인간거주 세계들로 구성된 그런 체계는 사실상 자치정부가 된다. 체계의 입법 집회가 본부 세계에 설립되며, 각 행성마다 그곳으로 열 명의 대표자를 보낸다. 법정들이 이제 체계 본부들에 설립되고, 오직 항소{抗訴}만 우주 본부로 이관된다.
[115]| 체계가 정착됨에 따라서, 연방우주 {k{k{최상급}k}k} {k{k{행정관}k}k}의 대표자인 {k{k{배정된}k}k} {k{k{파수꾼}k}k}이, 체계의 최고 법정에게 자원하는 충고자가 되고, 새 입법 집회를 실제로 관장하는 관리가 된다.
[116]| 체계 전체가 빛과 생명에 정착한 후에는, {k{k{체계}k}k} {k{k{주권자}k}k}들이 더 이상 바뀌지 않을 것이다. 그런 주권자는 그 체계의 우두머리로서 영구히 남는다. 보조 주권자들은 이전{以前} 시대들에서 하던 것처럼 계속 바뀐다.
[117]| 안정되는 이 시기 동안에, 머물렀던 우주 본부 세계들로부터 처음으로 중간유한절대자들이 오는데, 입법 집회에 대해 조언하는 자로서, 그리고 판결 법정에 대한 자문가로서 활동하기 위해서다. 또한 이 중간유한절대자들은, 완결성취자들과 함께 공동으로 후원하는 가르치는 기관들에게, 최고의 가치를 갖는 새로운 모타 의미들을 가르치려는 특별한 노력을 기울인다. {k{k{물질}k}k} {k{k{아들}k}k}들이 필사자 인종들을 위해서 생물학적으로 행했던 것을, 이제 중간유한절대 피조물이, 철학 및 영성화 된 사고{思考}의 계속_발전하는 분야들에서, 통합되고 영화롭게 된 이 인간들을 위하여 행한다.
[118]| 인간거주 세계들에서, {k{k{교사}k}k} {k{k{아들}k}k}들은 완결성취자들과 함께 자발적으로 협동하는 자가 되며, 또한 바로 이 {k{k{교사}k}k} {k{k{아들}k}k}들은, 체계 전체가 빛과 생명에 정착한 후에, 그 구체들이 특이한 영접 세계로서 더 이상 활용되지 않게 될 때, 맨션 세계들까지 완결성취자들과 동행하며;성좌 전체가 그렇게 진화하는 때가 되면, 적어도 이것이 참말이다. 그러나 {k{k{네바돈}k}k}에는 그렇게 멀리 진보한 집단이 없다.
[119]| 우리는 다시 헌신된 그런 맨션 세계들을 감독하게 될 완결성취자들의 업무의 본질을 계시하도록 허락 받지 못했다. 아무튼 이 이야기에서 설명되지 않은, 다양한 유형의 지성 피조물이 우주들 전역에 있다는 것을 너희는 들었다.
[120]| 그리고 이제, 체계를 구성하는 세계들이 진보한 덕분으로, 체계들이 빛 속에 하나씩 정착하게 됨에 따라서, 주어진 한 성좌에서 마지막 체계가 안정될 때가 도래하며, 우주 행정관들--곧 {k{k{으뜸}k}k} {k{k{아들}k}k}, {k{k{합동}k}k} {k{k{항존자}k}k}, 그리고 {k{k{빛나는}k}k} {k{k{새벽별}k}k}--이 성좌 본부에 도착하는데, 인간거주 세계들로 이뤄진 정착된 100체계, 즉 새롭게 완성된 집단의 무조건 통치자는 {k{k{지고자}k}k}들이라고, 공표하기 위해서다.
[121]| {b{b{9. }b}b}{b{b{{k{k{셋째}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{단계}k}k}}b}b}{b{b{,}b}b}{b{b{ }b}b}{b{b{{k{k{성좌}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{단계}k}k}}b}b}
[122]| 정착된 체계들로 이뤄진 한 성좌 전체가 통합되면, 행정 권한을 새롭게 배분하고 추가로 우주 경영을 재조정하는 일이 뒤따른다. 이 시기에, 각 인간거주 세계에서 증진된 달성이 이뤄지는 것을 목격하지만, 그 특징은 체계 감독 및 지방우주 정부 양쪽과 맺는 관계가 두드러지게 수정됨과 아울러, 특별히 성좌 본부에서 재조정이 일어나는 것이다. 이 시기 동안에 많은 성좌 및 우주 활동이 체계 본부로 양도되며, 연방우주 대표자들은, 행성, 체계, 및 우주 통치자들과 새롭고 더 긴밀한 관계를 갖게 된다. 이런 새로운 연합과 동시에, 어떤 연방우주 경영자들이, {k{k{지고자}k}k} {k{k{아버지}k}k}들에게 자원하는 충고자로서 성좌 본부에 자리를 잡는다.
[123]| 한 성좌가 그렇게 빛 속에 정착할 때, 입법 기능이 멈추고, {k{k{지고자}k}k}들이 관장하는 {k{k{체계}k}k} {k{k{주권자}k}k}들의 의회가 대신 작용한다. 이제 그런 경영 집단들은, {k{k{하보나}k}k} 및 {k{k{낙원}k}k} 관계에 관한 문제에서 처음으로 연방우주 정부를 직접 상대한다. 그 외에 성좌와 지방우주의 관계는 전과 동일하다. 생명이 정착된 한 단계로부터 다음 단계로, 유니비타시아가 성좌의 모론시아 세계들을 계속 경영한다.
[124]| 시대가 지나감에 따라서, 세부 경영 기능 또는 전에 우주 본부에 중심 뒀던 감독 기능을, {k{k{성좌}k}k} {k{k{아버지}k}k}들이 점점 더 많이 맡게 된다. 여섯째 안정 단계를 달성하게 되면, 통합된 이 성좌들은 거의 완성된 자치권의 지위를 갖는 지점에 도달하게 될 것이다. 일곱째 정착 단계에 들어가게 되면, {k{k{지고자}k}k}라는 그들의 이름이 의미하는 참된 존엄성으로 이 통치자들이 고양되는 것을, 분명히 보게 될 것이다. 모든 의도와 목적으로 볼 때, 성좌들은 그때 연방우주 통치자들과 직접 상대하며, 한편 지방우주 정부는 새로운 광우주 책무를 책임 맡기까지 확장할 것이다.
[125]| {b{b{10. }b}b}{b{b{{k{k{넷째}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{단계}k}k}}b}b}{b{b{,}b}b}{b{b{ }b}b}{b{b{{k{k{지방우주}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{단계}k}k}}b}b}
[126]| 한 우주는, 빛과 생명 속에 정착하게 될 때, 확립된 연방우주 회로 속으로 곧 들어가며, {i{i{무제한의}i}i} {i{i{권세를}i}i} {i{i{가진}i}i} {i{i{최고}i}i} {i{i{협의회}i}i}가 설립됐음을 {k{k{태고}k}k} {k{k{항존자}k}k}들이 선포한다. 새로운 이 통치 기구는 100명의 {k{k{충실}k}k} {k{k{항존자}k}k}로 구성되고, {k{k{합동}k}k} {k{k{항존자}k}k}들이 주관하며, 이 최고 협의회의 첫 활동은 {k{k{으뜸}k}k} {k{k{창조주}k}k} {k{k{아들}k}k}의 계속되는 주권{主權}을 인정하는 것이다.
[127]| {k{k{가브리엘}k}k}과 {k{k{아버지}k}k} {k{k{멜기세덱}k}k}과 관계되는 한, 우주 경영은 별로 변하지 않는다. 무제한의 권한을 갖는 이 협의회는, 빛과 생명의 진보된 상태에서 발생하는 새로운 문제와 새로운 조건에 주로 관여한다.
[128]| {k{k{부}k}k}{{k{k{副}k}k}} {k{k{검사관}k}k}은{b{b{ }b}b}이제 {i{i{지방우주의}i}i} {i{i{안정화}i}i} {i{i{단체}i}i}를 설립하기 위해서 모든 {k{k{배정된}k}k} {k{k{파수꾼}k}k}을 동원하며, 자신과 함께 그 감독을 맡아달라고 {k{k{아버지}k}k} {k{k{멜기세덱}k}k}에게 요청한다. 그리고 이제 처음으로, {k{k{영감}k}k} {k{k{받은}k}k} {k{k{삼위일체}k}k} {k{k{영}k}k}들의 어떤 단체가 {k{k{합동}k}k} {k{k{항존자}k}k}의 근무에 배정된다.
[129]| 한 지방우주 전체가 빛과 생명에 정착하는 것은, 개별 인간거주 세계로부터 우주 본부에 이르기까지, 경영의 전체 짜임새에 깊숙한 재조정을 일으킨다. 새로운 관계가 아래로 성좌와 체계들까지 확장된다. 지방우주 {k{k{어머니}k}k} {k{k{영}k}k}은 연방우주의 {k{k{으뜸}k}k} {k{k{영}k}k}과 새로운 연락 관계를 체험하며, {k{k{가브리엘}k}k}은 {k{k{으뜸}k}k} {k{k{아들}k}k}이 본부 세계에서 부재{不在}하게 될 경우에 효력을 나타낼 수 있도록, {k{k{태고}k}k} {k{k{항존자}k}k}들과 직접 접촉을 수립한다.
[130]| 이 시대 및 이어지는 시대들 동안, {k{k{집정관}k}k} {k{k{아들}k}k}들이 섭리시대 심판관으로서 계속 활동하며, 한편 이 {k{k{낙원}k}k} {k{k{아보날}k}k} {k{k{아들}k}k}들 가운데 100명은, {k{k{빛나는}k}k} {k{k{새벽별}k}k}의 새로운 고등{高等} 협의회를 우주 수도에서 구성한다. 나중에, 그리고 {k{k{체계}k}k} {k{k{주권자}k}k}들이 요청할 때, 이 {k{k{집정관}k}k} {k{k{아들}k}k}들 가운데 하나가, 일곱째 통일 단계가 달성될 때까지, 각 지역 체계의 본부 세계에 머무는 최고 조언자가 될 것이다.
[131]| 이 시기 동안에, {k{k{삼위일체}k}k} {k{k{교사}k}k} {k{k{아들}k}k}들은, {k{k{행성}k}k} {k{k{주권자}k}k}들에게 자발적 자문가일 뿐만 아니라, 세 명씩 무리지어 {k{k{성좌}k}k} {k{k{아버지}k}k}들을 비슷하게 섬긴다. 그리고 마침내 이 {k{k{아들}k}k}들은 지방우주에서 자기 위치를 찾는데, 이때 그들이 그 지역 창조물에 대한 관할권에서 제외되고, 무제한 권세를 갖는 최고 협의회에서 근무하도록 배정되기 때문이다.
[132]| 완결성취자 단체는 이제 처음으로, {k{k{낙원}k}k}_바깥쪽 권세, 즉 최고 협의회의 관할권을 인지한다. 이제까지 완결성취자들은 {k{k{낙원}k}k} 이쪽에서 행하는 어떤 감독도 알아보지 못했다.
[133]| 그런 정착된 우주의 {k{k{창조주}k}k} {k{k{아들}k}k}은, {k{k{낙원}k}k} 및 그에 관련된 세계들에서, 그리고 지방 창조계에서 두루 근무하는 수많은 완결성취자 집단과 상담하는 일에 대부분의 시간을 보낸다. 이런 식으로, 사람으로서 왔던 {k{k{미가엘}k}k}은, 영화롭게 된 필사 완결성취자들과 더욱 충만한 형제우애 관계를 맺을 것이다.
