[1]| 제147편{{{br}}} 막간의 예루살렘 방문
[41]| “너희 가운데 일부가 오늘 {k{k{시몬}k}k}의 집에서 본 이 변화된 여자가, 지금 당장은 {k{k{시몬}k}k}과 그의 악의_없는 동료들보다 상당히 낮은 수준에서 살고 있지만;이 {k{k{바리새인}k}k}이 무의미하게 예식적으로 예배드리는 거짓된 모임들을 오가면서, 착각하는 거짓 진보에 사로잡혀있는 동안, 이 여자는 확실한 진지함으로 {k{k{하나님}k}k}을 향해 길고 중대한 추구를 시작했으며, 하늘을 향해서 가는 그의 길은 영적 자존심이나 도덕적 자만심으로 차단되지 않는다. 인간적으로 보면, 그 여자는 {k{k{하나님}k}k}으로부터 {k{k{시몬}k}k}보다 훨씬 멀리 떨어져 있는 듯이 보이나, 그 혼은 점진적인 움직임을 취하고 있으며;영원한 목표를 향해서 가는 중이다. 이 여자에게는 앞으로 엄청난 영적 가능성이 있다. 너희 가운데 더러는 혼과 영의 실제 수준에서 높은 곳에 있지 않을 수 있지만, 너희는 신앙을 통해서 {k{k{하나님}k}k}께로 올라가는 삶을 살아감으로써, 매일 향상을 보이고 있다. 너희 각자에게는 미래에 무궁한 가능성이 있다. 죽어버린 세상 지혜와 영적 불신으로 가득 찬 큰 지능을 갖고 있는 것보다, 작지만 살아있고 성장하는 신앙을 갖는 것이 훨씬 낫다.”
[42]| 그러나 {k{k{예수}k}k}께서는, {k{k{아버지}k}k}의 사랑을 당연시하는 {k{k{하나님}k}k}의 자녀의 어리석음에 대해 사도들에게 진지하게 경고했다. 하늘에 계신 {k{k{아버지}k}k}께서는, 언제나 죄를 묵인하고 무모함을 용서하는, 그렇게 느슨하고 헐겁고 어리석게 관대하기만 한 그런 부모가 아니라고 선언했다. 그는 청중에게, 이 세상에서 어리석은 자들과 공모해서 지각없는 자녀의 도덕적 타락을 초래하고, 그리하여 자식이 죄를 범하고 일찍부터 타락하도록 만드는 데 확실하게 직접 기여하는, 너무 관대하고 현명치 못한 어떤 부모처럼 {k{k{하나님}k}k}이 그렇게 표현되도록, 아버지와 아들에 대한 자신의 예증을 적용시키지 말라고 경고했다. {k{k{예수}k}k}께서 말씀했다:“내 {k{k{아버지}k}k}께서는, 자녀들이 도덕적으로 성장하고 영적으로 진보하는 모든 발걸음에서 자멸하고 자살하는, 그런 행위와 버릇을 관대하게 묵인하지 않으신다. 죄로 가득한 그런 행동은 {k{k{하나님}k}k} 보시기에도 혐오스럽다.”
[43]| {k{k{예수}k}k}께서 사도들과 마침내 {k{k{가버나움}k}k}으로 떠나기 전까지, {k{k{예루살렘}k}k}에서 높은 자와 낮은 자, 부자와 가난한 자들과 함께, 약간 사적인 다른 여러 모임과 연회에 참여했다. 많은 사람이 진정으로 천국 복음을 믿게 됐으며, 그들은 나중에 {k{k{아브넬}k}k}과 동역자들에게서 세례를 받고, 천국에 대한 관심을 촉진시키는 일을 하면서 {k{k{예루살렘}k}k}과 그 주변에 남아 있었다.
[44]| {b{b{6. }b}b}{b{b{{k{k{가버나움으로}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{돌아가면서}k}k}}b}b}
[45]| 4월 마지막 주에, {k{k{예수}k}k}와 열두 사도는 {k{k{예루살렘}k}k} 근처에 있는 {k{k{베다니}k}k} 본부를 떠나서, {k{k{여리고}k}k}와 {k{k{요단}k}k}을 경유해 {k{k{가버나움}k}k}으로 돌아가는 여행길에 올랐다.
[46]| 제사장들과 {k{k{유대}k}k} 종교 지도자들은, {k{k{예수}k}k}에 관한 대책을 결정하기 위한 목적으로 여러 차례 비밀 회담을 열었다. {k{k{예수}k}k}의 가르침을 중단시킬 어떤 조치를 취해야 한다는 것에 그들 모두가 동의했지만, 방법에서는 합의할 수 없었다. 그들은 {k{k{헤롯}k}k}이 {k{k{요한}k}k}을 처형한 것처럼 정부가 {k{k{예수}k}k}를 처벌해 주기 바랐으나, {k{k{로마인}k}k} 관리들이 그의 설교에 그다지 놀라지 않도록, {k{k{예수}k}k}께서 일을 잘 진행시켰음을 알아차렸다. 따라서 {k{k{예수}k}k}가 {k{k{가버나움}k}k}으로 떠나기 전날 열렸던 회담에서, 그들은 {k{k{예수}k}k}를 종교적인 문제로 체포하여 {k{k{산헤드린}k}k}의 재판을 받도록 하는 길밖에 없다고 결정했다. 그리하여 여섯 명의 비밀 정탐꾼이 {k{k{예수}k}k}를 따라가도록 임명됐고, 그들은 그의 말과 행동을 관찰하다가, 율법을 어기거나 신성모독죄가 있다는 충분한 증거를 수집했을 때, {k{k{예루살렘}k}k}으로 돌아와서 보고하기로 했다. 이 여섯 {k{k{유대인}k}k}은 약 30명 정도 되는 사도 일행과 {k{k{여리고}k}k}에서 만났고, 제자가 되려는 것처럼 가장해서 {k{k{예수}k}k}의 추종자 일행에 합류했는데, {k{k{갈릴리}k}k}에서 2차 전도여행을 시작하는 때까지 그 집단과 함께 남아 있었으며;그 후에 그들 가운데 세 명이, 제사장들과 {k{k{산헤드린}k}k}에 보고하기 위해 {k{k{예루살렘}k}k}으로 돌아갔다.
[47]| {k{k{요단강}k}k}을 건널 때 모여 있는 무리에게 {k{k{베드로}k}k}가 전도했으며, 그들은 다음 날 아침에 {k{k{아마수스}k}k} 쪽으로 강을 따라 올라갔다. 그들은 {k{k{가버나움}k}k}으로 곧바로 가기 원했으나, 거기 모여 있던 무리로 인해 3일 동안 머물면서, 전도하고, 가르치며, 또한 세례를 줬다. 그들은 5월 첫 날인 {k{k{안식일}k}k} 이른 아침까지 고향을 향해서 갈 움직임을 보이지 않았다. {k{k{예루살렘}k}k} 정탐꾼들은, {k{k{예수}k}k}께서 {k{k{안식일}k}k}에 여행할 것이라고 생각하여, {k{k{예수}k}k}에 대한--곧 {k{k{안식일}k}k}을 범하는 것에 대한-- 첫 고소 물증을 분명히 확보하게 되리라고 확신했다. 그러나 그들이 떠나기 직전에 {k{k{예수}k}k}께서 {k{k{안드레}k}k}를 불러, {k{k{유대}k}k} {k{k{안식일}k}k}의 법적 거리인 1,000 야드만 가라고, 그들이 보는 앞에서 지시했기 때문에, 그것은 실패로 돌아갔다.
[48]| 그러나 그들이 {k{k{안식일}k}k}을 범하는 문제로 {k{k{예수}k}k}와 동역자들을 고소할 기회가 얼마 되지 않아 나타났다. 그 일행이 좁은 길을 따라서 지나갈 때, 양쪽 길가 가까운 곳에 방금 무르익기 시작한 밀이 바람에 흔들리고 있었으며, 사도 중에서 몇 명이 배가 고팠으므로, 익은 곡식을 뜯어 먹었다. 여행자가 길을 지나가면서 곡물을 뜯어먹는 것은 보통 있는 일이었으며, 따라서 그들은 그런 행동이 잘못됐다고 생각하지 않았다. 그러나 정탐꾼들은 이것을 {k{k{예수}k}k}를 비난 할 수 있는 구실로 삼았다. 그들은, 손으로 낟알을 비비는 {k{k{안드레}k}k}를 보자, 그에게 가서 말했다:“{k{k{안식일}k}k}에 낟알을 뜯어 손으로 비비는 것이 율법을 어기는 일임을 너는 모르느냐?” 그러자 {k{k{안드레}k}k}가 대답했다:“우리는 배가 고파서 필요한 만큼만 취했는데;언제부터 {k{k{안식일}k}k}에 곡물 먹는 것이 죄가 됐느냐?” 그러나 {k{k{바리새인}k}k}이 대답했다:“먹는 것은 아무 잘못이 없지만, 낟알을 뜯어서 두 손으로 비비는 것은 율법을 어기는 일이며;너희 {k{k{주님}k}k}께서도 그런 행동을 확실히 허락지 않으실 것이다.” 그러자 {k{k{안드레}k}k}가 말했다:“곡물을 먹는 것이 잘못 된 일이 아니라면, 우리가 손으로 그것을 비비는 일이, 너희가 허락하는 곡물을 씹는 일보다 더 힘든 일이라고 말할 수 없을 것인데;어찌하여 그런 하찮은 일로 억지를 쓰는가?” {k{k{안드레}k}k}가 그들을 궤변가라고 넌지시 비난하자, 그들은 격분하여, {k{k{예수}k}k}께서 {k{k{마태}k}k}와 말씀하면서 걸어가고 있는 곳으로 급히 가서 항의하며 말했다:“보십시오 {k{k{선생님}k}k}, {k{k{안식일}k}k}에 율법을 어기는 일을 당신의 사도들이 하는데;그들은 낟알을 따서 손으로 비벼 먹습니다. 우리는 당신이 그들에게 그만 두라는 명령을 내릴 것이라고 확신합니다.” 그러자 고발하는 자들에게 {k{k{예수}k}k}께서 말씀했다:“너희는 진정으로 율법에 열심인 사람들이로구나. {k{k{안식일}k}k}을 신성하게 지키라는 것을 너희가 아주 잘 기억했지만;{k{k{다윗}k}k}이 배가 고파 자신과 함께 한 자들과 같이 {k{k{하나님}k}k} 전에 들어가서, 제사장 외에는 먹지 못하는 진설병{陳設餠}을 먹고, 또한 함께 한 자들에게도 줬다는 것을 너희가 {k{k{성서}k}k}에서 읽어보지 못했느냐? 그리고 꼭 필요한 여러 일을 {k{k{안식일}k}k}에 하는 것이 옳다는 것을 우리 율법에서 읽지 못했느냐? 오늘 먹으려고 준비해 온 너희의 음식을 먹는 것을, 이날이 가기 전에 내가 보지 않겠느냐? 여보게들, 너희가 {k{k{안식일}k}k}을 열성적으로 잘 준수하는데, 동료들의 건강과 복지를 더 지켜주도록 하라. 내가 선언하겠는데, {k{k{안식일}k}k}이 사람을 위해 만들어진 것이지, 사람이 {k{k{안식일}k}k}을 위해 만들어진 것이 아니다. 너희가 내 말을 감시하기 위해서 여기에 있다면, 내가 드러내놓고 선포하겠는데, {k{k{사람의}k}k} {k{k{아들}k}k}은 {k{k{안식일}k}k}에도 주인이다.”
[49]| {k{k{바리새인}k}k}들은, 그의 통찰력과 지혜 있는 말에 경탄했고 당황했다. 그들은 그날 나머지 시간을 자기들끼리 따로 있으면서, 감히 더 이상 질문하지 못했다.
[50]| {k{k{유대인}k}k}의 전통을, 그리고 노예처럼 예식절차를 지키기를 반대하는 {k{k{예수}k}k}의 태도는 항상 {i{i{긍정적}i}i}이었다. 그가 행동한 것과 확언한 것을 보면 알 수 있었다. {k{k{주님}k}k}은 부정적으로 비난하는 데 시간을 거의 허비하지 않았다. {k{k{하나님}k}k}을 아는 자는, 방종함으로 죄를 지어 자신을 속이지 않고도, 삶의 자유를 즐길 수 있다고 가르쳤다. {k{k{예수}k}k}께서 사도들에게 말씀했다:“사람들아, 너희가 진리로 깨우침을 얻고, 자신이 무엇을 하고 있는지 정말 안다면, 너희는 복 있는 자다;그러나 너희가 신성한 길을 알지 못하면, 너희는 불행하며, 이미 율법을 어긴 자들이다.”
[51]| {b{b{7. }b}b}{b{b{{k{k{가버나움에}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{돌아옴}k}k}}b}b}
[52]| {k{k{예수}k}k}와 열두 사도가 {k{k{다리키아}k}k}에서 배를 타고 {k{k{벳새다}k}k}로 간 때는, 5월 3일 월요일 정오 무렵이었다. 그들은 따라오는 사람들을 피하기 위해 배로 여행했다. 그러나 다음 날에는, {k{k{예루살렘}k}k}에서 온 공식 정탐꾼들을 포함한 다른 사람들이 다시 {k{k{예수}k}k}를 찾아냈다.
[53]| 화요일 밤에, {k{k{예수}k}k}께서 습관에 따라 문답식{問答式} 수업을 하고 있을 때, 여섯 정탐꾼 가운데 하나가 그에게 말했다:“나는 오늘 여기서 당신의 가르침에 참석하고 있는 {k{k{요한}k}k}의 제자 한 사람과 이야기 나눴습니다. 우리 {k{k{바리새인}k}k}은 금식하라고 했고, {k{k{요한}k}k}도 추종자들에게 그렇게 했는데, 어찌하여 당신은 제자들에게 한 번도 금식하면서 기도하라고 명하지 않는지 이해하기 어렵습니다.” 그러자 {k{k{예수}k}k}께서 {k{k{요한}k}k}의 말에 관련해서 이 질문자에게 대답했다:“혼인잔치 집 자녀들이, 신랑이 그들과 함께 있을 때 금식하느냐? 신랑이 그들과 함께 있는 한, 그들은 금식할 수 없다. 그러나 신랑을 뺏길 때가 오는데, 그 시절 동안에는 혼인잔치 집 자녀들이 틀림없이 금식하고 기도할 것이다. 기도하는 것은 빛의 자녀들에게 자연스런 일이지만, 금식하는 것은 하늘 나라의 복음의 일부가 아니다. 현명한 재단사는, 줄지 않은 새 천 조각을 헌 옷 위에 기우지 않는데, 그것이 젖으면 줄어들어서 보기 싫은 틈을 만들까 염려하기 때문임을 기억하라. 또한 누구든지 새 포도주를 낡은 가죽 부대에 넣지 않는데, 그렇게 하면 새 포도주와 부대 둘 다 못쓰게 될까 염려하기 때문이다. 현명한 자는 새 포도주를 새 부대에 넣는다. 따라서 내 사도들은, 천국 복음에 대한 새 가르침 위에 낡은 명령을 너무 많이 덧붙이지 않는 현명함을 보이고 있다. 선생을 잃어버린 너희는 한동안 금식하는 것이 옳다. 금식은 {k{k{모세}k}k}의 율법에 어울리는 부분일지 모르지만, 도래하는 나라에서는, {k{k{하나님}k}k}의 아들들이 두려움에서 벗어나고, 신성한 영 안에서 기쁨을 누릴 것이다.” 이 말씀을 들었을 때, {k{k{요한}k}k}의 제자들은 위로를 받은 반면, {k{k{바리새인}k}k}들은 더욱 어리둥절했다.
[54]| 그리고 나서 {k{k{주님}k}k}은, 모든 옛 교훈을 새로운 교리로 완전히 대치해야한다는 개념을 품지 말라고, 청중에게 경고했다. {k{k{예수}k}k}께서 말씀했다:“오래되고 {i{i{참된}i}i} 것은 지속돼야 한다. 마찬가지로, 새롭지만 거짓된 것은 거부돼야 한다. 그러나 새로우면서 참된 것을 받아들이는 신앙과 용기를 가져라. 이렇게 기록된 것을 기억하라:‘옛 친구를 저버리지 말 것이니, 새 친구는 그에게 비교도 안 되기 때문이다. 새 포도주처럼 새 친구도 그런데;그것이 오래 되면, 너희는 기쁨으로 그것을 마실 것이다.’”
[55]| {b{b{8. }b}b}{b{b{{k{k{영적}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{선함의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{축제}k}k}}b}b}
[56]| 그날 밤에 일반 청중이 돌아간 후 오랫동안, {k{k{예수}k}k}께서는 사도들에게 가르치기를 계속했다. 그는 이 특별한 가르침을 {k{k{이사야}k}k} {k{k{선지서}k}k}에서 인용했다:
[57]| “‘왜 너희가 금식했는가? 압박 속에서 기쁨을 찾고, 불의에서도 즐거움 찾기를 계속한다면, 무슨 이유로 너희 혼을 괴롭히는가? 보라, 너희는 투쟁과 논쟁을 위해, 그리고 사악한 주먹으로 쳐부수려고 금식 한다 . 그러나 너희는, 자기 목소리가 높은 곳에 상달되게 하기 위해 이런 식으로 금식해서는 안 될 것이다.
[58]| “‘내가 선택한 것이 그런 금식이냐?--사람이 자기 혼을 괴롭게 하는 날이냐? 머리를 갈대같이 숙이고, 굵은 베와 재를 입고 엎드림이 그것이냐? 너희가 감히 이것을 금식이라 부르고, {k{k{주}k}k}{主}께서 보시기에 마음에 드는 날이라 하겠느냐? 내가 택하는 금식은, 사악함의 결박을 풀어주며, 멍에의 줄을 풀어주며, 압제 당하는 자를 자유하게 하며, 모든 멍에를 꺾는 것이 아니겠느냐? 주린 자에게 내 빵을 나눠주며, 집 없는 자와 가난한 자를 내 집으로 데려오는 것이 아니냐? 그리고 나는 벗은 자를 보면, 그들을 입힐 것이다.
[59]| “‘그리하면 네 빛이 아침같이 비췰 것이며, 네 건강이 신속히 샘솟을 것이다. 네 의가 네 앞에 행하고, {k{k{주}k}k}의 영광이 네 뒤에 호위하리라. 그리하면, 네가 {k{k{주}k}k}를 부를 때 그가 대답하겠고;네가 부르짖을 때에는 말하기를, --내가 여기 있다 하리라. 네가 압박과 저주와 허영을 버린다면, 그가 이 모든 것을 하리라. {k{k{아버지}k}k}께서는, 네가 배고픈 자들에게 네 심정을 털어놓고, 고난당하는 자들의 혼을 돌보기 원하시며;그리하면 네 빛이 흑암 중에서 발하고, 네 어두움이 대낮처럼 될 것이다. 그러면, {k{k{주}k}k}께서 너를 항상 인도하여 네 혼을 만족하게 하고, 네 힘을 새롭게 하시리라. 너는 물 댄 동산 같겠고, 물이 끊어지지 않는 샘 같을 것이다. 그리고 이런 일을 하는 자는, 황폐하게 된 영광을 다시 세울 것이며;여러 세대의 기초를 다시 세울 것이며;무너진 벽을 수리하는 자라고 일컬음을 받고, 안전한 길을 회복시켜서 거할 곳이 되게 하는 자라고 불리리라.’”
[60]| 그리고 나서 {k{k{예수}k}k}께서는, 현재와 미래의 천국에서 그들을 붙잡아주는 것은, 혼을 괴롭힘이나 금식함이 아니고 그들의 신앙이라는 진리를, 밤늦도록 사도들에게 제시했다. 그는 사도들에게, 적어도 옛 선지자의 관념에 도달하기까지 살아야함을 열심히 당부했고, 그들이 심지어 {k{k{이사야}k}k}는 물론 그 전 선지자들의 이상보다 훨씬 더 진보됐으면 하는 희망을 표현했다. 그날 밤에 그의 마지막 말씀은 이러했다:“너희가 {k{k{하나님}k}k}의 아들이라는 사실을 알게 하는 동시에, 모든 사람을 형제로 인정하게 하는 살아있는 신앙으로, 은혜 안에서 성장하라.”
[61]| 새벽 두 시가 지나서야 {k{k{예수}k}k}께서 말씀을 끝냈고, 모든 사람은 잠을 자러 각자의 처소로 돌아갔다.
