[1]| 제103편{{{br}}} 종교 체험의 실체
[60]| 과학과 종교가 더 조화되도록 조정하는 데 너희가 어려움을 겪는 것은, 중간에 개재하는 모론시아 세계의 사물과 존재의 영역에 대해서 너희가 철저히 무지하기 때문이다. 지방우주는, 실체가 형태화되는 세 가지 정도 또는 단계, 즉:물질, 모론시아, 및 영으로 이뤄져 있다. 모론시아 견지의 접근은, 자연 과학에서 발견된 것과 종교의 기질의 작용 사이에 있는 모든 차이를 없앤다. 이성은 과학이 이해하는 기법이며;신앙은 종교가 통찰하는 기법이며;모타는 모론시아 수준의 기법이다. 모타는 초물질 실체에 대한 감수성인데, 그 내용이 지식_이성이고 그 본질이 신앙_통찰력이기 때문에, 불충분한 성장을 모타가 보정하기 시작한다. 모타는, 물질 인격체가 달성할 수 없는, 서로 틀리게 실체를 인지함을 초월 철학으로 절충하는 것이며;어느 정도는, 육체로 사는 물질 인생 이후에 살아남은 체험에 입각한다. 그러나 상당히 동떨어진 과학과 종교 분야의 상호작용을 절충하는 어떤 방법을 소유하는 것이 바람직하다는 것을, 많은 필사자가 인지해 왔으며;형이상학은 잘_알려진 이런 간격을 연결시키려고, 사람이 무익하게 시도한 결과다. 그러나 인간의 형이상학은, 빛을 비춰주기보다 오히려 더 혼란스럽게 한다는 것이 입증돼 왔다. 형이상학은, 선의{善意}에서 했겠지만, 모론시아 모타의 부재{不在}를 보상하려고 사람이 쓸데없이 수고했음을 나타낸다.
[61]| 형이상학이 실패했음이 입증됐으며;사람은 모타를 감지할 수 없다. 계시는, 진리에 대한 모타의 민감성이 물질세계에 없음을 보상할 수 있는 유일한 기법이다. 진화하는 구체에서 이치를_따짐으로 발달한 형이상학의 혼란을, 계시가 권위 있게 밝혀준다.
[62]| 과학은, 자신의 물리적 환경, 즉 에너지_물질의 세계를 사람이 연구하려는 시도이며;종교는 영적 가치가 있는 시공우주를 사람이 체험하는 것이며;철학은, 상당히 거리가 먼 이런 개념들이 발견한 것들을, 시공우주를 향한 합리적이고 통합된 태도와 비슷한 무엇이 되도록 조직하고 연결시키려는, 인간 정신의 노력으로 발전돼 왔다. 계시로 명료해진 철학은, 모타가 없는 상태에서, 그리고 모타를 대신하는 사람의 이성의 대용품--곧 형이상학--이 좌절하고 실패한 처지에서, 만족스럽게 작용한다.
[63]| 옛날 사람은 에너지 수준과 영 수준을 구분하지 않았다. 수학적인 것과 의지가 있는 것을 분리시키려고 처음 시도한 이는, 보라색 인종과 그들의 {k{k{안드족속}k}k} 후계자들이었다. 문명화된 사람은, 생명 없는 것과 생명 있는 것을 구별한, 아주 초기의 {k{k{그리스인}k}k}과 {k{k{수메르인}k}k}의 발자취를 점점 더 따라갔다. 그리고 문명이 진보함에 따라서, 철학은 영 개념과 에너지 개념 사이의 계속 넓어지는 간격에 다리를 놓아야만 할 것이다. 그러나 공간 시대에, 이런 여러 차이점은 {k{k{지존자}k}k} 안에서 조화된다.
[64]| 상상과 추측은 과학의 범위 확장에 유용하지만, 과학은 언제나 이성{理性}에 기초해야 한다. 이성은 안정시키는 영향력이고 도와주는 시녀{侍女}지만, 종교는 영원히 신앙에 의존한다. 그리고 자연 세계와 영적 세계를 과학과 종교라고 잘못 부르는 부당한 해석이 항상 존재해 왔고, 또 언제든지 존재할 것이다.
[65]| 과학에 대한 어설픈 파악, 종교에 대한 어렴풋한 매달림, 그리고 수포로 돌아간 형이상학의 시도로부터, 사람은 철학의 뼈대를 세우려고 애써 왔다. 그리고 물질 세계와 영 세계 사이를 연결하는 가장_중요하고 필수적인 형이상학의 연결이 끊어지지 않았다면, 형이상학이 물리계와 영계 사이의 모론시아 간격에 다리를 놓는데 실패하지 않았다면, 현대인은 자신과 우주에 대해 훌륭하고 매력 있는 철학을 정말로 세우려고 했을지도 모른다. 필사적 사람은 모론시아 정신 및 물질에 대한 개념이 부족하며;우주에 대한 논리적 철학을 세우기 위해서, 그리고 그 우주에서 확실하고 안정된 자기 자리를 만족스럽게 이해하기 위해서, 사람에게 그토록 다급하게 필요한 이런 개념 자료의 결핍을 메울 수 있는 유일한 방법은, {i{i{계시}i}i}이다.
[66]| 계시는, 진화하는 사람이 모론시아 간격에 다리를 놓을 수 있는 유일한 희망이다. 모타의 도움을 받지 않는 신앙과 이성은, 논리적 우주를 상상할 수 없고 그려볼 수 없다. 모타의 통찰력이 없으면, 필사적 사람은 물질 세계의 현상에서, 선, 사랑, 및 진리를 식별할 수 없다.
[67]| 사람의 철학은, 물질 세계를 향해서 과도하게 기울어질 때, 합리주의적이 되거나 {i{i{자연주의적}i}i}이 된다. 영적 수준으로 두드러지게 기울어질 때, 철학은 {i{i{이상주의적}i}i}이 되거나 신비적이 되기도 한다. 형이상학에 기댈 정도의 불행한 사태가 발생하면, 철학은 반드시 {i{i{회의적인}i}i}, 혼란된 상태가 된다. 지난 시절에, 사람의 지식과 지적 평가 대부분은 이런 세 가지 감지의 왜곡 가운데 하나에 빠져들었다. 철학은 감히 직선형 방식의 논리로 실체에 대한 해석을 제시하지 않았으며;철학은, 실체가 타원형으로 대칭을 이루고 있는 것, 그리고 모든 관계 개념이 본질적으로 구부러져있는 것을 간과해서는 결코 안 된다.
[68]| 필사적 사람이 달성할 수 있는 최고의 철학은, 과학의 이성에, 종교의 신앙에, 그리고 계시가 제공하는, 진리를 알아보는 통찰력에 논리적으로 기초해야 한다. 이런 통합으로 사람은, 적당한 형이상학을 발전시키지 못하고 모론시아의 모타를 깨닫지 못하는 것을 어느 정도 보상할 수 있다.
[69]| {b{b{7. }b}b}{b{b{{k{k{과학과}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{종교}k}k}}b}b}
[70]| 과학은 이성으로 인해 지속되고, 종교는 신앙으로 인해 지속된다. 신앙은, 이성에 입각하지 않더라도 이성적이며;논리와 무관함에도, 건전한 논리로 인해 촉진된다. 이상적 철학조차 신앙을 조성할 수 없으며;신앙은 정말로 과학과 함께 그런 철학의 바로 그 근원이다. 신앙, 즉 인간의 종교적 통찰력은 오직 계시함으로만 분명히 가르칠 수 있는데, 영이신 {k{k{하나님}k}k}이 영적 {k{k{조율사}k}k}로서 현존하심을, 필사자가 몸소 체험해야만 확실히 증진될 수 있다.
[71]| 참된 구원은, 물질과 일체화된 상태로부터, 모론시아 접촉이 있는 영역을 거쳐서, 영적 상호관계가 있는 높은 우주 상태에 이르기까지, 필사 정신을 신성하게 진화시키는 기법이다. 그리고 이 세상의 진화에서, 물질적인 직관 본능이 이성에 의거한 지식의 출현보다 앞서는 것처럼, 영적인 직관 통찰력이 나타나는 것은, 모론시아 및 영 판단력이 나중에 출현하고 하늘에서 진화하는 숭고한 계획표를 체험할 것을 미리 알리는데, 이 진화는, 일시적 존재인 사람의 잠재성을 사람의 실체성 및 신성{神性}으로, 영원한 존재인 {k{k{낙원}k}k} 완결성취자로 변환시키는 사업이다.
[72]| 그러나 상승하는 사람이 {k{k{하나님}k}k} 체험을 얻으려고 안쪽으로 그리고 {k{k{낙원}k}k} 쪽으로 손을 뻗음에 따라서, 마찬가지로 물질 시공우주의 에너지를 이해하기 위해서 바깥쪽으로, 그리고 외계{外界} 쪽으로 손을 뻗고 있을 것이다. 과학의 진보는 사람이 땅에서 사는 인생에만 국한되지 않으며;사람이 우주와 연방우주를 상승하는 체험은, 적지 않게 에너지 변형과 물질적 변질에 대한 연구가 될 것이다. {k{k{하나님}k}k}은 영이시지만, {k{k{신격}k}k}은 통일체이고, {k{k{신격}k}k}의 통일체는, {k{k{만유의}k}k} {k{k{아버지}k}k}와 {k{k{영원한}k}k} {k{k{아들}k}k}의 영적 가치를 포함할 뿐만 아니라, {k{k{우주}k}k} {k{k{통제관}k}k}과 {k{k{낙원}k}k} {k{k{섬}k}k}의 에너지 실상을 인지하며, 한편 이 두 국면의 우주 실체는, {k{k{공동}k}k} {k{k{행위자}k}k}와 정신의 연관성에서 서로 완전하게 관련되고, {k{k{지존하신}k}k} {k{k{분}k}k}의 떠오르는 {k{k{신격}k}k} 속에서 유한한 수준으로 통합된다.
[73]| 체험 철학의 중재로 과학적 태도와 종교적 통찰력을 연합하는 것은, 사람의 긴 {k{k{낙원}k}k}_상승{上昇} 체험의 일부분이다. 수학이 추정한 것과 통찰력이 확실히 얻은 것은, {k{k{지존자}k}k}라는 최고 달성수준에 미치지 못하는 모든 수준의 체험에서, 정신 논리의 조화시키는 역할을 항상 필요로 할 것이다.
[74]| 그러나 한 인격의 과학적 면과 종교적 면 양쪽이 진리에 지배되지 못하면, 즉 진리가 무슨 결론을 내리든지 상관없이, 진리가 인도하는 대로 어디든지 따라가기를 진심으로 바라지 않으면, 논리는 과학의 연구결과와 종교의 통찰력을 조화시키기에 결코 성공할 수 없다.
[75]| 논리는 철학의 기법이요 그 표현 방법이다. 참된 과학의 영역에서, 이성은 진실된 논리를 항상 쾌히 받아들이며;참된 종교 영역에서, 내부를 들여다보는 과학적 접근의 관점에서 볼 때 그런 신앙이 지극히 근거 없는 것으로 보임에도, 신앙은 내부적 관점의 기준으로 볼 때 반드시 논리가 있다. 외부에서 안을 들여다보면, 우주는 물질적인 것처럼 보일지 모르며;안에서 밖으로 보면, 바로 그 우주는 온통 영적인 것처럼 보인다. 이성은 물질을 자각함에서 자라나고, 신앙은 영적 자각에서 자라나지만, 논리는 계시로 강화된 철학의 중재를 통해서 안쪽의 관점과 바깥쪽의 관점 양쪽을 확인할 수 있으며, 이렇게 해서 과학과 종교의 안정에 효력을 미친다. 따라서, 과학과 종교 양쪽은, 철학의 논리와 공동으로 접촉함을 통해서, 서로에 대해 점점 더 관대하게 되고 회의{懷疑}가 점점 줄어들지도 모른다.
[76]| 발달하는 과학과 종교 양쪽이 필요로 하는 것은, 더 많은 탐색과 담대한 자아_비판, 즉 진화하는 상태의 불완전함을 더 많이 자각하는 것이다. 과학과 종교의 스승들은, 너무 과잉된 자신감과 독단주의에 빠지는 경우가 많이 있다. 과학과 종교는 그것들이 가진 {i{i{사실}i}i}에 대해 자체를_비판할 수밖에 없다. 사실의 무대에서 떠나는 순간, 이성은 기권하거나 아니면 잘못된 논리라는 닮은꼴 속으로 급속도로 타락한다.
[77]| 진리--곧 시공우주 관계, 우주 실상, 및 영적 가치에 대한 이해--는, {k{k{진리의}k}k} {k{k{영}k}k}의 사역을 통해서 얻는 것이 최선이고, {i{i{계시}i}i}로 비평하는 것이 최선일 것이다. 그러나 계시는 과학도 종교도 창시하지 않으며;계시의 역할은 과학과 종교를 실체의 진리와 조화시키는 것이다. 계시가 없을 때, 또는 계시를 받아들이지 못하거나 파악하지 못할 때, 필사적 사람은, 항상, 자신이 만든 쓸데없는 형이상학의 손짓에 도움을 청했는데, 형이상학은 인간에게 진리의 계시 또는 모론시아 인격의 모타를 대신하는 유일한 대용품이다.
[78]| 물질 세계를 다루는 과학은, 사람으로 하여금 물리적 환경을 통제하고 어느 정도 지배할 수 있게 한다. 영적 체험의 종교는, 과학 시대의 문명의 복잡성 속에서 사람이 함께 살 수 있도록 해주는 형제애를 자극하는 근원이다. 형이상학이, 그러나 더 확실하게는 계시가, 과학과 종교, 이 둘을 발견하기 위해 공통으로 만나는 토대를 제공하며, 분리돼 있으면서도 서로 의존하는 이런 사고 분야들을 논리적으로 서로 관련시켜서, 과학적으로 안정되고 종교적으로 확실한, 잘 균형 잡힌 철학이 되도록 만드는 인간의 노력을 가능하게 한다.
[79]| 필사자의 신분에서는, 아무 것도 절대적으로 증명될 수 없으며;과학과 종교 둘 다 가정{假定}에 입각한다. 모론시아 수준에서, 과학과 종교의 여러 가정은, 모타 논리로 어느 정도 증명이 가능하다. 최고 상태인 영적 수준에서는, 실제로 실체를 체험하고 실체와 함께 체험하기 전에, 유한한 증명을 해야 할 필요성이 점차 사라지지만;그럴 때에도, 유한한 상태를 뛰어넘어 증명되지 않은 채로 남아있는 것이 많이 있다.
[80]| 인간이 생각하는 모든 분야는, 증명되지 않은 가정임에도, 사람의 정신 재능을 구성하는 실체에 대한 감수성을 이용해서 받아들인, 어떤 여러 가정에 입각한다. 과학은:물질, 움직임, 및 생명 이 세 가지 실체를 {i{i{가정함}i}i}으로써, 자랑스런 이성작용의 경력을 시작한다. 종교는:정신, 영, 및 우주--곧 {k{k{지존하신}k}k} {k{k{분}k}k}-- 이 세 가지가 정당하다는 가정에서 출발한다.
[81]| 과학은, 공간에서 시간세계의 에너지와 물질을 다루는 수학을 생각하는 분야가 된다. 종교는 유한한 속세의 영 뿐만 아니라, 영원한 최상의 영을 다루고자 한다. 오직 모타를 오랫동안 겪는 체험을 통해서만, 우주를 감지하는 이런 두 극단이, 기원, 기능, 관계, 실체, 및 운명을 유사하게 해석하도록 만들 수 있다. {k{k{일곱}k}k} {k{k{으뜸}k}k} {k{k{영}k}k}의 순회활동에서, 에너지와_영의 확산이 최고로 조화돼 있으며;{k{k{지존자}k}k}의 {k{k{신격}k}k} 속에서, 에너지와_영이 처음으로 통합되며;{k{k{자존자}k}k}{自存者}이신 {k{k{제}k}k}1 {k{k{근원}k}k} {k{k{및}k}k} {k{k{중심}k}k}의 무한성 안에서, 최종으로 통일된다.
[82]| {i{i{이성}i}i}은, 에너지와 물질로 이뤄진 물리 세계에서, 그리고 그 세계와 함께 겪는 체험에 관해서, 의식{意識}이 내리는 결정을 인식하는 활동이다. {i{i{신앙}i}i}은 영적 의식--곧 필사자가 달리 증명할 수 없는 어떤 것--의 타당성을 인식하는 활동이다. {i{i{논리}i}i}는, 신앙과 이성이 통일돼 진리를_추구함으로 일관성 있게 진행하는 것이며, 필사 존재를 구성하는, 정신 재능, 즉 사물, 의미, 및 가치기준을 선천적으로 인식하는 데 기초한다.
[83]| 영적 실체가 있음을 {k{k{사고}k}k} {k{k{조율사}k}k}의 현존이 실제로 증명하지만, 이 현존의 타당성은, 외부 세계에 증명될 수 없으며, {k{k{하나님}k}k}의 내주하심을 그렇게 체험하는 사람에게만 증명될 수 있다. {k{k{조율사}k}k}를 의식하는 것은, 진리를 지적으로 받아들이는 것, 선을 초월정신이 감지하는 것, 그리고 인격의 사랑하고자 하는 동기에 기초한다.
[84]| 과학은 물질 세계를 발견하고, 종교는 그 세계를 평가하고, 철학은 그 의미를 해석하는 한편, 과학의 물질적 관점과 종교의 영적 개념을 조화시키려고 애쓴다. 그러나 역사는, 과학과 종교가 결코 완전히 동의할 수 없는 그런 영역이다.
[85]| {b{b{8. }b}b}{b{b{{k{k{철학과}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{종교}k}k}}b}b}
[86]| 과학과 철학이 모두 자체의 이성과 논리로 {k{k{하나님}k}k}의 존재 가능성을 가정할 수 있더라도, 오직 영의 인도를 받는 사람이 몸소 겪는 종교 체험만이, 인격있는 그런 최상의 {k{k{신격}k}k}이 확실함을 확인할 수 있다. 살아있는 진리를 그렇게 육신화하는 기법으로, {k{k{하나님}k}k}이 존재할 수 있으리라는 철학적 가정은 종교의 실체가 된다.
[87]| {k{k{하나님}k}k}이 확실히 계심을 체험하는 것에 관한 혼동은, 분리된 개인들이, 그리고 다른 종족 사람들이 그 체험을 다르게 해석하고 진술하는 데서 발생된다. {k{k{하나님}k}k}을 체험하는 것은 전적으로 타당할지 모르지만, {k{k{하나님}k}k}에 {i{i{관해}i}i} 이야기하는 것은 지적이고 철학적이기 때문에 서로 다르며, 때로는 혼란을 일으킬 정도로 불합리하다.
[88]| 선하고 고상한 남자가 아내와 더할 나위 없는 사랑에 빠지지만, 부부 애정 심리학의 필기시험에서 도저히 만족스럽게 합격할 수 없을지도 모른다. 또 어떤 다른 남자는, 배우자를 향한 사랑이 거의 또는 전혀 없으면서도, 그런 시험에서 아주 만족스럽게 통과할 수도 있다. 사랑하는 자가 사랑 받는 자의 참된 본성을 들여다보는 통찰력이 완전치 못하다고 해서, 그의 사랑의 실체 또는 진심을 조금도 무효화하지 않는다.
[89]| 너희가 정말로 {k{k{하나님}k}k}을 믿는다면--곧 신앙으로 그를 알고 그를 사랑한다면--, 그런 체험의 실체가, 과학의 의혹을 품는 암시, 논리의 트집 잡기, 철학의 가정, 또는 {k{k{하나님}k}k} 없이 어떤 종교를 창설할 수 있는 선의를 지닌 혼들의 영리한 제안으로 인해, 어떤 면에서도 줄어들거나 손상되지 못하게 하라.
[90]| {k{k{하나님}k}k}을 아는 종교인의 확신은, 의심하는 유물론자의 불확신으로 인해 교란돼서는 안 될 것이며;오히려, 체험을 겪은 신자의 견고한 신앙과 흔들릴 수 없는 확신이, 믿지 않는 자의 불확신에 강하게 도전해야 한다.
[91]| 철학이 과학과 종교 모두에게 가장 훌륭하게 공헌하려면, 유물론과 범신론이라는 두 극단을 모두 피해야만 할 것이다. 인격이라는 --변화에 직면해서도 불변하는-- 실체를 인식하는 철학만이, 사람에게 도덕적 가치가 있을 수 있고, 물질 과학과 영적 종교를 다루는 이론 사이를 연결시키는 다리로서 이바지할 수 있다. 계시는 진화하는 철학의 연약함을 보완하는 것이다.
[92]| {b{b{9. }b}b}{b{b{{k{k{종교의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{본질}k}k}}b}b}
[93]| 신학은 종교의 지적 내용을 취급하며, 형이상학은(계시는) 철학 양상을 취급한다. 종교 체험은 종교의 영적 내용{i{i{이다}i}i}. 종교의 지적 내용에 신화{神話} 같은 변덕과 심리학적 망상이 있고, 형이상학의 잘못된 가정과 자아를_기만하는 기법, 종교의 철학적 내용에 대한 정치적 왜곡과 사회경제적 곡해에도, 개인적 종교에서 얻는 영적 체험은 여전히 참되고 정당하다.
[94]| 종교는, 생각하기뿐만 아니라, 느끼기, 행하기, 및 살아가기와 관계가 있다. 생각하기는, 물질 생활과 더 가깝게 연관돼 있고, 온통 그렇지는 않지만, 주로 이성과 과학이라는 사실에 지배를 받고, 영의 영역을 향한 비물질 범위에서는 진리에 지배를 받아야 한다. 사람의 신학이 아무리 가공적{架空的}이고 잘못됐더라도, 사람의 종교는 전적으로 진심에서 우러나고 영구히 참될지도 모른다.
[95]| 본래 형태의 {k{k{불교}k}k}는, {k{k{유란시아}k}k}의 진화 역사 전반에 걸쳐서 일어났던, {k{k{하나님}k}k} 없이 이뤄진 최고의 종교 가운데 하나인데, 그럼에도 이 신앙이 발전하자, 신{神}이 없는 상태로 머물지는 않았다. 신앙이 없는 종교는 모순이며;{k{k{하나님}k}k} 없는 종교는 철학적 모순이고 지적 불합리다.
[96]| 자연 종교가 마술과 신화에서 생겨났다는 것은, 후대의 계시 종교의 실체와 진리, 그리고 {k{k{예수}k}k}의 종교인 구원을 완성한 복음을 무효화시키지 않는다. {k{k{예수}k}k}의 생애와 교훈은 마침내, 마술적 미신, 신화적 환상, 및 전통적 독단주의의 사슬을 벗겨버렸다. 그러나 초기의 이런 마술과 신화는, 초물질적 가치기준과 존재들의 실존 및 실체를 가정함으로써, 나중에 나타난 뛰어난 종교를 위해서 매우 효과적으로 길을 예비했다.
[97]| 종교 체험이 비록 순수한 영적 주관적 현상일지라도, 그런 체험은, 우주의 객관적 실체의 가장 높은 영역을 향한, 긍정적이고 살아있는 신앙의 태도를 받아들인다. 종교 철학의 이상{理想}은, 온갖 우주의 무한하신 {k{k{아버지}k}k}의 완전한 사랑에, 사람이 무조건적으로 의존하도록 이끌 수 있는, 그런 신앙이요_신뢰다. 그런 참다운 종교 체험은, 이상주의적 욕구를 철학적으로 객관화한 것을 훨씬 초월하며;그런 체험은, 실제로 구원을 당연한 것으로 여기고, 오직 {k{k{낙원}k}k}에 계시는 {k{k{아버지}k}k}의 뜻을 배우고 행하는 일에만 관여한다. 그런 종교의 특징은:최상의 {k{k{신격}k}k}을 믿는 신앙, 영원히 생존한다는 희망, 그리고 사랑, 특히 동료에 대한 사랑이다.
[98]| 신학이 종교를 지배할 때 종교는 사라지며;생명이 아니라 교리가 된다. 신학의 사명은, 단지 개인이 영적 체험을 자아_의식하도록 돕는 것이다. 신학은, 종교의 체험적 주장을 정의하고, 명료하게 하고, 해석하고, 정당화시키려는 종교적 노력인데, 이 주장은 결국 살아있는 신앙으로만 입증될 수 있다. 우주에 대한 고등 철학에서는, 이성과 마찬가지로, 지혜가 신앙과 결합하게 된다. 이성, 지혜, 및 신앙은 사람이 이룰 수 있는 최고의 인간적 달성이다. 이성은, 사실의 세계, 즉 사물을 사람에게 소개하며;지혜는, 진리의 세계, 즉 관계를 그에게 소개하며;신앙은, 신성{神性}의 세계로, 즉 영적 체험으로 사람을 이끈다.
[99]| 신앙은, 이성이 갈 수 있는 데까지 아주 기꺼이 이성을 옮겨주고, 그 후에는 철학 한계 끝에 도달할 때까지 지혜와 동행하며;그 다음에 신앙은, 오직 {k{k{진리}k}k}만 따라가면서, 무한하고 끝나지_않는 우주 여행을 감히 시작한다.
[100]| 과학(곧 지식)은, 이성이 타당하다는, 우주가 납득될 수 있다는, 선천적 가정{假定}(곧 보조 영)에 기초한다. 철학(곧 조화된 납득)은, 지혜가 타당하다는, 물질 우주가 영적 존재와 조화될 수 있다는, 선천적 가정(곧 지혜의 기질)에 기초한다. 종교(곧 몸소 영적으로 체험하는 진리)는, 신앙이 타당하다는, {k{k{하나님}k}k}을 알 수 있고 그 경지에 이를 수 있다는, 선천적 가정(곧 {k{k{사고}k}k} {k{k{조율사}k}k})에 기초한다.
[101]| 필사 인생의 실체를 충분히 깨닫는 것은, 이성, 지혜, 및 신앙, 이 세 가지 가정을 점진적으로 기꺼이 믿으려고 하는 태도에 있다. 그런 인생은, 진리에 자극받고 사랑이 지배하는 인생이며;이것들은, 실존한다는 것을 물질적으로 입증할 수 없는, 객관적 시공우주 실체의 이상{理想}이다.
[102]| 이성이 일단 옳고 그름을 인식하고 나면, 이성은 지혜를 드러내며;지혜가, 옳고 그름, 즉 진리와 오류 사이에서 선택하면, 지혜는 영이 인도함을 보여준다. 이처럼, 정신, 혼, 및 영의 기능은 늘 가깝게 연합하고, 기능적으로 서로 연결된다. 이성은 사실에 관한 지식을;지혜는 철학과 계시를;신앙은 생생한 영적 체험을 다룬다. 사람은, 진리를 통해서 아름다움을 달성하고, 영적 사랑으로 선함의 경지까지 올라간다.
[103]| 신앙은, 신성한 현존이 주는 신비스런 느낌으로 인도할 뿐만 아니라, {k{k{하나님}k}k}을 알도록 인도한다. 신앙은 그 감정적 결과에 과도하게 영향을 받아서는 안 된다. 참 종교는, 만족스런 느낌일 뿐만 아니라, 믿고 아는 체험이다.
[104]| 종교 체험에는 영적 내용에 비례하는 실체가 있으며, 그런 실체는, 이성, 과학, 철학, 지혜, 그리고 인간의 기타 모든 성취를 초월한다. 그런 체험으로 얻은 확신은 무너질 수 없으며;종교 생활의 논리는 논쟁의 여지가 없으며;그런 지식의 확실성은 초인적이며;그 만족감은 최고로 신성하고, 그 용기는 굴하지 않으며, 그 헌신은 주저함이 없고, 그 충성심은 더할 나위 없으며, 그 운명은 최종적이다--즉 영원하고, 궁극적이며, 보편적이다.
[105]| [{k{k{네바돈}k}k}의 {k{k{멜기세덱}k}k}이 제시했음]
