[1]| 제149편{{{br}}} 2차 전도여행
[46]| “사람의 슬픔 대부분은, 야망을 이루지 못하고 자존심으로 상처 받는 데서 나온다. 이 세상 생애의 삶에서 최선을 다해야 하는 것이 자신에게 의무일지라도, 사람들은 자신의 몫을 즐겁게 받아들이고 주어진 한도 내에서 가장 최선의 것을 찾아내야 할 것이다. 사람의 허다한 근심거리는 모두, 자신의 평상시 마음 속에 있는 두려움이라는 토양에서 기원된다. ‘악인은 좇아오는 자가 없어도 도망한다.’ ‘악인은 안정하지 못하고, 그 물이 진흙과 더러운 것을 늘 솟구쳐내는 요동하는 바다와 같다. 내 {k{k{하나님}k}k}의 말씀에, 악인에게는 평강이 없다고 하셨다.’
[47]| “그러므로 거짓 평강과 일시적인 기쁨을 구할 것이 아니라, 오히려 영 안에서, 평강, 만족, 및 최상의 기쁨을 가져다주는, 신성한 신앙의 확신과 아들신분에 대한 보증을 구하라.”
[48]| {k{k{예수}k}k}께서는, 이 세상을 조금도 “눈물 골짜기”로 보지 않았다. 그는 이 세상을, 오히려 {k{k{낙원}k}k} 상승을 이루는 영원하고 영생하는 영들이 탄생하는 장소, 즉 “혼을 만드는 골짜기”로 여겼다.
[49]| {b{b{6. “}b}b}{b{b{{k{k{주를}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{두려워함}k}k}}b}b}{b{b{{k{k{” }k}k}}b}b}
[50]| {k{k{가말라}k}k}에서 있었던 저녁 회담 시간에, {k{k{빌립}k}k}이 {k{k{예수}k}k}께 말했다:“{k{k{주님}k}k}, {k{k{성서}k}k}에서는 ‘{k{k{주}k}k}{主}를 두려워하라’고 가르치는데, 어찌하여 {k{k{주님}k}k}께서는 저희에게, 하늘에 계신 {k{k{아버지}k}k}를 두려움 없이 바라보라고 하시는지요? 우리가 이 교훈을 어떻게 조화시켜야 합니까?” {k{k{예수}k}k}께서 {k{k{빌립}k}k}의 질문에 대한 대답으로 말씀했다:
[51]| “얘야, 네가 그런 질문을 하는 것에 나는 놀라지 않는다. 처음에는 사람이 단지 두려움을 통해서 경의{敬意}를 배울 수 있었지만, 나는 {k{k{아버지}k}k}의 사랑을 드러내기 위하여 이 세상에 왔는데, 그리하여 너희가 {k{k{아버지}k}k}의 깊고 완전한 사랑을 아들로서 다정하게 인식하고 그에 보답하도록 이끌어서, 너희가 {k{k{영원자}k}k}를 경배하려는 마음이 생기게 하려 한다. 노예근성의 두려움으로 너희를 몰아가서, 질투하고 분노하는 {k{k{왕}k}k}_{k{k{하나님}k}k}을 따분하게 예배드리게 하는, 그 속박으로부터 너희를 구해주려고 한다. 나는 {k{k{하나님}k}k}과 사람의 관계가 {k{k{아버지}k}k}와_아들의 관계임을 일깨워서, 사랑 많고, 의롭고, 자비로우신 {k{k{아버지}k}k}_{k{k{하나님}k}k}께, 숭고하고 탁월하게 자유로운 경배를 너희가 기쁨으로 드리게 하려고 한다.
[52]| “‘{k{k{주}k}k}를 두려워함’은 이어지는 여러 시대에 다른 의미를 가졌는데, 두려움에서 시작하여 고통과 근심의 단계를 거쳐서 위엄과 경의의 경지까지 이르렀다. 그리고 이제는 경의에서 시작하여, 인식, 깨달음, 및 감사함을 통해서 {i{i{사랑}i}i}에 이르도록, 내가 너희를 인도하겠다. 사람이 {k{k{하나님}k}k}의 업적만 알아볼 때에는 {k{k{지존자}k}k}를 두려워하게 되지만;살아 계신 {k{k{하나님}k}k}의 인격과 성품을 이해하고 체험하기 시작할 때에는, 점차로 그런 선하고 완전하며 보편적이고 영원하신 {k{k{아버지}k}k}를 사랑하게 된다. 바로 사람과 {k{k{하나님}k}k}의 관계를 이렇게 변화시키는 것이, 이 세상에서 {k{k{사람의}k}k} {k{k{아들}k}k}의 사명이다.
[53]| “총명한 자녀들은 아버지로부터 좋은 선물을 받을까 하여 그를 두려워하지 않지만;아버지가 아들과 딸을 사랑하는 마음으로 선물한 좋은 것들을 이미 풍성하게 받았기 때문에, 이렇게 사랑을 많이 받은 자녀들은, 그런 한량없는 은혜를 민감하게 인식하고, 감사함으로 아버지를 사랑하게 된다. {k{k{하나님}k}k}의 선하심은 회개로 이끌며;{k{k{하나님}k}k}의 은혜는 봉사로 이끌며;{k{k{하나님}k}k}의 자비는 구원으로 이끌며;한편 {k{k{하나님}k}k}의 사랑은 지성적이고 진솔한 경배를 드리도록 이끈다.
[54]| “너희의 선조는, {k{k{하나님}k}k}이 위대하고 신비로우시기 때문에 그를 두려워했다. 너희는 {k{k{하나님}k}k}의 충만한 사랑과 풍성한 자비와 영광스런 진리로 인해 그를 흠모하게 될 것이다. {k{k{하나님}k}k}의 권능은 사람의 마음 속에 두려움을 일으키지만, 고귀하고 의로우신 성품은, 경의, 사랑, 그리고 마음에서 우러나는 경배를 초래한다. 충실하고 애정 어린 자녀는, 강력하고 고귀한 아버지일지라도 그를 두려워하거나 무서워하지 않는다. 나는, 두려움 대신 사랑으로, 슬픔 대신 기쁨으로, 공포 대신 신뢰로, 노예근성의 굴종과 무의미한 예식 대신 사랑의 봉사와 감사의 경배로 바꾸기 위해 이 세상에 왔다. 그러나 어두움 속에 앉아 있는 자에게는 ‘{k{k{주}k}k}를 두려워함이 지혜의 시작이라’는 것이 여전히 사실이다. 그러나 빛이 더욱 완전하게 비췄을 때, {k{k{하나님}k}k}의 자녀는 그 {k{k{무한자}k}k}의 {i{i{행하신}i}i} 일로 인해 그를 두려워하기보다, 그가 {i{i{계심}i}i}으로 인해 찬미할 마음이 생긴다.
[55]| “아이들이 어리고 생각이 없을 때에는, 부모를 존경하라는 훈계를 받는 것이 반드시 필요하지만;나이가 들어서 부모의 봉사와 보호의 혜택을 좀 더 고마워할 줄 알게 될 때에는, 이해심에서 나오는 존경과 증가하는 애정을 통해서, 실제로 부모가 행한 일보다는 그의 현존{現存}으로 인해 부모를 실제로 사랑하는 체험 수준까지 올라가게 된다. 아버지는 선천적으로 자식을 사랑하지만, 자녀는 아버지가 무엇을 할 수 있는지 두려워하다가, 경외하고, 무서워하고, 의존하고, 존경하는 수준을 거쳐서, 사랑을 이해하고 깊이 존중하기까지, 아버지를 사랑하는 마음을 길러야 한다.
[56]| “너희는 ‘{k{k{하나님}k}k}을 두려워하며, 그의 계명을 지켜라, 그것이 사람의 온전한 의무이기 때문이라’고 배웠다. 그러나 나는 너희에게, 새롭고 더 높은 계명을 주러 왔다. 나는 너희에게, ‘{k{k{하나님}k}k}을 사랑하고 그의 뜻 행하기를 배워라, 그것이 {k{k{하나님}k}k}의 해방된 자녀의 최고 특권이기 때문이라’고 가르치려 한다. 너희의 선조는, ‘{k{k{하나님}k}k}--곧 {k{k{전능하신}k}k} {k{k{왕}k}k}--을 두려워하라’고 배웠다. 나는 너희에게, ‘{k{k{하나님}k}k}을--곧 완전히_자비로우신 {k{k{아버지}k}k}를-- 사랑하라’고 가르친다.
[57]| “나는 하늘 나라를 선포하러 왔는데, 거기는 높고 강력한 왕이 없으며;이 나라는 신{神}의 가족이다. 보편적으로 인정받고 절대로 경배 받는 중심이시며, 지성 존재들의 광범한 형제관계의 머리이신 분이 내 {k{k{아버지}k}k}시며, 너희의 {k{k{아버지}k}k}시다. 내가 그분의 {k{k{아들}k}k}이며, 너희 또한 그분의 아들이다. 따라서 너희와 내가 하늘 신분에서 형제라는 사실은 영원한 진리이며, 우리는 이 세상 생활에서도 육신의 형제가 됐기 때문에 더욱 그렇다. 그러니 {k{k{하나님}k}k}을 왕으로 두려워하거나 주인으로 섬기기를 그만 둬라;그분을 {k{k{창조주}k}k}로 공경하기를 배우며;너희 미숙한 영{靈}의 {k{k{아버지}k}k}로서 그를 존경하며;자비로운 옹호자로서 사랑하며;궁극에는 너희의 좀 더 성숙된 영적 깨달음과 감사함의 대상인, 사랑 많으시고 온전히_지혜로우신 {k{k{아버지}k}k}로 경배하라.
[58]| 하늘에 계신 {k{k{아버지}k}k}께 대한 너희의 그릇된 관념들로부터, 겸손에 대한 너희의 잘못된 개념들이 자라나고, 너희의 대부분의 위선이 생겨났다. 사람이 본질과 기원으로는 흙에서 나온 벌레 같을지 모르지만, 그 안에 {k{k{아버지}k}k}의 영이 내재하게 될 때, 그 사람의 운명은 신성하게 된다. 내 {k{k{아버지}k}k}께서 증여하시는 영은, 신성한 근원으로, 즉 기원된 우주 수준으로 확실히 돌아가며, 필사적 사람의 인간 혼은, 내주하는 이 영으로 인해 다시 태어난 자녀가 됐을 것이요, 신성한 영과 함께 그 혼은, 영원한 {k{k{아버지}k}k}의 현존 바로 그 앞까지 틀림없이 상승할 것이다.
[59]| “하늘 나라에서 영원히 상승할 그런 모든 신앙 후보자에게 신성한 위엄이 덧붙여져 있을지라도, 진정으로 하늘에 계신 {k{k{아버지}k}k}로부터 이런 모든 선물을 받은 필사적 사람에게는 정말로 겸손이 어울린다. 무의미하고 천박하게, 거짓 겸양으로 허세부리는 버릇은, 구원의 근원을 이해하고 영으로 태어난 너희 혼의 운명을 인식하는 것과 모순된다. {k{k{하나님}k}k} 앞에 겸손함은, 너희의 마음 속 깊은 데서 하는 것이 아주 적절하며;사람 앞에서 온순함은 칭찬할 만한 것이지만;자신을 의식하는 위선과 주의를 끌기 위한 겸양은 유치하며, 천국의 계몽된 자녀들에게 어울리지 않는다.
[60]| “{k{k{하나님}k}k} 앞에서 온유하고 사람 앞에서 자신을 통제하는 것은 잘하는 일이지만, 너희의 온유함이 영적 기원에서 나오게 하고, 독선적 우월감을 의식하여 나타내는 자기_기만이 되지 않도록 해라. 선지자가 충고하기를, ‘겸손히 {k{k{하나님}k}k}과 함께 걸으라’고 했는데, 하늘에 계신 {k{k{아버지}k}k}께서는 {k{k{무한자}k}k}시고 {k{k{영원자}k}k}시기 때문이며, 그는 또한 ‘통회하는 마음 그리고 겸손한 영과 함께’ 거하시기 때문이다. 내 {k{k{아버지}k}k}는 자존심을 경멸하고, 위선을 싫어하며, 죄악을 혐오하신다. 성실의 가치를 강조하고, 하늘에 계신 {k{k{아버지}k}k}가 사랑으로 지원하고 충실히 인도하심을 완전히 의지할 것을 강조하려고, 정신 태도와 영 반응을 보여주는 예로서 내가 아주 종종 어린아이를 언급했는데, 그런 태도와 반응은, 필사적 사람이 하늘 나라의 영 실체들 속으로 들어가는 데 아주 필요하다. 
[61]| “선지자 {k{k{예레미야}k}k}가 많은 필사자에 대해 서술하면서 잘 말했다:‘너희가 입으로는 {k{k{하나님}k}k}께 가까우나, 마음 속에서는 멀리 있다.’ 그리고 너희는 또한 무서운 경고를 한 선지자의 말을 읽지 못했느냐?:‘제사장은 삯을 위해 교훈하며, 선지자는 돈을 위해 점치면서, 동시에 신앙심을 말하며, {k{k{주}k}k}께서 그들과 함께 계신다고 선포한다.’ 너희는 ‘이웃에게 화평을 말하나, 그 마음에는 악독이 있는’ 사람들과, ‘입으로는 아첨하나, 마음 속에서는 이중으로 거래하는’ 사람들에 대해 경고 받지 않았는가? 신뢰하는 사람의 모든 슬픔 가운데, ‘믿었던 친구의 집에서 받은 상처’보다 더 지독한 것은 없다.”
[62]| {b{b{7. }b}b}{b{b{{k{k{벳새다로}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{돌아감}k}k}}b}b}{b{b{ }b}b}
[63]| {k{k{안드레}k}k}는, {k{k{시몬}k}k} {k{k{베드로}k}k}와 상의하고 {k{k{예수}k}k}의 승인을 받은 후에, 12월 30일, 목요일 중에 모든 사람이 여행을 끝내고 {k{k{벳새다}k}k}로 돌아오라는 전갈을 보내기 위하여, 전도하는 여러 집단에 심부름꾼을 파견하라고, {k{k{벳새다}k}k}의 {k{k{다윗}k}k}에게 지시했다. 비가 오는 그날 저녁식사 시간까지, 모든 사도 일행과 전도자들이 {k{k{세베대}k}k}의 집에 도착했다.
[64]| 그 집단은 {k{k{벳새다}k}k} 및 가까이 있는 {k{k{가버나움}k}k}의 여러 집에서 지내면서 {k{k{안식일}k}k} 이후까지 함께 지냈으며, 그런 후에 가족과 친구를 방문하거나 물고기를 잡으러 가기 위한 두 주일의 휴가가 전체 집단에게 주어졌다. 그들이 {k{k{벳새다}k}k}에서 함께 있었던 2내지 3일 동안은, 진정 흥미롭고 영감 어린 날들이었으며;선배 선생들조차 새 설교자들의 체험담을 통해서 교훈을 얻었다.
[65]| 2차 {k{k{갈릴리}k}k} 전도여행에 참가했던 117명의 전도자 중에서 약 75명만이 실제로 체험하는 시험을 통과했으며, 두 주의 휴가가 끝났을 때 일을 맡을 수 있도록 대기하고 있었다. {k{k{예수}k}k}께서는, {k{k{안드레}k}k}, {k{k{베드로}k}k}, {k{k{야고보}k}k}, 및 {k{k{요한}k}k}과 함께 {k{k{세베대}k}k}의 집에 남았고, 천국의 복지와 확장에 관한 논의를 하면서 많은 시간을 보냈다.
