[1]| 제98편{{{br}}} 서양의 멜기세덱 교훈
[54]| {k{k{회의론파}k}k}, {k{k{견유학파}k}k}, {k{k{에피쿠로스파}k}k}, 및 {k{k{스토아학파}k}k}의 시절까지, 그러나 그 중에 가장 중요한, {k{k{그리스도교}k}k}라는 {k{k{바울}k}k}의 새 종교와 {k{k{미드라교}k}k}가 엄청나게 경쟁을 벌이던 시절까지, {k{k{서양}k}k}의 종교는 그렇게 시들어 있었다.
[55]| 기원후 3세기에, {k{k{미드라교}k}k}와 {k{k{그리스도교}k}k} 교회는 외형과 제례식의 특성에서 매우 흡사했다. 그런 예배 장소 대부분은 지하에 있었고 제단{祭壇}이 있었는데, 제단의 배경은 죄의 저주를 받은 인간 종족에게 구원을 가져온 구원자의 고난을 다양하게 묘사하는 그림이었다.
[56]| 성전에 들어갈 때마다 성스런 물에 손가락을 적시는 것이 {k{k{미드라}k}k} 숭배자의 풍습이었다. 그리고 어떤 지역에서는 동시에 두 종교를 갖는 사람들이 있었으므로, 그들은 {k{k{로마}k}k} 근처에 있는 대다수의 {k{k{그리스도교}k}k} 교회에 이 관습을 들여왔다. 두 종교가 세례를 베풀었고, 빵과 포도주로 성례를 거행했다. {k{k{미드라}k}k}와 {k{k{예수}k}k}라는 인물을 제외하고, {k{k{미드라교}k}k}와 {k{k{그리스도교}k}k} 사이의 큰 차이점 하나는, 전자는 군국주의를 장려한 반면, 후자는 지나치게 평화적이었다. (후대의 {k{k{그리스도교}k}k} 이외에) 다른 종교들을 묵인한 것이, {k{k{미드라교}k}k}의 마지막 파멸을 가져왔다. 그러나 두 종교 사이의 갈등에서 결정적 요소는, 여자들이 {k{k{그리스도교}k}k} 신앙에서 온전한 교제에 참여하도록 허락된 것이었다.
[57]| 결국, 명목상 {k{k{그리스도교}k}k} 신앙이 {k{k{서양}k}k}을 지배했다. {k{k{그리스}k}k} 철학은 윤리적 가치의 개념을;{k{k{미드라교}k}k}는 경배 관례의 제례식을;그리고 {k{k{그리스도교}k}k}는, 그 자체로, 도덕적 및 사회적 가치에 대한 보존 기법을 제공했다.
[58]| {b{b{7. }b}b}{b{b{{k{k{그리스도교}k}k}}b}b}
[59]| {k{k{창조주}k}k} {k{k{아들}k}k}이 필사적 몸의 모습으로 육신화하고 {k{k{유란시아}k}k} 인류에게 자신을 증여한 것은, 화나신 {k{k{하나님}k}k}과 화해시키기 위해서가 아니라, 오히려 온 인류가 {k{k{아버지}k}k}의 사랑을 인식하고, 그들이 {k{k{하나님}k}k}의 아들신분임을 깨닫게 하기 위해서였다. 결국, 속죄{贖罪} 교리를 부르짖은 위대한 주창자도 이런 진리를 어느 정도 깨달았는데, 그가 “{k{k{하나님}k}k}께서 세상을 자신과 화해시키려고 {k{k{그리스도}k}k} 안에 계셨다”고 선포했기 때문이다.
[60]| {k{k{그리스도교}k}k}의 기원과 전파를 다루는 것은 본 문서의 범위가 아니다. {k{k{그리스도교}k}k}가 {k{k{나사렛}k}k} {k{k{예수}k}k}라는 인물을 기반으로 세워졌다고 말하는 것으로 족하며, 그는 인간으로 육신화한, {k{k{네바돈}k}k}의 {k{k{미가엘}k}k} {k{k{아들}k}k}, {k{k{유란시아}k}k}에 {k{k{그리스도}k}k}로 알려진, 기름부음 받은 사람이다. 이 {k{k{갈릴리인}k}k}을 따르던 자들이 {k{k{그리스도교}k}k}를 {k{k{레반트}k}k}와 {k{k{서양}k}k} 전역에 퍼뜨렸고, 그들의 선교 열정은 {k{k{아시아}k}k}에서 동시대에 살던 진지한 사람들, 즉 {k{k{불교}k}k}를 가르친 선생들뿐 아니라, 뛰어난 선구자, 즉 {k{k{섿족속}k}k}과 {k{k{살렘}k}k} 사람들의 열정과 견줄 만했다.
[61]| {k{k{그리스도교}k}k}는, 하나의 {k{k{유란시아}k}k} 믿음 체계로서, 다음과 같은 교훈, 영향, 믿음, 종파, 그리고 개인의 개별적 의견이 복합됨으로써 형성됐다:
[62]| 1. {k{k{멜기세덱}k}k}의 교훈, 이것은 지나간 4천 년 동안에 발생됐던 {k{k{서양}k}k}과 {k{k{동양}k}k}의 모든 종교에 기본 요소다.
[63]| 2. {k{k{히브리인}k}k}의 도덕, 윤리, 및 신학의 체계, 그리고 {k{k{섭리}k}k}와 최고 {k{k{야훼}k}k}에 대한 믿음 체계.
[64]| 3. 시공우주의 선과 악이 싸운다는 {k{k{조로아스터교}k}k}의 생각, 이것은 이미 {k{k{유대교}k}k}와 {k{k{미드라교}k}k} 양쪽에 그 흔적을 남겼다. {k{k{미드라교}k}k}와 {k{k{그리스도교}k}k} 사이의 투쟁에 부수적으로 따라온 오랫동안의 접촉을 통해서, {k{k{이란}k}k} 선지자의 교리는, {k{k{예수}k}k}의 교훈이 {k{k{헬라}k}k}화 되고 {k{k{라틴}k}k}화 된 개정판에 담긴, 교의, 주의{主義}, 그리고 우주론의 신학적 및 철학적 기질과 구조를 결정하는 데 강력한 요소가 됐다.
[65]| 4. 신비 종파들, 특히 {k{k{미드라교}k}k}, 그뿐만 아니라 {k{k{프리지아}k}k} 종파에서 {k{k{위대한}k}k} {k{k{어머니}k}k} 숭배. {k{k{예수}k}k}가 {k{k{유란시아}k}k}에서 탄생했다는 전설조차, {k{k{이란}k}k}의 구원자이자_영웅인 {k{k{미드라}k}k}가 기적적으로 탄생했다는 {k{k{로마}k}k} 식 해석으로 오염됐는데, {k{k{미드라}k}k}가 이 세상에 출현한 것은, 선물을_바치는 몇몇 목동에게만 목격됐으며, 그 목동들은 임박한 이 사건을 천사들로부터 이미 들었다고 생각돼 왔다.
[66]| 5. {k{k{요셉}k}k}의 아들 {k{k{예슈아}k}k}의 인간 생애라는 역사적 사실, 영광 받으신 {k{k{그리스도}k}k}, 즉 {k{k{하나님의}k}k} {k{k{아들}k}k}인 {k{k{나사렛}k}k} {k{k{예수}k}k}의 실체.
[67]| 6. {k{k{다소}k}k}의 {k{k{바울}k}k}이 가진 개인적 견해. 더욱이, {k{k{바울}k}k}이 소년이었을 때 {k{k{미드라교}k}k}가 {k{k{다소}k}k}의 지배적 종교였음이 기록돼야 한다. {k{k{바울}k}k}은, 자신이 개종시킨 사람들에게 선의{善意}에서 쓴 편지들이, 어느 날 더 후대의 {k{k{그리스도교인}k}k}들에게 “{k{k{하나님}k}k}의 말씀”으로 간주되리라고는 꿈에도 생각하지 못했다. 선의로 쓴 그런 선생들의 기록을 후대에 계승한 자들이 이용해 먹은 책임을, 그 선생들에게 물어서는 안 된다.
[68]| 7. {k{k{알렉산드리아}k}k}와 {k{k{안디옥}k}k}으로부터 {k{k{그리스}k}k}를 거쳐서 {k{k{시라큐스}k}k}와 {k{k{로마}k}k}에 이르기까지 지배했던, {k{k{헬라}k}k} 민족들의 철학적 사고. {k{k{그리스인}k}k}의 철학은, 다른 어떤 현행 종교 체계보다 {k{k{바울}k}k}의 {k{k{그리스도교}k}k} 개정판에 더 잘 조화됐으며, {k{k{그리스도교}k}k}가 {k{k{서양}k}k}에서 성공하는 데 중요한 요인이 됐다. {k{k{그리스}k}k} 철학은 {k{k{바울}k}k}의 신학과 함께, 여전히 {k{k{유럽인}k}k}의 윤리적 기초를 이룬다.
[69]| {k{k{예수}k}k}의 원래 교훈은, {k{k{서양}k}k} 세계로 들어가자 {k{k{서양}k}k}화{西洋化} 됐고, {k{k{서양}k}k}화 됨에 따라서, 모든 인종과 모든 종류의 사람에게 줄 수 있는, 잠재된 보편적 호소력을 잃어버리기 시작했다. 오늘날 {k{k{그리스도교}k}k}는, 백인종의 사회적, 경제적, 및 정치적 사회관행에 잘 적응된 종교가 돼버렸다. 그것은 {k{k{예수}k}k}의 종교가 되기를 그만둔 지 오래됐지만, 그 가르침의 방법을 따라서 진지하게 추구하려는 그런 개인들에게, {k{k{예수}k}k}에 관한 아름다운 종교를 아직도 용감하게 묘사하고 있다. {k{k{그리스도}k}k}, 즉 {k{k{하나님}k}k}으로부터 기름부음 받은 {k{k{메시야}k}k}로서 {k{k{예수}k}k}를 미화했지만, {k{k{그리스도교}k}k}는, {k{k{주님}k}k}이 친히 전하신 복음, 즉:{k{k{하나님}k}k}이 {k{k{아버지}k}k}이시고 모든 사람은 누구나 다 형제관계임을 대체로 잊어버렸다.
[70]| 이것이, {k{k{마키벤타}k}k} {k{k{멜기세덱}k}k}이 {k{k{유란시아}k}k}에 준 교훈에 대한 긴 이야기다. {k{k{네바돈}k}k}의 이 비상대책 {k{k{아들}k}k}이 자신을 {k{k{유란시아}k}k}에 증여한 지 거의 4천 년이 됐으며, 당시의 “{k{k{엘}k}k} {k{k{엘리온}k}k}, {k{k{지고자}k}k} {k{k{하나님}k}k}의 제사장”에 대한 교훈은 모든 인종과 민족에게 스며들었다. 그리고 {k{k{마키벤타}k}k}는 자신의 특수한 증여 목적을 성취하는 데 성공했으며;{k{k{미가엘}k}k}이 {k{k{유란시아}k}k}에 출현할 준비가 됐을 때, {k{k{하나님}k}k} 개념이 남녀의 가슴속에 존재했는데, 바로 그 {k{k{하나님}k}k} 개념은, {k{k{만유의}k}k} {k{k{아버지}k}k}의 다채로운 자녀가, 흥미를 자아내는 생애를 공간의 회전하는 행성에서 잠시 살아가는 동안, 그들의 생생한 영적 체험 속에서 여전히 새롭게 불타고 있다.
[71]| [{k{k{네바돈}k}k}의 {k{k{멜기세덱}k}k}이 제시했음]
