[1]| 제194편{{{br}}} 진리의 영이 증여됨
[52]| {k{k{예수}k}k}의 어머니와 형제도 120명의 신자 가운데 있었고, 그들도 쏟아 부어진 영을 이런 일반 제자들 가운데 일원으로서 받았다. 그들은 다른 사람들보다 더 많은 은사{恩賜}를 받지 않았다. 육신적으로 {k{k{예수}k}k}의 가족의 일원이라 해서 특별한 다른 은사가 주어지지 않았다. {k{k{오순절}k}k}은, 특별한 사제계급과, 신성시되는 혈통에 대한 모든 믿음을 종식{終熄}시켰다.
[53]| 사도들은 {k{k{오순절}k}k}이 있기 전에 {k{k{예수}k}k}를 위해 많은 것을 포기했다. 그들은, 자신의 가정, 가족, 친구, 그리고 세상의 재물과 지위를 희생했다. 그들은 {k{k{오순절}k}k}에 자신을 {k{k{하나님}k}k}께 드렸고, {k{k{아버지}k}k}와 {k{k{아들}k}k}은 자신을 사람에게 주심으로써--곧 사람 속에 내주할 수 있도록 그들의 영을 보내심으로써-- 응답하셨다. 자아를 버리고 그 영을 받는 이 체험은, 감정적 체험이 아니었으며;지성적 자아_복종과 무조건적 헌신의 행동이었다.
[54]| {k{k{오순절}k}k}이, 복음을 믿는 자들 가운데 영적 통일을 가져왔다. 그 영이 {k{k{예루살렘}k}k}에 있는 제자들에게 임했을 때, 똑같은 일이 {k{k{필라델피아}k}k}, {k{k{알렉산드리아}k}k}, 그리고 참된 신자들이 거주하는 모든 다른 장소에서도 일어났다. “신자들 무리 가운데는 오직 하나의 마음과 혼만 있었다”는 표현은 글자 그대로 맞는 말이었다. {k{k{예수}k}k}의 종교는, 세상에 알려진 것들 가운데 가장 강력한 통합시키는 힘을 갖고 있다.
[55]| {k{k{오순절}k}k}은, 각 개인, 집단, 민족, 및 종족의 자기_독단을 줄여주도록 고안됐다. 너무 팽창하면 파괴적인 전쟁을 통해서 주기적으로 경감되는 것이 바로 이 자기_독단이라는 기질이다. 인류는 영적 접근을 통해서만 통합될 수 있으며, {k{k{진리의}k}k} {k{k{영}k}k}은 세계의 보편적인 영향력이다.
[56]| {k{k{진리의}k}k} {k{k{영}k}k}의 도래는, 인간의 마음을 정화시키고, 그 영을 받은 사람을 인도해서, 오직 {k{k{하나님}k}k}의 뜻과 사람의 행복을 목적으로 삼는 삶을 살게 한다. 이기심이라는 물질적 기질은, 사심 없는 이런 새로운 영적 증여 속에 흡수됐다. {k{k{오순절}k}k}은, 그때나 지금이나, 역사적인 {k{k{예수}k}k}께서 생생한 체험을 소유한 신성한 {k{k{아들}k}k}이 됐음을 나타낸다. 쏟아 부어진 이 영이 주는 기쁨은, 인간의 삶에서 의식적으로 체험될 때, 건강을 위한 강장제{强壯劑}, 정신을 향한 자극, 그리고 혼을 위한 부단한 힘이 된다.
[57]| 기도했기 때문에 그 영이 {k{k{오순절}k}k} 날에 임하게 된 것은 아니었지만, 기도는 개별 신자의 특징을 나타내는 수용 역량을 결정하는 데 강력한 영향을 끼쳤다. 기도가 신성한 마음을 감동시켜서 너그럽게 수여하도록 하는 것은 아니지만, 진지한 기도와 참된 경배를 통해서, {k{k{조물주}k}k}와 중단 없는 교류를 유지하기를 잊지 않는 사람의 마음과 혼 속에 신성한 증여가 흘러갈 수 있게 하는, 더 크고 더 깊은 경로를 열어주는 경우가 매우 많이 있다. 
[58]| {b{b{4. }b}b}{b{b{{k{k{그리스도교}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{교회의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{시작}k}k}}b}b}
[59]| {k{k{예수}k}k}께서 적에게 갑자기 체포되고, 두 강도 사이에서 그토록 신속하게 십자가형에 처해졌을 때, 사도와 제자들은 완전히 사기가 꺾였었다. 체포되고, 묶이고, 채찍에맞고, 십자가에 달린 {k{k{주님}k}k}에 대한 기억은, 제자들이 감당하기에 너무 어려운 것이었다. 그들은 그의 가르침과 경고를 잊고 있었다. 정말로 그는, “{k{k{하나님}k}k}과 모든 사람 앞에 말씀과 행위에서 능력 있는 선지자”일 수 있었지만, 그들이 {k{k{이스라엘}k}k} 왕국을 재건하리라고 희망하는 {k{k{메시야}k}k}는 될 수 없었다.
[60]| 부활이 이뤄지자, 그들은 절망에서 벗어났고, {k{k{주님}k}k}의 신성{神性}에 대한 신앙이 다시 돌아왔다. 그들은 여러 번 그를 봤고 그와 함께 대화했으며, 그는 그들을 {k{k{감람원}k}k}으로 데리고 나가서, 거기서 그들에게 작별 인사를 하면서, {k{k{아버지}k}k}께로 돌아간다고 말씀했다. 그는 그들이 능력을 부여받을 때까지--곧 {k{k{진리의}k}k} {k{k{영}k}k}이 임할 때까지-- {k{k{예루살렘}k}k}에 머물러 있으라고 말씀했다. 그리고 {k{k{오순절}k}k} 날에 이 새 선생이 도래했으며, 그들은 즉시 나가서 새로운 능력으로 자신의 복음을 전파했다. 그들은, 한 사람의 실패한 죽은 지도자가 아니라 살아계신 {k{k{주}k}k}를 담대하고 용감하게 따르는 자들이었다. {k{k{주님}k}k}은 이런 복음 전파자들의 마음 속에 살고 있으며;{k{k{하나님}k}k}은 그들의 정신 속에 있는 교리가 아니며;그들의 혼 속에 생생하게 현존하시게 됐다.
[61]| “그들은 한결같이 날마다 계속 한 마음으로 성전에 모였고, 집에서 음식을 나눴다. 모든 사람과 은혜를 나누고 {k{k{하나님}k}k}을 찬양하면서, 한 마음으로 기쁘게 자기 음식을 가져왔다. 그들은 모두 그 영으로 충만했으며, 담대하게 {k{k{하나님}k}k}의 말씀을 전했다. 그리고 믿는 대중은 한 마음과 혼에 속했으며;자기가 소유하고 있는 어떤 것이든지 자기 것이라고 주장하는 사람이 하나도 없었고, 모든 것을 공동으로 소유했다.”
[62]| 천국 복음, 즉 {k{k{하나님}k}k}이 {k{k{아버지}k}k}시고 사람이 형제관계임을 나가서 전파하도록 {k{k{예수}k}k}께서 임명하신 이 사람들에게 무슨 일이 생겼을까? 그들은 새로운 복음을 소유했으며;새로운 체험으로 불붙었으며;새로운 영적 에너지로 가득 찼다. 그들의 메시지는 다음과 같이, 부활한 {k{k{그리스도}k}k}를 전파하는 쪽으로 급격히 변경됐다:“기적과 이사를 통해 {k{k{하나님}k}k}이심을 증명한, 한 인간 {k{k{나사렛}k}k} {k{k{예수}k}k}를;{k{k{하나님}k}k}의 명확한 의도와 예지{叡智}에 따라 넘겨진바 된 그를, 너희가 십자가에 못박고 살해했다. {k{k{하나님}k}k}께서 모든 선지자의 입을 통해서 미리 나타내신 것을 그가 이렇게 이루셨다. 이 {k{k{예수}k}k}를 {k{k{하나님}k}k}이 살리셨다. {k{k{하나님}k}k}은 그를 {k{k{주}k}k}와 {k{k{그리스도}k}k}가 되게 하셨다. {k{k{하나님}k}k}의 바른 편으로 올라갔고, {k{k{아버지}k}k}로부터 그 영에 대한 약속을 받아서, 너희가 보고 들은 그 영을 쏟아부어주셨다. 너희의 죄가 깨끗이 지워질 수 있도록;너희에게 약속된 {k{k{그리스도}k}k}, 즉 만물이 소생될 때까지 하늘이 받아 둘 수밖에 없는 {k{k{예수}k}k}를, {k{k{아버지}k}k}께서 보내시도록 회개하라.” 
[63]| 천국 복음, 즉 {k{k{예수}k}k}의 메시지는, 갑자기 {k{k{주}k}k} {k{k{예수}k}k} {k{k{그리스도}k}k}에 대한 복음으로 변경됐다. 그들은 이제, 그의 생애, 죽음, 및 부활이라는 사실을 선포했으며, 자신이 시작했던 일을 완성하기 위해서 그가 이 세상에 속히 돌아오리라는 희망을 전파했다. 그리하여 초기 신자들은, 그가 초림{初臨}한 사실을 전파하면서, 동시에 그의 재림{再臨}에 대한 희망, 즉 매우 가까운 시기에 일어나리라고 상상하는 사건을 가르치게 됐다.
[64]| {k{k{그리스도}k}k}는, 신속하게 형성되는 교회의 교리가 되려고 했다. {k{k{예수}k}k}께서는 살아있고;사람을 위해 죽었으며;그 영을 주셨고;다시 오실 것이다. {k{k{예수}k}k}께서는 그들의 모든 사고{思考}를 충만하게 했고, {k{k{하나님}k}k}에 대한, 그리고 다른 모든 것에 대한 그들의 모든 새로운 개념을 정립했다. 그들은, “{k{k{하나님}k}k}은 {k{k{주}k}k} {k{k{예수}k}k}의 {k{k{아버지}k}k}시라”는 새로운 교리에 너무 열광한 나머지, 모든 각 개인에 이르기까지, “{k{k{하나님}k}k}은 모든 사람을 사랑하는 {k{k{아버지}k}k}시라”는 원래의 메시지에 관심을 두지 못했다. 놀랍게 나타난 형제간의 사랑과, 전례 없는 친절함이, 이런 초기 신자들의 공동체 안에서 솟아났던 것은 사실이다. 그러나 그것은, {k{k{예수}k}k}를 믿는 사람들의 교제였고, 하늘에 계신 {k{k{아버지}k}k}의 가족천국{家族天國})에서 나누는 형제간의 교제가 아니었다. 그들의 친절함은, {k{k{예수}k}k}의 증여 개념에서 발생된 사랑 때문이었고, 필사적 사람의 형제관계를 깨달음에서 나온 것이 아니었다. 그럼에도, 그들은 기쁨으로 가득했고, {k{k{예수}k}k}에 관한 그들의 교훈에 모든 사람이 매혹되는, 그런 새롭고 독특한 인생을 살았다. 그들은, 천국 복음 대신, 그 복음에 관한 활기차고 예증이 되는 해설을 동원하는 큰 실수를 범했지만, 그럼에도 인류가 일찍이 알게 된 종교들 중에서 가장 훌륭한 종교였다.
[65]| 틀림없이, 새 공동체가 세상에 나타나고 있었다. “믿는 사람들이 사도들의 가르침과 교제 속에서 음식을 나누고 기도하는 일을 흔들리지 않고 계속했다.” 그들은 서로를 형제와 자매로 호칭했으며;거룩한 입맞춤으로 인사했으며;가난한 자들을 보살폈다. 그것은 삶의 교제였을 뿐만 아니라 경배의 교제였다. 법률로 인한 공동사회가 아니라, 자신의 재물을 동료 신자들과 나누려는 열망으로 인한 공동체였다. 그들은, 자신이 살아있는 동안에 {k{k{예수}k}k}께서 다시 돌아와서 {k{k{아버지}k}k}의 나라를 완전하게 이룰 것이라고, 확고하게 믿었다. 세상의 소유물을 이렇게 자발적으로 서로 나눈 것은, {k{k{예수}k}k}의 가르침의 직접적인 특색이 아니었으며;그가 언젠가 다시 돌아와서, 자신의 일을 완성하고 천국을 완전히 이룰 것에 대해, 이 남자와 여자들이 너무나 진지하고 확고하게 믿었기 때문에 이렇게 했다. 그러나 선의에서 시도했던 형제간의 이런 경솔한 사랑의 최종 결과는, 비탄을 낳는 참담한 것이었다. 수천 명의 진지한 신자가 부동산을 팔았고, 자본이 되는 모든 재물과 기타 생산적인 자산 일체를 처분했다. 시간이 흐르면서, {k{k{그리스도교인}k}k}의 자산은 줄어들었고, “동등한 분배”는 끝나게 됐다--그러나 세상의 종말은 오지 않았다. 얼마 안 되어, 굶주리는 {k{k{예루살렘}k}k}의 동료 신자들을 돕기 위해, {k{k{안디옥}k}k}에 있는 신자들이 모금하게 됐다.
[66]| 이 무렵에, 그들은 {k{k{주의}k}k} {k{k{만찬}k}k}을, 설립시의 방법에 따라서 거행했으며;다시 말해서, 그들은 너그럽게 친교하는 공동 식사를 위해 모였고, 식사 후에 성찬식에 참여했다.
[67]| 처음에는 {k{k{예수}k}k}의 이름으로 세례를 줬지만;20년 정도 흐른 후에는 “{k{k{아버지}k}k}와 {k{k{아들}k}k}과 {k{k{영}k}k}의 이름으로 세례를 주기 시작했다. 신자들의 공동체에 참여하기 위한 유일한 조건은 세례였다. 그들은 아직 아무런 조직도 갖추지 못했으며;그것은 단순히 {k{k{예수}k}k} 형제단체였다.
[68]| 이런 {k{k{예수}k}k} 교파는 신속하게 확장됐고, {k{k{사두개인}k}k}이 다시 그들을 주목하게 됐다. {k{k{바리새인}k}k}은, 그 교훈 가운데서 아무 것도 {k{k{유대인}k}k}의 율법을 준수에 대립되지 않는다는 것을 알았으므로, 이런 상황에 별로 관심이 없었다. 그러나 {k{k{사두개인}k}k}은, {k{k{예수}k}k} 교파의 지도자들을 투옥시키기 시작했고, 지도적 랍비 가운데 하나인 {k{k{가말리엘}k}k}의 충고를 받아들이기로 설득될 때까지 이 일을 계속했는데:그는, “이 사람들의 모임과 활동이 사람으로 말미암은 것이라면 결국 없어질 것이니, 상관하지 말고 내버려두도록 하라;그러나 그것이 {k{k{하나님}k}k}에게서 생겨났다면, 너희가 없애지 못할 것이며, {k{k{하나님}k}k}께 대적하는 결과가 될 수도 있지 않겠느냐”고 했다. 그들은 {k{k{가말리엘}k}k}의 충고를 따르기로 했으며, {k{k{예수}k}k}에 관한 복음이 신속히 퍼져 나가는 동안, {k{k{예루살렘}k}k}에는 평화와 안정이 잠시 계속됐다.
[69]| 그리하여 {k{k{알렉산드리아}k}k}로부터 많은 숫자의 {k{k{그리스인}k}k}이 올 때까지, {k{k{예루살렘}k}k}에서는 모든 일이 순조롭게 진행됐다. {k{k{로단}k}k}의 두 제자가 {k{k{예루살렘}k}k}에 도착하여, {k{k{헬라파}k}k} {k{k{유대인}k}k} 가운데 많은 사람을 개종시켰다. 그들이 초기에 개종시킨 사람 중에는 {k{k{스데반}k}k}과 {k{k{바나바}k}k}도 있었다. 유능한 이 {k{k{그리스인}k}k}들은 {k{k{유대인}k}k}의 관점과 많이 달랐으며, {k{k{유대인}k}k}의 경배와 기타 예식 풍습을 잘 시행하지 않았다. 이 {k{k{그리스인}k}k}들의 행동으로 인해, {k{k{예수}k}k} 형제단체와 {k{k{바리새인}k}k} 및 {k{k{사두개인}k}k} 사이의 평화로운 관계가 깨지게 됐다. {k{k{스데반}k}k}과 {k{k{그리스인}k}k} 동역자는 {k{k{예수}k}k}의 가르침에 더 가깝게 전도하기 시작했고, 이로 인해 그들은 곧 {k{k{유대인}k}k} 관리들과 충돌하게 됐다. {k{k{스데반}k}k}이 공개적으로 전한 설교들 가운데 하나에서, 그가 강론 도중에 그들이 못마땅하게 여길만한 말을 하자, 모든 공식 심문 절차를 무시하고 현장에서 그에게 돌을 던져서 죽여 버렸다.
[70]| {k{k{스데반}k}k}은 {k{k{예루살렘}k}k}에서 {k{k{예수}k}k}를 믿는 {k{k{그리스인}k}k} 거주민의 지도자였으며, 그렇게 해서, 초기 {k{k{그리스도교}k}k} 교회가 공식적으로 조직되는 일에 새로운 신앙과 특별한 원인을 제공하는, 첫 순교자가 됐다. 이런 새로운 위기로 말미암아, 신자들은 더 이상 {k{k{유대인}k}k} 신앙 속에서 한 교파로 머물러 있지 못하게 됐음을 깨닫게 됐다. 그들은 모두, 믿지 않는 자들로부터 따로 독립해야 한다고 동의했으며;{k{k{스데반}k}k}이 죽은 후 한 달이 못되어, {k{k{예루살렘}k}k}에서 {k{k{베드로}k}k}의 지도 아래 교회가 조직됐고, 명목상 우두머리로 {k{k{예수}k}k}의 형제 {k{k{야고보}k}k}가 임명됐다.
[71]| 그리고 나서 {k{k{유대인}k}k}들이 새로 잔인한 박해를 시작했고, 그리하여 {k{k{예수}k}k}에 관한 새 종교를 가르치는 적극적인 선생들이 {k{k{예수}k}k}를 전파하면서 제국의 변방{邊方}을 향해 퍼져 나갔는데, 이 종교는 나중에 {k{k{안디옥}k}k}에서 {k{k{그리스도교}k}k}라고 불리게 됐다. {k{k{바울}k}k}이 등장하기 전에는, 이 메시지를 전하는 주도적 역할을 {k{k{그리스인}k}k}이 했으며;이 첫 선교사들은, 그 뒤를 이은 사람들도 마찬가지로, 전에 {k{k{알렉산더}k}k}가 행진했던 길을 따라갔는데, {k{k{가자}k}k}와 {k{k{두로}k}k}로 통하는 길을 따라서 {k{k{안디옥}k}k}으로 갔으며, 이어서 {k{k{소아시아}k}k}를 지나{k{k{ }k}k}{k{k{마게도니아}k}k}로 갔고, 그다음에는 {k{k{로마}k}k}를 지나서 제국의 변두리 지방까지 퍼져 나갔다.
