[1]| 제167편{{{br}}} 필라델피아 방문
[39]| {k{k{예수}k}k}께서 결혼과 이혼에 관한 말씀을 마친 후에, 사도들은 그날 저녁 늦게 은밀히 찾아와서 많은 질문을 했으며, 그들의 마음 속에 있었던 많은 잘못된 생각이 이 질문에 대한 그의 대답으로 해결됐다. {k{k{예수}k}k}께서는 이 회담을 마치면서 말씀했다:“결혼은 고상한 것이고 모든 사람이 원하는 바다. {k{k{사람의}k}k} {k{k{아들}k}k}이 이 땅에서 자신의 사명을 홀로 추구한다는 사실은, 결혼이 바람직한가 아닌가를, 어떤 면에서도 반영하지 않는다. 내가 그렇게 일해야 하는 것이 {k{k{아버지}k}k} 뜻이지만, 바로 그 {k{k{아버지}k}k}께서는 남성과 여성을 창조하도록 지시하셨고, 남녀가 자녀를 맡아 가르치기 위해 가정을 꾸미는 일과, 그들을 창조할 때, 하늘과 땅의 {k{k{창조주}k}k}와 협조하는 일에 최선의 봉사를 하고 그 결과로 생기는 기쁨을 찾는 것이 신의 뜻이다. 이런 이유 때문에 남자는 아버지와 어머니를 떠나서 아내와 굳게 결합해야 하고, 두 사람이 하나처럼 돼야 할 것이다.”
[40]| 그리고 {k{k{예수}k}k}께서는 이런 방법으로 결혼에 대해 많이 염려하는 사도들의 마음을 풀어줬고, 이혼에 관한 많은 오해를 씻어줬으며;동시에 사회적 합동에 대한 그들의 이상{理想}을 높여주도록, 그리고 여자와 어린이 및 가정을 그들이 더 존중하도록 많이 기여했다. 
[41]| {b{b{6. }b}b}{b{b{{k{k{어린아이를}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{축복함}k}k}}b}b}
[42]| 그날 저녁에, 결혼에 관계된 {k{k{예수}k}k}의 메시지와, 아이들을 축복했다는 소문이 온 {k{k{여리고}k}k}에 퍼져서, 다음 날 아침, {k{k{예수}k}k}와 사도들이 떠날 준비를 하기 훨씬 전에, 아침 식사시간이 이르기 전임에도, 많은 어머니가 아이를 팔에 안거나 손을 잡아 이끌며 {k{k{예수}k}k}께서 머무는 곳에 찾아와서, 아이들을 축복해 주시기 원했다. 사도들은 아이들과 함께 모여든 어머니들을 보려고 밖에 나갔다가, 그들을 돌려보내려고 했지만, 이 여자들은 {k{k{주님}k}k}이 아이에게 직접 손을 얹고 축복할 때까지 떠나지 않겠다고 거절했다. 사도들이 큰 소리로 이 어머니들을 꾸짖자, {k{k{예수}k}k}께서 소란스런 소리를 듣고 나와서 분개하며 그들을 책망했고:“어린아이들이 내게로 오게 하라;하늘 나라가 저들의 것이니 막지 말라. 진실로 진실로 너희에게 말하는데, 어린아이처럼 {k{k{하나님}k}k} 나라를 받아들이지 않는 자는 누구든지 거기에 들어가지 못할 것이며, 거기서는 영적으로 온전히 성숙한 모습이 되기까지 자랄 것이라”고 말씀했다.
[43]| 그리고 {k{k{주님}k}k}은 사도들에게 말씀을 마치고, 모든 아이를 환영하면서 그들에게 손을 얹었고, 아이의 어머니들에게는 용기와 희망을 주는 말씀을 했다.
[44]| {k{k{예수}k}k}께서는 천상{天上}에 있는 맨션에 대해 사도들에게 종종 말씀했고, 상승하는 {k{k{하나님}k}k}의 자녀는, 마치 아이들이 이 세상에서 육신적으로 자라는 것처럼, 거기서 영적으로 성숙해야 한다고 말씀했다. 그리고 이날, {k{k{네바돈}k}k}에서 구경하던 지성체들이, 우주의{k{k{ }k}k}{k{k{창조주}k}k}와 함께 노는 {k{k{여리고}k}k}의 아이들을 바라보고 있음을, 아이와 어머니들이 거의 깨닫지 못한 것처럼, 신성시되는 것들이 종종 평범하게 보이기 마련이다.
[45]| {k{k{팔레스틴}k}k}에서 여자의 지위는 {k{k{예수}k}k}의 가르침으로 인해 많이 향상됐으며;{k{k{예수}k}k}가 공들여 가르쳤던 것을 추종자들이 그토록 멀리 떠나지 않았더라면, 온 세상이 그렇게 됐을 것이다.
[46]| 신성한 경배의 습관을 아이들에게 가르치는 초기의 종교적 훈련 문제를 토론하던 중에, 경배 드리고 싶은 충동으로 이끄는 영향으로서, 특히 아이들의 경우에 아름다움이 대단히 귀중하다는 것을, {k{k{예수}k}k}께서 사도들에게 강조한 것도 {k{k{여리고}k}k}에서였다. 창조된 자연 환경에서 {k{k{창조주}k}k}께 드리는 경배가 가치 있음을, {k{k{주님}k}k}은 훈계와 실제 예를 통해서 가르쳤다. {k{k{주님}k}k}은, 나무들 사이에서, 자연 세계의 하등 피조물 가운데서, 하늘에 계신 {k{k{아버지}k}k}와 교제하기를 더 좋아했다. {k{k{주님}k}k}은, {k{k{창조주}k}k} {k{k{아들}k}k}들이 만든 별처럼 빛나는 세계들이 연출하는 영감을 일으키는 광경을 통해서 {k{k{아버지}k}k}를 묵상하기를 기뻐했다.
[47]| 사람은, 자연을 예배당 삼아서 {k{k{하나님}k}k}께 경배드릴 수 없는 경우에는, 단순한 형태를 갖추고 예술적으로 꾸며진 예배실이 있는 아름다운 집을 제공하기 위해 최선의 노력을 다해야 하며, 그리하여 {k{k{하나님}k}k}과의 영적 친교로 인도하는 지적 접근과 함께, 가장 고상한 인간 감정이 자극될 수 있게 해야 한다. 진리, 아름다움, 및 거룩함은, 참된 경배를 드리기에 효과적인 큰 도움을 제공한다. 그러나 영 친교는, 단순히 육중한 장식으로, 그리고 인간의 정교하고 허식적인 예술로 과도하게 꾸밈으로써 증진되지 않는다. 아름다움은 가장 단순하고 자연스러울 때 가장 종교적이다. 아름다운 모습이 결여되고, 기분 좋게 하고 영감 주는 거룩함을 조금도 보여주지 못하는, 냉랭하고 재미없는 방에서 드리는 공중 경배 개념을 어린아이들이 처음 소개받아야만 함은 얼마나 불행한 일인지! 어린이에게는 먼저 바깥의 자연에서 경배하기를 소개해야 하고, 후에 부모와 함께 종교 모임이 있는 대중적 처소에 가도록 해야 하며, 그가 매일 살고 있는 집처럼, 그곳은 최소한 실질적으로 흥미를 주고 예술적으로도 아름다워야 한다.
[48]| {b{b{7. }b}b}{b{b{{k{k{천사에}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{관한}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{대화}k}k}}b}b}
[49]| 그들이 {k{k{여리고}k}k}에서 {k{k{베다니}k}k}로 가면서 언덕을 오르는 동안 거의 대부분, {k{k{나다니엘}k}k}이 {k{k{예수}k}k} 옆에서 걸어갔고, 하늘 나라와 관련하여 아이들에 대해 토의하다가, 결국 천사의 사역을 검토하게 됐다. {k{k{나다니엘}k}k}이 마침내 {k{k{주님}k}k}께 질문했다:“대제사장은 {k{k{사두개인}k}k}이고, {k{k{사두개인}k}k}은 천사를 믿지 않으니, 우리는 하늘의 사역자들에 관해 사람들에게 뭐라고 가르쳐야 합니까?” 그러자 {k{k{예수}k}k}께서는 다른 것들 가운데 이렇게 말씀했다:
[50]| “천사 무리는 창조된 존재들 가운데 별개의 종류이며;필사 피조물의 물질 체제와는 완전히 다르고, 우주 지성체들 가운데 독특한 집단으로서 활동한다. 천사는, {k{k{성서}k}k}에서 ‘{k{k{하나님}k}k}의 {k{k{아들}k}k}들’이라고 불리는 피조물 집단이 아니며;또한 높은 곳에 있는 맨션들을 통해서 이미 진보된 필사적 사람의 영화{靈化}된 영도 아니다. 천사는 직접 창조되고, 스스로 번식하지 못한다. 천사 무리는 인간 종족과 오직 영적인 면에서만 유사성을 가질 뿐이다. 사람은 {k{k{낙원}k}k}에 계시는 {k{k{아버지}k}k}께로 진보해 가면서, 한때 천사와 비슷한 상태를 거치기는 하지만, 필사적 사람은 결코 천사가 되지 않는다.
[51]| “사람과는 달리, 천사는 죽지 않는다. 천사는, 그들 가운데 일부가 {k{k{루시퍼}k}k}의 속임수에 넘어갔던 것처럼 우연히 죄에 가담되지 않는다면 불멸{不滅}한다. 천사는 하늘에 있는 영 하인이며, 온전히_지혜롭지 않고 전능하지도 않다. 그렇지만 충성된 모든 천사는 정말로 순수하고 거룩하다.
[52]| “그리고 너희가 성별{聖別}된 영적 눈을 갖게 된다면, 하늘들이 열리는 것을 보고, {k{k{하나님}k}k}의 천사들이 오르락내리락하는 것을 보게 되리라고, 내가 전에 너희에게 한 번 말했던 것을 기억하지 못하느냐? 한 세계가 다른 세계들과 계속 접촉할 수 있는 것은 천사들의 사역 때문이며, 그러므로 내가 이 무리에 들어있지 않은 다른 양들이 있다고 너희에게 여러 번 말하지 않았느냐? 그리고 이 천사들은, 너희를 지켜보면서 너희 마음 속에 있는 생각을 {k{k{아버지}k}k}께 나아가 고자질하고, 육신적 행위를 보고하는, 영계{靈界}의 첩자가 아니다. {k{k{아버지}k}k}는 자신의 영이 너희 안에 거하기 때문에, 그런 도움을 받으실 필요가 없다. 그러나 이 천사 영들은, 우주의 다른 먼 부분들이 행하는 일에 관하여, 하늘 창조계 가운데 한 부분에 계속 알려주는 역할을 한다. 그리고 천사 중에 다수는, {k{k{아버지}k}k}의 정부{政府}와 {k{k{아들}k}k}들의 우주들에서 작용하는 한편, 인간 종족들에 대한 봉사에 배정된다. 이 스라빔 가운데 다수가 섬기는 영이라고 너희에게 가르쳤을 때, 나는 상징적인 언어나 시적인 선율로 표현하지 않았다. 그런 문제를 납득하기가 너희에게 어렵겠지만, 이것은 모두 사실이다.
[53]| “이 천사들 가운데 다수가 사람을 구원하는 일에 가담하며, 그렇기 때문에, 한 혼이 죄를 떠나기로 결심하고 {k{k{하나님}k}k}을 찾기 시작할 때 스라빔도 기뻐한다고, 내가 너희에게 말하지 않았느냐? 회개하는 한 죄인에 대한 기쁨이 하늘의 {i{i{천사들}i}i} {i{i{앞에}i}i} 있다는 것까지 내가 말함으로써, 필사적 사람의 신성한 진보와 영적 행복에 마찬가지로 관심을 갖는 또 다른, 그리고 더 높은 계층에 속하는, 천상{天上}의 존재들이 실존한다는 것을 알려줬다.
[54]| “또한 이 천사들은, 사람의 영을 육신의 장막으로부터 풀어주고, 그의 혼을 하늘에 있는 맨션으로 호송하는 수단과도 매우 많이 관련된다. 천사들은, 육신의 죽음과 영 거주지의 새로운 생애 사이에 끼어있는, 미지{未知}의 불확정적인 기간에 사람의 혼을 확실히 안내하는, 천상의 안내자다.”
[55]| 그리고 천사들의 사역에 관해 {k{k{나다니엘}k}k}과 더 이야기하려고 했지만, {k{k{마르다}k}k}가 가까이 오는 바람에 멈췄는데, {k{k{마르다}k}k}는 {k{k{주님}k}k}이 {k{k{베다니}k}k} 가까이로 오고 있다는 소식을, 동쪽으로 언덕을 올라오는 그를 봤던 친구들로부터 들었다. 그래서 {k{k{마르다}k}k}는 이때 서둘러 그를 맞이하러 왔다.
