[1]| 제48편{{{br}}} 모론시아 생애
[67]| 3. {i{i{예언적}i}i} {i{i{기쁨}i}i}. 이 국면의 유머를 상상하는 것이 필사자에게는 아마 어려운 일이겠지만, 우리는 --필사자뿐 아니라 영들과 모론시아인에게도-- “모든 것이 합력해서 선을 이룬다”는 확신으로 특이한 만족감을 얻는다. 천상의 유머의 이런 관점은, 우리의 상관{上官}들이 애정으로 보살피고, 우리의 {k{k{최상급}k}k} {k{k{지휘자}k}k}들의 신성이 불변한다는 것을 믿는 우리의 신앙에서 우러나온다.
[68]| 그러나 그 영역의 회고 지휘자들은, 다양한 계층의 지성 존재의 고상한 유머를 묘사하기에만 전념하지는 않으며;기분 전환, 즉 영적 오락과 모론시아 여흥{餘興}을 지도하는 데에도 또한 몰두한다. 그리고 그들은 이런 맥락에서 천상의 기능공들과 긴밀하게 협동한다.
[69]| 회고 지휘자들 자신은, 창조된 무리가 아니며;{k{k{하보나}k}k} 원주민부터, 아래로 공간에 있는 사자{使者} 무리와 시간세계의 사역하는 영들, 그리고 진화 세계에서 온 모론시아 진보자들에 이르기까지의 존재를 포함하는, 모집된 단체다. 모두가 지원자이며, 사고{思考}를 변화시키고 정신의 휴식을 맛보게 하려고 자기 동료들을 돕는 일에 헌신하는데, 이는 고갈된 에너지를 회복시키기에 그런 태도가 가장 유익하기 때문이다.
[70]| 성취하려는 노력으로 어느 정도 지쳤을 때, 그리고 새로운 에너지를 보충 받으려고 기다리는 동안, 지나간 시절과 시대에 행한 것들을 되새겨볼 때 유쾌한 기쁨이 있다. {i{i{인종이나}i}i} {i{i{계층에서}i}i} {i{i{초기에}i}i} {i{i{체험한}i}i} {i{i{것을}i}i} {i{i{추억하면}i}i} {i{i{편안해진다}i}i}. 이것이 바로, 이 예술가들이 회고 지휘자라고 불리는 정확한 이유다--그들은 예전의 발달 상태 또는 어설픈 상태의 존재였던 것에 대한 기억을 돌이키도록 돕는다.
[71]| 모든 존재가 이런 종류의 기분전환을 즐기지만, 예외가 있는데, 선천적으로 {k{k{창조주}k}k}이고, 따라서 자동으로 스스로_활력을_되찾는 자들, 그리고 고도로 특화된 유형의 피조물, 즉 동력 중심 및 물리 통제관 같은 자들이며, 이들의 반응은 항상 그리고 영원히 철저하게 사무적이다. 기능적 의무로 긴장했다가 이렇게 정기적으로 해제되는 것은, 온갖 우주 전역의 모든 세계에서 생애 가운데 정상적인 부분이지만, {k{k{낙원}k}k} {k{k{섬}k}k}에서는 그렇지 않다. 중앙 거주지의 토착 존재들은 지칠 수 없고, 그래서 재_충전과 관계없다. 그리고 영원한 {k{k{낙원}k}k} 완전성에 속하는 그런 존재들에게는, 그렇게 되돌아볼 진화 체험이 있을 수 없다.
[72]| 우리는 대부분, 비교적 낮은 실존 단계를 통해서, 또는 우리 계층의 점진적인 여러 수준을 통해서 올라왔으며, 우리가 초기에 체험한 어떤 사건들을 되돌아보는 것은 상쾌한 일이고 어느 정도 즐거운 일이다. 자신의 계층에게 익숙한 것, 그리고 기억에 남을 만큼 정신이 소유한 것을 숙고하면 편안해진다. 앞날은 갈등과 발전을 의미하며;일, 노력, 및 성취를 예시하지만;지난날은 이미 정복하고 성취한 것들의 맛을 풍기며;지난날을 숙고하는 것은, 휴식과 그런 근심 없는 재음미를 가능하게 하므로, 영 환희와 흥겨움에 가까운 모론시아 정신 상태를 자극한다.
[73]| 심지어 필사자의 유머도, 자신이 현재 도달한 발달 상태보다 바로 밑에 있는 자들에게 감동 주는 사건을 묘사할 때, 또는 자기보다 밑에 있다고 생각되는 자들이 흔히 겪는 체험을, 자기보다 높다고 생각되는 자들이 겪으면서 고생하는 것을 묘사할 때, 가장 건전하다. {k{k{유란시아}k}k} 출신인 너희는, 저속하고 고약한 많은 것을 너희의 유머라고 혼동하도록 내버려뒀지만, 비교적 예리한 유머 감각을 갖고 있다는 점에서, 대체로 축하 받을 만하다. 너희 인종들 가운데 일부는 풍부한 유머 기질을 가졌고, 이로 인해 이 세상에서 사는 동안 크게 도움을 받는다. 너희는, 유머에 있어서 {k{k{아담}k}k}의 유산으로부터 많이, 음악이나 예술이 얻은 것보다는 훨씬 더 많이 물려받은 것처럼 보인다.
[74]| {k{k{사타니아}k}k} 전체는, 노는 시간에, 거기 거주하는 자들이 낮은 단계에서 실존하던 때의 기억을 참신하게 소생시킬 때, {k{k{유란시아}k}k}에서 온, 회고 지휘자 단체의 유쾌한 유머를 듣고 사기가 오른다. 가장 어려운 임무에 임할 때에도, 우리는 천상의 유머 감각을 항상 지니고 있다. 그것은 과도할 만큼 자신을_중요시여기지 않도록 돕는다. 그러나 우리 각 조직의 심각한 임무에서 풀려났을 경우를 제외하고, 우리는 너희가 “재미있게 지내라”고 말하듯이, 그렇게 제멋대로 유머에 빠지지는 않는다.
[75]| 우리가 자신의_중요성을 과장하도록 유혹 받을 때, 멈춰서 우리 {k{k{조물주}k}k}들이 무한히 위대하고 위엄있다는 것을 숙고해 본다면, 우리 스스로를_찬미하는 것은 터무니없이 어리석은 일이 되고, 심지어 우스꽝스런 일에 가까울 것이다. 유머의 기능 가운데 하나는, 우리 자신을 덜 심각하게 만들도록 우리 모두를 돕는 것이다. {i{i{유머는}i}i}{i{i{,}i}i} {i{i{자아}i}i} {i{i{찬양이라는}i}i} {i{i{독성에}i}i} {i{i{대한}i}i} {i{i{신이}i}i} {i{i{주신}i}i} {i{i{해독제다}i}i}.
[76]| 긴장을 완화하고 유머로 기분을 전환시킬 필요는, 상승하는 그런 존재 계층에서 가장 큰데, 이들은 위로 올라가려고 애쓸 때 지속적인 긴장감에 휩싸인다. 양극단의 생애는 유머로 기분을 전환할 필요가 거의 없다. 원시인은 유머를 수용할 능력이 없으며, {k{k{낙원}k}k}에서 완비된 존재는 유머가 필요 없다. {k{k{하보나}k}k}의 무리는 선천적으로 지극히 행복한 인격을 지닌, 유쾌하고 상쾌한 회중{會衆}이다. {k{k{낙원}k}k}에서는, 경배의 우수성 때문에, 회고 활동이 불필요하다. 그러나 {k{k{낙원}k}k} 완전성이라는 목표에 훨씬 못 미치는 상태에서 생애를 시작하는 자들 가운데서는, 회고 지휘자들의 사역이 큰 역할을 한다.
[77]| 필사자 종족은, 수준이 높을수록 긴장감이 더 크고, 유머의 필요성뿐만 아니라 유머를 받아들이는 능력도 더 커진다. 영 세계에서는 그 반대인데:우리는 높이 올라갈수록 회고 체험으로 기분전환 할 필요가 점차 줄어든다. 그러나 영 생명체의 등급이 {k{k{낙원}k}k}으로부터 스랍 무리에 이르기까지 낮아질수록, 유쾌하게 만드는 사명과 명랑하게 만드는 사역이 더 필요해진다. 전에 체험했던 지적 상태를 이따금 회고함으로 원기를 회복하는 것이 가장 필요한 존재는, 높은 유형의 인간 종족, 모론시아인, 천사, 및 {k{k{물질}k}k} {k{k{아들}k}k}들이며, 비슷한 유형의 모든 인격체도 그렇다.
[78]| 유머는, 발전적 진보와 고귀한 성취를 위한 격렬한 갈등과 관련해서, 지속적으로 심각하게 자아를_성찰하는 단조로움 때문에 지나친 압박감이 조성되는 것을 방지하는, 자동 안전장치로서 작용해야 한다. 또한 유머는, 사실 또는 진리의 예기치 못한 영향, 즉 고정되고 유연성 없는 사실과, 늘_생생한 융통성 있는 진리가, 예기치 못하게 영향을 끼침으로 인한 충격을 감소시키는 역할을 한다. 필사 인격체는, 다음에 무엇을 만나게 될지 확신할 수 없으므로, 그 본질이 사실이든지 또는 진실이든지, 유머를 통해서 그 상황을 신속하게 파악한다--즉 요점을 찾아내서 간파한다.
[79]| {k{k{유란시아}k}k}의 유머는 대단히 미숙하고 지극히 예술적이지 못하지만, 일종의 건강 보험으로서, 그리고 감정적 압박감의 치료제로서 귀중한 목적에 이바지하며, 그리하여 해로운 신경과민과 지나치게 심각한 자아_성찰을 예방한다. 유머와 놀이는--곧 휴식은-- 진취적 노력에서 생기는 반응이 아니며;반드시, 뒤를 돌아보는, 지난날을 회고함으로 생기는 반응이다. {k{k{유란시아}k}k}에서도, 그리고 지금 너희가 그렇듯이, 너희는 더 새롭게 더 고상하게 지성적으로 노력하는 수고를 잠시 멈추고, 너희 조상들이 하던 좀 더 단순한 일로 돌아갈 때, 너희는 항상 활력을 되찾게 된다는 것을 깨닫는다.
[80]| {k{k{유란시아인}k}k}의 놀이 생활의 원칙은 철학적으로 건전하며, 너희의 상승하는 생애 내내, {k{k{하보나}k}k} 회로들을 통해서 {k{k{낙원}k}k}의 영원한 기슭에 이르기까지 계속 적용된다. 너희는 상승하는 존재로서, 과거에 낮은 실존이었을 때의 개인적 기억을 모두 간직하며, 그런 지난날의 정체성을 기억하지 못한다면, 필사자의 웃음이든지 모론시아 환희든지, 현재의 유머가 성립될 토대가 전혀 없을 것이다. 현재의 기분 전환과 오락이 성립될 수 있는 토대를 제공하는 것은, 과거의 체험에 대한 이 회상이다. 그리하여 너희의 긴 모론시아 생애와, 그 다음의 점점 영적으로 바뀌는 생애를 통해서 꼭대기까지, 너희는 이 세상의 유머에 해당하는 천상의 유머를 즐길 것이다. 그리고 상승하는 필사자 인격의 영원한 일부분이 되는, {k{k{하나님}k}k}의 바로 그 부분은(곧 {k{k{조율사}k}k}는), 시간과 공간 속에서 상승하는 피조물의 즐거운 표현, 심지어 영적 웃음소리에 신성의 울림을 더해준다.
[81]| {b{b{5. }b}b}{b{b{{k{k{맨션}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{세계}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{선생}k}k}}b}b}
[82]| {k{k{맨션}k}k} {k{k{세계}k}k} {k{k{선생}k}k}들은, 사람으로부터 떠났지만 영화롭게 된 체루빔과 사노빔의 단체다. 시간세계의 순례자가, 공간의 시험 세계로부터, 맨션 세계 및 그에 관련된 모론시아 훈련 세계들로 나아갈 때, 그의 개인 또는 집단 스라빔, 즉 운명 수호자가 그와 동행한다. 필사자가 실존하는 세계에서는, 스라빔이 체루빔 및 사노빔의 훌륭한 도움을 받지만;필사 피보호자가 육신의 속박에서 해방되어 상승하는 생애를 시작할 때, 물질 이후의 인생, 즉 모론시아 인생이 시작될 때, 동행하던 스라빔은 자신의 이전{以前} 부관들, 즉 체루빔과 사노빔의 보살핌을 더 이상 필요로 하지 않는다.
[83]| 사역하는 스라빔으로부터 분리된 이 보좌관들은 종종 우주 본부로 소환되는데, 거기서 {k{k{우주}k}k} {k{k{어머니}k}k} {k{k{영}k}k}의 친밀한 품속으로 들어가고, 그 다음에는 {k{k{맨션}k}k} {k{k{세계}k}k} {k{k{선생}k}k}으로서 체계 훈련 구체들로 나아간다. 이 선생들은 물질 세계를 종종 방문하며, 가장 낮은 맨션 세계에서 시작하여, 우주 본부와 연결된 가장 높은 교육 구체들에 이르기까지 줄곧 활동한다. 그들은 자신이 원하기만 하면, 사역하는 스라빔과 연합해서 일하던 예전 업무로 돌아갈 수도 있다.
[84]| {k{k{사타니아}k}k}에는 이 선생들이 수십억 명 있고, 그들의 숫자는 계속 증가하는데, 대부분의 경우에, 한 스라빔이 {k{k{조율사}k}k}와_융합된 필사자와 함께 안쪽으로 진행할 때, 체루빔과 사노빔은 둘 다 뒤에 남아 있기 때문이다.
[85]| 대부분의 다른 교관들과 마찬가지로, {k{k{멜기세덱}k}k}들이 {k{k{맨션}k}k} {k{k{세계}k}k} {k{k{선생}k}k}들을 임명한다. 그들은 일반적으로 {k{k{모론시아}k}k} {k{k{동무}k}k}들의 감독을 받지만, 개인으로서 또는 선생으로서 교관 역할을 하게 되는 경우에는, 그 학교 또는 구체의 대리 우두머리의 감독을 받는다.
[86]| 진보된 이 체루빔은, 자신이 스라빔에게 배속됐을 때와 마찬가지로, 대개 쌍으로 일한다. 그들은 본질적인 면에서 모론시아 유형의 실존에 매우 가까우며, 상승하는 필사자에게 선천적으로 동정심 많은 선생이고, 맨션 세계 및 모론시아 교육 체계의 과정을 아주 유능하게 운영한다.
[87]| 모론시아 생활을 가르치는 학교에서 이 선생들은, 개인, 집단, 학급, 및 대규모 교육에 임한다. 맨션 세계에서 그런 학교들은, 각각 100개의 부서로 이뤄진 세 개의 일반 집단으로 조직돼 있는데:사고{思考}하는 학교, 느끼는 학교, 행하는 학교 등이다. 너희가 성좌에 도달할 때, 윤리 학교, 경영 학교, 및 사회 적응 학교가 더해진다. 우주 본부 세계들에서 너희는, 철학, 신성{神性}, 및 순수 영성{靈性} 학교에 들어갈 것이다.
[88]| 지구에서 배울 수 있었지만 배우지 못한 것들을, 너희는 이 신실하고 인내심 많은 선생들의 지도 아래서 반드시 획득할 것이다. {k{k{낙원}k}k}에 이르는 왕도{王道}, 지름길, 또는 쉬운 길은 없다. 각자 가는 길이 다른 것과는 상관없이, 너희는 다른 구체로 진행하기 전에 한 구체의 과정을 숙달할 것이며;적어도 너희가 태어난 그 세계를 일단 떠난 후에는 이것이 진실이다.
[89]| 모론시아 생애의 목적 가운데 하나는, 꾸물거림, 얼버무림, 불성실, 문제 기피, 불공정함, 그리고 한가하기를 추구함 같은, 남아있는 짐승의 흔적을 필사 생존자들로부터 영구히 지워버리는 것이다. 맨소니아에서 생활하다 보면, 어린 모론시아 학생들은, 연기{延期}한다고 해서 결코 기피할 수 있는 것이 아님을 일찍부터 배우게 된다. 육신 속의 삶을 끝낸 후로는, 상황을 회피하는 기법 또는 달갑지 않은 책무를 우회하는 기법으로서, 시간을 더 이상 이용할 수 없다.
[90]| {k{k{맨션}k}k} {k{k{세계}k}k} {k{k{선생}k}k}들은, 체류하는 구체 가운데 가장 낮은 곳에서 근무를 시작하고, 체계와 성좌의 교육 구체들을 거쳐서 {k{k{살빙톤}k}k} 훈련 세계들에 이르기까지, 체험함으로써 진급한다. 그들은 {k{k{우주}k}k} {k{k{어머니}k}k} {k{k{영}k}k}의 품에 받아들여지기 전이나 후에, 어떤 특별한 교육도 받지 않는다. 맨션 세계에 체류하는 학생들의 출생지인 그 세계에서 스라빔의 동역자로서 근무하는 동안, 그들은 자신의 일을 위해서 이미 훈련 받았다. 그들은 인간거주 세계들에서 진보하는 이 필사자들과 함께 실제 체험을 가졌다. 그들은 실제적이고 동정심 많은 선생, 즉 현명하고 이해심 많은 교관, 유능하고 실력 있는 안내자다. 그들은 상승 계획에 대해 전반적으로 잘 알고 있으며, 진보하는 생애의 초기 국면에서 철저히 체험했다.
[91]| 이 선생들 중에서 오래된 자들 가운데 다수, 즉 {k{k{살빙톤}k}k} 회로의 세계들에서 오랫동안 근무해 온 자들은, {k{k{우주}k}k} {k{k{어머니}k}k} {k{k{영}k}k}에게 다시_포용되며, 이 체루빔과 사노빔은 이 두 번째 포용에서 스라빔 신분을 지니고 떠오른다.
[92]| {b{b{6. }b}b}{b{b{{k{k{모론시아}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{세계}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{스라빔}k}k}}b}b}{b{b{--}b}b}{b{b{{k{k{과도기}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{사역자}k}k}}b}b}
[93]| 모든 계층의 천사는, 행성 도우미로부터 최고 스라빔에 이르기까지, 모론시아 세계들에서 사역하는데, 과도기 사역자는 이 활동에 더 집중적으로 배정된다. 이 천사들은 스랍 봉사자 중에서 여섯째 계층이며, 그들의 사역은, 육신을 입은 현세의 생애로부터, 물질적인 필사 피조물이 일곱 맨션 세계에서 계속하여 초기 단계의 모론시아 실존으로 이동하는 것을 수월하게 만들기에 전념한다.
[94]| 너희는, 혼이 잉태될 때, 즉 도덕적 상태에 도달한 피조물 정신에 영 {k{k{조율사}k}k}가 내주하던 바로 그 순간에, 상승하는 필사자의 모론시아 생애가 인간거주 세계에서 정말로 시작됐다는 것을 이해해야 한다. 그리고 그 순간부터 계속, 필사자의 혼은, 필사자를 초월해서 활동할 수 있는 잠재 능력, 심지어 더 높은 수준의 지방우주 모론시아 구체들에서 인식할 수 있는 잠재 능력을 갖는다.
[95]| 아무튼 너희는, 맨션 세계들에 도달하기 전에는 과도기 스라빔의 사역을 의식하지 못할 것이며, 그들은 거기서 필사자 학생들의 발전을 위해서 지치지 않고 일하는데, 다음과 같이 일곱 분야에서 근무하도록 배정된다:
[96]| 1. {i{i{{k{k{복음전도}k}k}}i}i} {i{i{{k{k{스라빔}k}k}}i}i}. 맨션 세계에서 의식을 되찾는 순간에, 너는 체계의 기록부에서 진화하는 영으로 분류된다. 정말로 너는 아직 실제 영이 아니지만, 더 이상 필사적 존재나 물질 존재도 아니며;영이 되기 전의 생애를 시작했고, 모론시아 생애에 정식으로 들어오도록 허락받았다.
[97]| 맨션 세계들에서 복음전도 스라빔은, {k{k{에덴시아}k}k}, {k{k{살빙톤}k}k}, {k{k{우버사}k}k}, 및 {k{k{하보나}k}k}에 이르는, 선택할 수 있는 여러 노선 중에서 네가 현명하게 고를 수 있도록 도와줄 것이다. 똑같이 제안할만한 노선이 여럿 있다면, 이것들이 네 앞에 제시될 것이며, 너는 가장 좋아 보이는 하나를 선택하도록 허용될 것이다. 그때 이 스라빔은 각각의 상승하는 혼에게 가장 유리할 그 행로를, {k{k{예루셈}k}k}에 있는 24충고자에게 추천한다.
[98]| 네가 미래의 행로에 대해 아무 제한 없이 선택할 수 있는 것은 아니지만;너의 미래의 영 달성에 가장 알맞도록, 과도기 사역자들과 그 상관들이 현명하게 결정한, 그 한계 내에서 선택할 수 있다. 네가 선택할 수 있는 행로가 너에게 불리하지 않거나 너의 동료들에게 해롭지 않다면, 너의 자유의지 선택을 존중하는 원칙에 입각해서 영 세계가 통치된다.
[99]| 이 복음전도 스라빔은, 영원히 진보한다는 복음, 즉 완전성 달성이 승리할 것임을 선포하는 데 전념한다. 맨션 세계들에서 그들은 선함이 보존되고 지배한다는 대법령을 선포하는데:어떤 선한 행위도 헛수고가 되는 일은 결코 없으며;오랫동안 훼방 받았을지 모르지만 완전하게 소멸된 적이 없고, 그 동기의 신성함에 비례해서 영원히 효력 있다.
[100]| 심지어 {k{k{유란시아}k}k}에서도 그들은, “회개에 이르게 하는 {k{k{하나님}k}k}의 선하심”에 대한 설교를 고수하라고, “모든 두려움을 제거하는 {k{k{하나님}k}k}의 사랑”을 선포하라고, 진리와 정의를 가르치는 인간 선생들에게 권고한다. 과연 이 진리가 너희 세계에 선포됐다:
[101]| {k{k{하나님}k}k}들이 나의 보호자시니;내가 길을 잃지 않을 것이며;
[102]| 아름다운 통로로, 생명을 영원토록 영광스럽게 소생시키면서, 내 옆에서 나를 인도하십니다.
[103]| 나는 {k{k{신성한}k}k} {k{k{현존}k}k} 앞에서 배고프지 않을 것이며, 목마르지 않을 것입니다.
[104]| 내가 불확실성의 골짜기로 내려가거나, 태산 같은 의심 속에서 올라갈지라도,
[105]| 외롭게 행하거나 내 동류 친구들과 동행할지라도,
[106]| 빛이 합창하는 승리를 거두거나 창공에 숨어있던 곳에서 넘어지더라도,
[107]| 주의 선한 영이 나를 돌보실 것이며, 주의 영광의 천사가 나를 위로할 것입니다.
[108]| 비록 깊은 어두움 속으로 죽음이 있는 바로 거기까지 내려갈지라도,
[109]| 내가 주를 의심하거나 두려워하지 않을 것은,
[110]| 주의 이름의 영광과 때가 이르렀음을 알기 때문입니다.
[111]| 주는 나를 높여서 저 높은 성벽 위, 주의 곁에 앉게 하실 것입니다.
[112]| 이것은 밤중에 그 목동 소년에게 들려준 이야기다. 그는 그것을 글자 그대로 간직할 수는 없었지만, 오늘날 기록돼 있는 것과 비슷하게, 자기 기억을 최대한 살려서 표현했다.
[113]| 이 스라빔은 또한, 개인 상승자뿐만 아니라 전체 체계 역시 완전성을 달성하라는 복음을 전하는 자다. 심지어 지금도 젊은 {k{k{사타니아}k}k}의 체계에서 그들의 교훈과 계획은, 맨션 세계들이 높은 곳의 구체들에 이르는 디딤돌로서 필사 상승자에게 더 이상 이바지하지 않게 될, 미래 시대들을 위한 준비를 포함한다.
[114]| 2. {i{i{{k{k{인종}k}k}}i}i}{k{k{ }k}k}{i{i{{k{k{해석자}k}k}}i}i}. 모든 인종의 필사 존재들은 똑같지 않다. 정말로, 주어진 한 세계에서 다양한 인종의 육체적, 정신적, 및 영적 본성 전체에 통용되는 행성 원형{原型}이 있지만;뚜렷이 다른 인종 유형들도 있고, 매우 명확한 사회적 성향이, 서로 다른 이 기본 유형의 인간 후손의 특징을 나타낸다. 시간 세계에서는, 인종을 해석하는 스라빔이, 이 인종들의 잡다한 관점을 조화시키기 위해서 인종 감독관들의 노력을 더 촉진시키며, 그들은 맨션 세계들에서 계속 활동하는데, 거기서도 동일한 이 차이점들이 다소 존속되는 경향이 있다. {k{k{유란시아}k}k} 같은 혼란스런 행성에서는, 뛰어난 이 존재들이 활동할 수 있는 적절한 기회가 거의 주어지지 않았지만, 그들은 첫 하늘의 유능한 사회학자이며, 현명한 종족 충고자다.
[115]| 너희는 “하늘”이라는 말과 “온갖 하늘”이라는 말을 심사숙고해야 한다. 너희 선지자 대부분이 감지했던 하늘은 지역 체계의 맨션세계들 가운데 첫째였다. “셋째 하늘로 올라갔었다”고 그 사도가 말했을 때, 그는 잠자는 동안 자신의 {k{k{조율사}k}k}가 분리됐고, 이 유별난 상태에서 이 일곱 맨션 세계 가운데 셋째 세계에 투사됐던 체험을 말한 것이었다. 너희의 현자들 중에서 더러는 더 높은 하늘, 즉 “온갖 하늘”에 대한 환상을 봤었는데, 칠중{七重} 맨션 세계에 대한 체험은 첫째에 불과했으며;둘째는 {k{k{예루셈}k}k}이고;셋째는 {k{k{에덴시아}k}k}와 그 위성들이며;넷째는 {k{k{살빙톤}k}k}과 그것을 둘러싼 교육 구체들이고;다섯째는 {k{k{우버사}k}k};여섯째는 {k{k{하보나}k}k};그리고 일곱째는 {k{k{낙원}k}k}이다.
[116]| 3. {i{i{{k{k{정신}k}k}}i}i}{k{k{ }k}k}{i{i{{k{k{계획가}k}k}}i}i}. 이 스라빔은, 모론시아 존재들을 효과적으로 분류하는 일과, 맨션 세계에서 그들이 협동하도록 조직하는 일에 전념한다. 그들은 첫째 하늘의 심리학자다. 특이한 이 부서의 스랍 사역자 대부분은, 예전에 시간세계의 자녀들에게 수호천사로서 일한 경험이 있지만, 그들의 피보호자는 어떤 이유로 인해 맨션 세계에서 인격화되지 못했거나, 아니면 {k{k{영}k}k}과 융합하는 기법으로 생존했다.
[117]| 맨션 세계들을 통해서 이동하는 {k{k{조율사}k}k} 혼들의 본성, 체험, 및 신분을 연구하고, 업무 분담 및 진급을 위해서 그들을 분류하는 것을 촉진시키는 것이, 정신 계획가들의 과제다. 그러나 이 정신 계획가들은, 맨션 세계 학생을 책동하거나, 조종하거나, 또는 그들의 무지나 다른 한계를 달리 이용하지 않는다. 그들은 전적으로 공정하고 현저히 올바르다. 그들은 너희의 새로 조성된 모론시아 의지를 존중하며;너희를 독립된 자발적 존재로 간주하고, 너희가 빨리 발달하고 진보하도록 북돋아주려고 애쓴다. 이때 너는 참된 친구와 이해심 많은 조언자들과 대면하게 될 것인데, 그들은 네가 “남들이 너를 보는 것처럼 너 자신을 보도록”, 그리고 “천사들이 너를 아는 것처럼 너 자신을 알도록”, 너를 정말로 도울 수 있는 천사다.
[118]| {k{k{유란시아}k}k}에서도, 이 스라빔이 영원한 진리를 가르치는데:만일 너 자신의 정신이 너를 잘 섬기지 못한다면, 너는 네 정신을 {k{k{나사렛}k}k} {k{k{예수}k}k}의 정신과 바꿀 수 있는데, 그는 너를 항상 잘 섬긴다.
[119]| 4. {i{i{{k{k{모론시아}k}k}}i}i}{k{k{ }k}k}{i{i{{k{k{조언자}k}k}}i}i}. 인간이 기원되는 세계로부터 오는, 생존한 필사자들, 즉 체계 본부의 비교적 높은 학교들로 옮겨가는 혼들을 가르치고 지휘하고 조언하도록 배정됐기 때문에, 이 사역자들에게 이런 이름이 주어진다. 그들은, 가지각색의 생명 수준에서 체험적 통일성을 들여다보는 통찰력을 얻으려고 하는 자, 즉 의미 있는 것들을 종합하고 가치기준을 통합하려는 자를 가르치는 선생이다. 이것은 필사자의 인생에서 철학의 기능이고, 모론시아 구체에서 모타의 기능이다.
[120]| 모타는 뛰어난 철학 이상{以上}이며;비교하자면, 철학은 한 눈으로 보는 것과 같고, 모타는 두 눈으로 보는 것과 같으며;모타는 의미와 가치기준에 대해 두 눈으로 보는 효과를 갖는다. 물질적인 사람은, 말하자면, 한쪽 눈으로만--곧 평면으로-- 우주를 본다. 맨션 세계 학생들은, 육체적 인생에 대한 감지 위에, 모론시아 인생에 대한 감지를 첨가시킴으로써, 시공우주 원근을--곧 깊이를-- 획득한다. 그리고 그들은, 주로 조언하는 스라빔의 지칠 줄 모르는 사역을 통해서, 이 물질 관점과 모론시아 관점을 정확히 초점에 맞춰 볼 수 있게 되며, 이 스라빔은 맨션 세계 학생과 모론시아 진보자들을 매우 끈기 있게 가르친다. 최고 계층의 스라빔 중에서 가르치는 상담자 가운데 다수는, 시간세계 필사자의 새로 해방된 혼에게 충고하는 자로서 생애를 시작했다.
[121]| 5. {i{i{{k{k{기술자}k}k}}i}i}. 이들은, 여러 모론시아 구체의 새롭고 비교적 낯선 환경에, 새 상승자가 적응하도록 돕는 스라빔이다. 과도기 세계에서 지내는 생애는, 물리 수준과 모론시아 수준, 이 두 수준의 에너지 및 물질과, 그리고 어느 정도는 영적 실체들과, 실제로 접촉할 필요가 있다. 상승자들은 모든 새로운 모론시아 수준에 적응해야 하며, 그들은 이 모든 과정에서 스랍 기술자들의 도움을 크게 받는다. 이 스라빔은 {k{k{모론시아}k}k} {k{k{동력}k}k} {k{k{감독관}k}k} 및 {k{k{총괄}k}k} {k{k{물리}k}k} {k{k{통제관}k}k}들 사이에 연락원으로서 활동하며, 과도기 구체들에서 활용되는 에너지의 성질에 관하여, 상승하는 순례자들의 교관으로서 광범하게 작용한다. 그들은 응급 공간 횡단자로서 근무하며, 다른 정상 임무와 특별 의무를 수행한다.
[122]| 6. {i{i{{k{k{기록원}k}k}}i}i}{i{i{_}i}i}{i{i{{k{k{교사}k}k}}i}i}. 이 스라빔은, 영계{靈界}와 물리계{物理界}의 경계지역 처리사항들, 즉 사람과 천사의 관계, 낮은 우주 영역의 모론시아 처리사항들을 기록하는 자다. 또한 그들은 사실을 기록하는 능률적이고 효과적인 기법을 가르치는 교관으로서 근무한다. 관련 자료를 영리하게 조립하고 조정하는 데는 예술적 기교가 있고, 이 예술은 천상의 기능공들과 협동함으로써 강화되며, 심지어 상승하는 필사자도 이처럼 기록하는 스라빔과 관계를 맺게 된다.
[123]| 모든 스랍 계층의 기록원들은, 모론시아 진보자를 교육시키고 훈련시키는 데 어느 정도 시간을 할애한다. 시간세계의 사실을 맡은 이 관리인 천사들은, 모든 사실 추구자에게 이상적인 교관이다. {k{k{예루셈}k}k}을 떠나기 전에, 너희는 {k{k{사타니아}k}k} 및 그에 속한 619개의 인간거주 세계의 역사에 매우 익숙하게 될 것이며, 이야기 대부분을 스랍 기록원들이 알려줄 것이다.
