[1]| 제158편{{{br}}} 변형되신 산
[43]| 이것은 육체적 병과 영 질병의 이중적 고난에 대한 진정한 치유였다. 그리고 아이는 그 시간부터 영구히 낫게 됐다. {k{k{야고보}k}k}가 회복된 아들과 함께 길을 떠나자, {k{k{예수}k}k}께서 말씀했다:“이제 우리도 {k{k{가이사랴}k}k}_{k{k{빌립보}k}k}로 가자;즉시 준비하라.” 그들은 남쪽을 향해서 여행하는 동안 침묵했고 인파가 뒤를 따랐다.
[44]| {b{b{6. }b}b}{b{b{{k{k{셀서스의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{집}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{뜰에서}k}k}}b}b}
[45]| 그들은 {k{k{셀서스}k}k}와 함께 밤을 보냈고, 저녁에는 뜰에 머물렀으며, 식사와 휴식이 끝나자 열두 사도가 {k{k{예수}k}k} 주변에 모였고, {k{k{도마}k}k}가 말했다. “{k{k{주님}k}k}, 산에서 무슨 일이 일어났는지, 그리고 {k{k{주님}k}k}과 함께 했던 형제들이 무엇 때문에 그토록 기운이 넘쳤는지, 뒤에 남았던 우리만 모르는데, 우리의 실패와 관련하여 말씀해 주시고 문제점을 가르쳐 주시기를 간곡히 바라며, 지금 밝힐 수 없더라도 산에서 어떤 일이 있었는지 무엇이든 좀 설명해주셨으면 합니다.”
[46]| 그러자 {k{k{예수}k}k}께서 {k{k{도마}k}k}에게 대답하여 말씀했다:“네 형제들이 산에서 들은 모든 것은 때가 되면 너희에게도 밝히 알려질 것이다. 그러나 지금은 너희가 너무 어리석게 시도하다 실패한 것에 대해 이유를 설명하겠다. 너희 {k{k{주님}k}k}과 그 동행자들, 즉 너희 형제가, {k{k{아버지}k}k} 뜻을 더 많이 알기 위해, 그리고 거룩한 뜻을 효과적으로 실행할 지혜의 재능을 더 구하기 위해 어제 저쪽 산에 올라간 동안, 남아서 이곳을 지키면서 영적 통찰력 있는 정신을 획득하도록 노력하고, {k{k{아버지}k}k} 뜻이 좀 더 완전하게 계시되도록 우리와 함께 기도하라고 지시 받았던 너희가, 명령함으로써 신앙을 시험하려다가 실패했지만, 그보다도 유혹에 굴복하여, 하늘 나라에서--곧 너희가 명상 속에서 고집하는 물질적이고 현세적인 나라에서-- 자신을 위해 더 좋은 자리를 차지해 보려는 악한 구습{舊習}에 다시 빠졌다. 그리고 내 나라가 이 세상에 있지 않다고 반복해서 선포함에도, 너희는 잘못된 이 개념에 집착하고 있다.”
[47]| “너희의 신앙이 {k{k{사람의}k}k} {k{k{아들}k}k}의 정체성을 파악하자마자, 세속에서 승진하기 위한 이기적인 욕구가 슬며시 너희에게 임했고, 누가 하늘 나라에서 가장 클 것인지에 대해 너희끼리 의논하게 됐지만, 천국에 대해 너희가 아무리 상상을 계속할지라도, 그런 나라는 존재하지 않으며, 앞으로도 존재하지 않을 것이다. 내 {k{k{아버지}k}k}의 영적 형제관계가 이뤄진 나라에서는, 가장 크고자 하는 자는 자신의 눈으로 볼 때 아주 작게 돼야 하고, 그리하여 형제에게 봉사하는 자가 돼야 한다고 너희에게 말하지 않았느냐? 영적인 위대함은, {k{k{하나님}k}k}다운 이해심 있는 사랑에 있고, 자신을 높이는 물질적 능력 행하기를 즐기는 것에 있지 않다. 너희는 시도한 것에 아주 철저히 실패했고, 너희의 의도는 순수하지 못했다. 너희의 동기는 신성하지 않았다. 너희의 이상은 영적이지 않았다. 너희의 열정은 이타적이지 않았다. 그 과정은 사랑에 기초하지 않았으며, 너희가 달성하려는 목표도, 하늘에 계신 {k{k{아버지}k}k}의 뜻이 아니었다.
[48]| “그런 것들이 {k{k{아버지}k}k} 뜻과 일치할 때를 제외하고는, 확립된 자연 현상의 과정을 너희가 단축시킬 수 없다는 것을 너희가 배우기까지, 얼마나 오래 걸려야하겠느냐? 뿐만 아니라 너희는 영적인 능력 없이는 영적인 일을 이룰 수 없다. 그리고 가능성이 보일지라도, 근본적인 셋째 인간 요소, 즉 살아있는 신앙을 소유하는 개인 체험이 있지 않으면, 너희가 이런 것들 가운데 하나도 행할 수 없다. 너희가 천국의 영적 실체들에 대해 관심 가지려면, 반드시 물질적 징후가 있어야 하느냐? 유별난 작용이 눈에 보이지 않으면, 너희는 내 사명의 영 취지를 파악할 수 없단 말이냐? 언제가 돼야, 모든 물질적 징후가 밖으로 나타나는 것과 상관없이, 천국의 더 높고 영적인 실체에 너희가 충실할 것이라고 신뢰받을 수 있겠느냐?”
[49]| {k{k{예수}k}k}께서 열두 사도에게 말씀을 마치면서 덧붙였다:“자 이제는 가서 쉬어라, 날이 새면 {k{k{마가단}k}k}으로 돌아가서, {k{k{데가볼리}k}k} 지방의 마을과 도시들에 대한 우리의 사명에 관해 거기서 상의할 것이다. 그리고 오늘 했던 체험에 대한 결론으로, 내가 산에서 너희 형제에게 말했던 것을 너희 각자에게도 증거 하겠는데, 이 말을 너희 마음 깊은 곳에 잘 간직해라:{k{k{사람의}k}k} {k{k{아들}k}k}은 이제 증여의 마지막 국면에 들어간다. 나를 죽이려는 사람들의 손에 내가 넘겨질 때, 너희의 신앙과 헌신에 대한 엄중하고 최종적인 시험으로 곧 접어들게 될 그 일을, 우리가 시작하려 하고 있다. 그리고 내가 너희에게 이른 말을 꼭 기억하라:{k{k{사람의}k}k} {k{k{아들}k}k}이 죽음에 넘겨지겠으나, 다시 살아날 것이다.”
[50]| 그들은 슬픔에 가득 차서 물러나 잠자리에 들었다. 당황했으며;이 말을 납득할 수 없었다. {k{k{주님}k}k}이 말씀한 것들에 대해 어떤 것이든지 묻기를 두려워했으며, 그의 부활에 뒤따라 일어날 일들만 되새겨 봤다.
[51]| {b{b{7. }b}b}{b{b{{k{k{베드로가}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{항의함}k}k}}b}b}
[52]| 이 수요일 아침 일찍 {k{k{가이사랴}k}k}_{k{k{빌립보}k}k}를 떠난 {k{k{예수}k}k}와 열두 사도는, {k{k{벳새다}k}k}_{k{k{율리아}k}k}에서 가까운 {k{k{마가단}k}k} {k{k{공원}k}k}으로 향했다. 사도들은 전날 밤 거의 잠을 이루지 못했으며;그래서 그들은 일찍 일어났고 떠날 준비가 돼있었다. 둔감한 {k{k{알패오}k}k} 쌍둥이들까지, {k{k{예수}k}k}의 죽음에 관한 말씀 때문에 충격 받았었다. 그들은 남쪽으로 내려갔고, {k{k{메롬}k}k} {k{k{물가}k}k}를 조금 못 미쳐서 {k{k{다마스커스}k}k} 길에 다다르자, {k{k{예수}k}k}께서는 서기관들 및 다른 사람들이 지금도 그들 뒤를 좇아오고 있음을 알고, {k{k{갈릴리}k}k}를 통과하는 {k{k{다마스커스}k}k} 길을 이용해서 {k{k{가버나움}k}k}으로 가도록 지시했다. 그리고 {k{k{예수}k}k}와 사도들이 이렇게 한 것은, {k{k{헤롯}k}k} {k{k{안티파스}k}k}를 두려워하여 그의 영지를 통과하지 않을 것이라고 생각하면서 그를 좇아오는 사람들이, {k{k{요단강}k}k} 동쪽 길로 내려갈 것을 알았기 때문이다. {k{k{예수}k}k}께서는 좇아오고 있는 비난자들과 인파를 피해서 오직 사도들과 이날을 보내려 했다.
[53]| 그들은 {k{k{갈릴리}k}k}를 통해 여행했고, 휴식을 취하기 위해 그늘 아래 멈췄을 때는 이미 점심시간이 상당히 지난 때였다. 식사를 마치자, {k{k{안드레}k}k}가 {k{k{예수}k}k}께 질문했다. “{k{k{주님}k}k}, 형제들이 당신의 의미심장한 말씀을 납득하지 못합니다. 당신이 {k{k{하나님의}k}k} {k{k{아들}k}k}이심을 우리가 충분히 믿게 됐는데, 이제는 우리를 떠나 죽으실 것이라는 이상한 말씀을 듣고 있습니다. 우리는 당신의 가르침을 이해하지 못합니다. 우리에게 비유로 말씀하고 있는 것은 아닌지요? 제발 우리에게 숨김없이 그대로 말씀해 주시기 바랍니다.”
[54]| {k{k{예수}k}k}께서 {k{k{안드레}k}k}에게 대답했다:“형제여, {k{k{사람의}k}k} {k{k{아들}k}k}이 이 땅에서 증여를 어떻게 끝내야 하는지에 대해 너희에게 부득이 사실대로 드러내기 시작한 것은, 너희가 나를 {k{k{하나님의}k}k} {k{k{아들}k}k}이라고 고백했기 때문이다. 너희는 나를 {k{k{메시야}k}k}로 믿으려고 계속 고집하면서, {k{k{메시야}k}k}는 반드시 {k{k{예루살렘}k}k}에서 권좌에 앉아야 한다는 생각을 버리지 않을 것이며;그러므로, {k{k{사람의}k}k} {k{k{아들}k}k}은 얼마 안 있어 반드시 {k{k{예루살렘}k}k}에 가서 많은 고난을 받고, 서기관, 장로, 및 제사장들에게 버림받을 것이고, 이 모든 것이 있은 후에 죽임 당하고, 죽었다가 살아나리라고 너희에게 계속 말하고 있다. 나는 너희에게 비유로 말하는 것이 아니며;우리에게 이 사건들이 갑자기 닥칠 때, 너희가 잘 대처할까 하여 사실을 말하고 있다.” {k{k{예수}k}k}께서 아직 말씀하고 있을 때, {k{k{시몬}k}k} {k{k{베드로}k}k}가 충동적으로 {k{k{예수}k}k} 앞으로 뛰쳐나와서, 그의 어깨에 손을 얹고 말했다;“{k{k{주님}k}k}, 우리는 당신과 논쟁하고 싶지 않습니다만, 이런 일이 {k{k{주님}k}k}께 절대로 일어나지 않을 것이라고 내가 장담합니다.” 
[55]| {k{k{베드로}k}k}가 이렇게 말한 것은 {k{k{예수}k}k}를 사랑했기 때문이지만;{k{k{주님}k}k}의 인간 본성은 선의의 감동을 주는 이 말에서, {k{k{낙원}k}k}에 계시는 {k{k{아버지}k}k} 뜻에 따라 이 세상에 증여된 삶을 마치기로 결정한 것을 바꾸려는, 미묘한 유혹의 암시를 알아차렸다. 그리고 심지어 다정하고 충성스런 친구들조차, 그를 단념시키려는 그 제안을 용납하는 위험에 처했음을 간파했기 때문에, {k{k{베드로}k}k}와 다른 사도들에게 돌아서서 말씀했다:“내 뒤로 물러가라. 너는 마치, 유혹하는 자, 즉 원수처럼 느껴진다. 네가 이런 식으로 이야기 할 때, 너는 내 편이 아니라 원수 편에 있다. 이런 방법으로 나를 사랑하려 한다면, 내가 {k{k{아버지}k}k} 뜻을 행하는데 방해 된다. 사람의 방법이 아니라 오직 {k{k{하나님}k}k} 뜻을 따르라.”
[56]| 그들이 {k{k{예수}k}k}의 따끔한 꾸지람으로 처음에 충격을 받고나서 정신을 차린 후 여행을 계속하기 전에, {k{k{주님}k}k}은 덧붙여 말씀했다:“누구든지 나를 따라오려거든, 자신을 부인하고, 매일 매일의 자기 책임에 충실하면서 나를 따라오라. 누구든지 이기적으로 자기 생명을 구원하고자 하면 그것을 잃겠지만, 누구든지 나와 복음을 위해 자기 생명을 잃으면 그것을 구원하게 될 것이기 때문이다. 사람이 온 세상을 얻은 후에 자기 혼을 잃으면 무슨 소용이 있겠느냐? 사람이 영원한 생명과 바꿀 수 있는 것이 무엇이냐? 이 죄 많고 위선적인 세대에, 나와 내 말을 부끄러워하지 말라, 나도 모든 천상의 무리가 참석한 가운데서 내 {k{k{아버지}k}k} 앞에 영광스럽게 나타날 때, 너희를 시인하기에 부끄러워하지 않을 것이다. 그럼에도 내 앞에 서 있는 너희 중에 여럿은, 이 {k{k{하나님}k}k} 나라가 권능으로 오는 것을 볼 때까지 죽음을 맛보지 않을 것이다.”
[57]| 그리고 {k{k{예수}k}k}께서는 자기를 따르려면 반드시 걸어야만 할, 고통스럽고 상충되는 그 길에 대해, 열두 사도에게 그렇게 꾸밈없이 설명했다. 자신들에게 굉장한 지위를 보장하는 이 땅에서의 나라를 계속 꿈꾸던 이 {k{k{갈릴리}k}k} 어부들에게, 이 말씀은 얼마나 큰 충격이었는지! 그러나 그들의 충성심은 용기를 주는 이 호소로 감동됐고, 그를 버리려고 생각한 사람은 아무도 없었다. {k{k{예수}k}k}께서는, 그들이 홀로 갈등에 빠지도록 버려두지 않았으며;그들을 인도했다. 그들이 오직 용감하게 따라오기만을 요구했다.
[58]| {k{k{예수}k}k}께서 자신이 죽을 수도 있다는 사실에 대해 말씀하고 있음을, 열두 사도는 서서히 파악하게 됐다. 그들은 {k{k{예수}k}k}의 죽음에 대해서는 어렴풋이 납득할 뿐이었으며, 반면에 부활에 관한 말씀은 그들의 정신 속에 전혀 새겨지지 못했다. 시간이 지나면서, {k{k{베드로}k}k}, {k{k{야고보}k}k}, 및 {k{k{요한}k}k}은, 변형되신 산에서 겪은 체험을 상기하면서, 이 문제들 가운데 일부에 대해 좀 더 충분히 이해하게 됐다.
[59]| 열두 사도가 {k{k{주님}k}k}과 교제하는 동안 내내, 이번에 {k{k{베드로}k}k}와 그들 모두에게 한 것처럼, 눈을 번쩍이면서 빠른 어투로 꾸지람의 말씀을 하는 것을 들은 적은 몇 번뿐이었다. {k{k{예수}k}k}께서는 그들의 인간적 결점에는 항상 인내했지만, 이 세상의 남은 생애에서 {k{k{아버지}k}k} 뜻을 절대로 실행하는 동안, 그 계획표에 반대되는 절박한 위협에 직면했을 때에는 그렇지 않았다. 사도들은 정말로 대경실색했으며;매우 놀라고 무서워했다. 그들은 자신의 슬픈 마음을 표현할 말을 찾지 못했다. {k{k{주님}k}k}께서 무엇을 견뎌야만 함을, 그리고 이 체험에 {k{k{주님}k}k}과 함께 자신들도 동참해야함을 서서히 깨닫기 시작했지만, 나중에 일어날 절박한 비극에 대해 미리 암시했던 이때부터 훨씬 시간이 흐른 뒤까지도, 그들은 다가올 이 사건의 실상을 자각하지 못했다. 
[60]| {k{k{예수}k}k}와 열두 사도는, {k{k{마가단}k}k} {k{k{공원}k}k}에 있는 야영지를 향해, 침묵 속에서 {k{k{가버나움}k}k} 길을 따라 출발했다. 오후가 됐을 때에도, 그들은 {k{k{예수}k}k}와 한 마디도 대화하지 않았지만, {k{k{안드레}k}k}가 {k{k{주님}k}k}과 이야기하는 동안, 자기들끼리 많은 대화를 나눴다.
[61]| {b{b{8. }b}b}{b{b{{k{k{베드로의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{집에서}k}k}}b}b}
[62]| 황혼 무렵에 {k{k{가버나움}k}k}으로 들어가면서, 저녁 식사를 위해 그들은 인적이 드문 길을 따라서 곧바로 {k{k{시몬}k}k} {k{k{베드로}k}k}의 집으로 향했다. 그들이 호수 반대편으로 건너갈 수 있도록 {k{k{다윗}k}k} {k{k{세베대}k}k}가 준비하는 동안, 그들이 {k{k{시몬}k}k}의 집에서 서성이고 있을 때, {k{k{예수}k}k}께서는 {k{k{베드로}k}k} 및 다른 사도들을 보시며 물었다:“오늘 오후에 너희가 함께 걸어오면서, 너희끼리 무슨 이야기를 그토록 진지하게 나눴느냐?” 사도들은 그들 가운데 여럿이, 앞으로 이뤄질 천국에서 자신이 무슨 지위를 가질 것인가;누가 가장 큰 자가 될 것인가 따위에 관해, {k{k{헤르몬}k}k} {k{k{산}k}k}에서 시작했던 똑같은 토론을 계속했기 때문에, 입을 다물 수밖에 없었다. {k{k{예수}k}k}께서는 그날 사도들의 생각이 무엇으로 가득한지 알고, {k{k{베드로}k}k}의 어린아이들 가운데 하나를 손짓으로 불러서 그들 가운데에 앉히고 말씀했다:“진실로, 진실로, 너희에게 말하는데, 너희가 방향을 바꿔서, 더욱 이 어린아이처럼 되지 않으면, 하늘 나라에서 거의 진보하지 못할 것이다. 누구든지 자신을 낮춰서 이 어린아이처럼 되는 그 자가, 하늘 나라에서 가장 큰 자가 될 것이다. 그리고 누구든지 그런 어린 자를 환영하는 자는 나를 환영하는 자다. 그리고 나를 환영하는 자는 또한 나를 보내신 {k{k{그분}k}k}을 환영하는 것이다. 너희가 천국에서 첫째가 되고자 한다면, 육체 가운데 있을 때, 너희 형제에게 이 선한 진리를 베풀기 위해 애쓰라. 그러나 누구든지 이 작은 자들 가운데 하나가 죄를 짓도록 만들면, 맷돌을 목에 매고 바다에 던져지는 것이 차라리 나을 것이다. 네 손이 좋아하는 것이나, 네 눈이 보고 싶어 하는 것이 하늘 나라의 진보에 방해된다면, 소중히 여기는 이 우상들을 포기해라, 이 우상들에 매달리다가 결국 천국 문 밖으로 내쫓긴 너희 자신을 발견하는 것보다, 삶에서 아끼는 많은 것을 잃더라도 천국에 들어가는 것이 더 좋기 때문이다. 그러나 무엇보다도, 이 어린 자들 가운데 하나라도 멸시하지 않도록 주의하라, 저희의 천사들이 하늘의 무리를 항상 대면하기 때문이다.
[63]| {k{k{예수}k}k}께서 말씀을 마치자, 그들은 배를 타고 {k{k{마가단}k}k} 쪽으로 건너갔다.
