[1]| 제110편{{{br}}} 조율사와 개별 필사자의 관계
[50]| {k{k{조율사}k}k}는 항상 네 곁에 있고 너에게 속하지만, 다른 존재로서 너에게 직접 이야기 할 수는 거의 없다. 너의 지적 결정, 도덕적 선택, 및 영적 성장은, {k{k{조율사}k}k}가 네 정신 속에서 작용하도록 매 궤도마다 역량을 덧붙여주며;그렇게 함으로 너는, {k{k{조율사}k}k}와 연합하고 정신을 조율하는 낮은 단계로부터 한 궤도씩 올라가고, 그래서 {k{k{조율사}k}k}는, {k{k{하나님}k}k}을 찾는 이 정신_혼의 진화하는 의식 위에, 생생함과 확신감을 증대시키면서, 운명을 그림처럼 나타낸 것들을 점점 더 등록할 수 있게 된다.
[51]| 네가 하는 결정 하나하나가, {k{k{조율사}k}k}의 기능을 방해하든지 촉진시키든지 하며;마찬가지로 바로 이 결정들은, 인간 성취의 여러 궤도에서 네가 승진하는 것을 좌우한다. 최고의 결정, 그 결정과 위기의 관계는, 각 궤도를_획득하는 데 미치는 영향력과 크게 상관있는 것이 사실이지만;그럼에도, 결정의 빈도, 빈번한 반복, 끊임없는 반복 또한 그런 반응을 확실히 습관으로_형성하는 데 필수다.
[52]| 인간이 진보하는 일곱 수준을 엄밀하게 규정하기는 어려운데, 이는 이 수준들이 개인적이기 때문이며;이 수준들은 개인마다 다르고, 외견상 인간 각자의 성장 수용력에 따라서 결정되는 듯하다. 시공우주 진화에서 이런 수준을 정복하는 것은, 다음과 같은 세 가지 방면으로 반영된다:
[53]| 1. {i{i{{k{k{조율사}k}k}}i}i}{i{i{에게}i}i} {i{i{동조하기}i}i}. 영화{靈化}된 정신은 궤도 달성에 비례해서 {k{k{조율사}k}k}의 현존에 가까워진다.
[54]| 2. {i{i{혼의}i}i} {i{i{진화}i}i}. 모론시아 혼의 출현은 궤도 정복의 범위와 깊이를 나타낸다.
[55]| 3. {i{i{인격의}i}i} {i{i{실체}i}i}. 자아성 실체의 등급은 궤도의 정복에 따라서 직접 결정된다. 인격자는 일곱째 수준으로부터 첫째 수준의 필사자 실존으로 올라가면서 더욱 실제화 된다.
[56]| 궤도들을 거치면서, 물질적 진화를 겪는 자녀는 불멸의 잠재력이 있는 성숙한 인간으로 자란다. 일곱째 궤도에 있는 자들의 발달되지 못한 본성의 희미한 실체는, 지방우주 시민의 떠오르는 모론시아 본성이 더 분명히 나타날 때 물러난다.
[57]| 인간 성장의 일곱 수준, 즉 심령 궤도들을 엄밀하게 정의하기는 불가능하지만, 성숙을 실현하는 이 단계들의 최소 한계와 최대 한계를 암시하는 것은 허용된다:
[58]| {i{i{일곱째}i}i} {i{i{궤도}i}i}. 인간이 몸소 선택하고, 개인별로 결정하고, 도덕적으로 책임지는 능력, 그리고 영적 개체성을 달성할 수 있는 수용력을 계발할 때 이 수준으로 들어간다. 이것은 지혜의 기질의 지휘 아래서 일곱 보조 정신_영이 연합하여 활동함, {k{k{거룩한}k}k} {k{k{영}k}k}의 영향력 안에 필사 피조물이 회로화 됨, 그리고 {k{k{유란시아}k}k}의 경우에는 필사 정신 속에 {k{k{사고}k}k} {k{k{조율사}k}k}를 받아들임과 함께, {k{k{진리의}k}k} {k{k{영}k}k}이 처음으로 작용하는 것을 의미한다. 일곱째 궤도에 들어가는 것은, 필사 피조물이 지방우주의 진정한 잠재적 시민이 되게 한다.
[59]| {i{i{셋째}i}i} {i{i{궤도}i}i}. {k{k{조율사}k}k}의 업무는, 상승하는 인간이 셋째 궤도를 획득하고 운명의 개인 스랍 수호자를 받은 후에 훨씬 효과적이다. {k{k{조율사}k}k}와 스랍 수호자 사이에, 외견상으로는 아무런 협조 노력이 없지만, 그럼에도 개인 스랍 안내원이 배정된 뒤에 시공우주에서 성취하고 영적으로 발전하는 모든 국면에서, 틀림없는 진전이 있음을 목격할 것이다. 셋째 궤도가 달성될 때, {k{k{조율사}k}k}는 필사자 생애 중에서 남은 기간에 사람의 정신을 모론시아화 하고, 나머지 궤도들을 마치게 하려고, 그리고 자연사가 독특한 동반자_관계를 끝내기 전에, 신과_인간의 관계에서 마지막 단계를 성취하려고 전력을 다한다.
[60]| {i{i{첫째}i}i} {i{i{궤도}i}i}. 필사자가 점진적으로 성취하는 첫째이자 마지막 궤도에 네가 도달할 때까지, {k{k{조율사}k}k}는 평상시에 너와 직접 즉시 이야기할 수 없다. 이 수준은 진화하는 모론시아 혼이 물질적 육신의 껍데기로부터 해방되기 전에, 인간의 체험에서 정신과_{k{k{조율사}k}k}의 관계가 가능한 한 최고로 실현됐음을 나타낸다. 정신, 감정, 및 시공우주 통찰력에 관해서, 이런 첫째 심령 궤도의 달성은, 인간의 체험에서 물질 정신과 영 {k{k{조율사}k}k}가 가능한 한 가장 가까이 접근한 것이다.
[61]| 아마, 필사자 진보의 이 심령 궤도들을 {i{i{시공우주}i}i} {i{i{수준}i}i}이라고 부르는 것이 더 나을 것이다--이것은 진화하는 혼과 떠오르는 {k{k{지존하신}k}k} {k{k{분}k}k}의 초기 관계에 대한 모론시아 의식을 얻기까지 점진적으로 접근하는, 실제 의미를 파악하고 가치를 깨닫는 수준들이다. 그리고 바로 이 관계 때문에, 시공우주 궤도들의 중요성을 물질적 정신에게 완전히 설명하기가 영원히 불가능하다. 이런 궤도의 달성은, 겨우 상대적으로 {k{k{하나님}k}k}을_의식하는 데 관련될 뿐이다. 일곱째 또는 여섯째 궤도에 있는 자는, 둘째나 첫째 궤도에 있는 자처럼 정말로 {k{k{하나님}k}k}을_아는 경지에--곧 자녀신분을 의식함에-- 거의 이를 수 있지만, 그런 낮은 궤도의 존재는, {k{k{지존하신}k}k} {k{k{분}k}k}과 갖는 체험적 관계, 즉 우주 시민권을 훨씬 적게 의식한다. 이런 시공우주 궤도들의 달성은, 그들이 자연사하기 전에 그런 성취에 실패한다면, 맨션 세계들에서 상승하는 자가 얻을 체험의 일부가 될 것이다.
[62]| 신앙이 주는 자극은 사람이 {k{k{하나님}k}k}의 아들신분임을 온전히 깨닫는 것을 체험하게 하지만, {i{i{행동}i}i}, 즉 결정한 것을 완성시킴은, {k{k{지존하신}k}k} {k{k{분}k}k}의 {i{i{시공우주}i}i} {i{i{실체}i}i}와 점진적으로 유사하게 되고 있다는 의식을 진화로 얻는 데 필수다. 신앙은 영적 세계에서 잠재적인 것을 실제적인 것으로 변화시키지만, {k{k{지존자}k}k}의 유한한 영역에서는 오직 선택과_체험을 실현함으로써만, 그리고 그것을 통해서만, 잠재적인 것이 실제적인 것으로 된다. 그러나 {k{k{하나님}k}k}의 뜻을 행하려는 선택은 인격체가 행동할 때 영적 신앙을 물질적 결정에 결합시키며, 이럼으로써 {k{k{하나님}k}k}을_갈망하는 인간적이고 물질적인 지렛대가 더 효과적으로 작용하도록, 신성하고 영적인 지레 받침대를 제공한다. 물질 세력과 영적 세력이 그렇게 현명하게 협조하는 것은, 시공우주에서 {k{k{지존자}k}k}의 실현, 그리고 {k{k{낙원}k}k} {k{k{신격}k}k}들에 대한 모론시아 납득을 심히 증대시킨다.
[63]| 시공우주 궤도들의 정복은, 모론시아 혼의 양적 성장, 즉 최상의 목적을 납득하는 것과 관련된다. 그러나 이 불멸의 혼의 질적 상태는, 필사적 사람이 영원한 {k{k{하나님}k}k}의 자녀라는, {k{k{낙원}k}k}_잠재성의 사실_가치를 믿는 살아있는 신앙을 붙잡는 데 {i{i{전적으로}i}i} 달려 있다. 따라서 일곱째 궤도에 있는 자는, 둘째 또는 심지어 첫째 궤도에 있는 자와 마찬가지로, 시공우주 성장의 양적 실현을 더욱 달성하기 위해서 맨션 세계로 간다.
[64]| 시공우주_궤도의 달성과 실제적인 영적 종교 체험 사이에는 간접적인 관계만 있을 뿐이며;그런 달성은 상호적이고, 따라서 서로에게 유익하다. 순전히 영적인 발전은 이 땅에서의 물질적 성공과 아무 상관없을지 모르지만, 궤도의 달성은 인간이 성공하고 필사자가 성취할 가능성을 반드시 증대시킨다.
[65]| 일곱째 궤도로부터 셋째 궤도까지, 모론시아 수준의 체험에 더욱 진입하는 데 대비해서, 물질 생애 심리과정의 현실에 필사 정신이 의존하지 않도록 만드는 과제를 수행하면서, 일곱 보조 정신_영의 행동이 증가되고 통합된다. 셋째 궤도부터는 계속해서 보조체의 영향력이 점차 줄어든다. 
[66]| 일곱 궤도는, 가장 높은, 순전히 동물적인 수준으로부터, 인격자 체험으로써 자기를_의식하는 가장 낮은, 실제로 접촉되는 모론시아 수준에 이르기까지 확장되는 필사자 체험을 포함한다. 첫 시공우주 궤도의 정복은, 필사자가 모론시아_이전{以前} 상태로 성숙했음을 알리며, 인간의 인격 속에서 정신 작용에 미치는 유일한 영향으로서 보조 정신_영들의 공동 사역이 끝났음을 표시한다. 첫째 궤도를 지나면, 정신은 진화의 모론시아 단계의 지성과 더욱 비슷하게 되는데, 이것은 시공우주 정신, 그리고 지방우주의 {k{k{창조적}k}k} {k{k{영}k}k}이 부여한, 보조체를 초월하는 재능의 연합된 사역이다.
[67]| {k{k{조율사}k}k}의 개별 생애에서 중대한 날은:첫째로, 인간 상대자가 셋째 심령 궤도로 뚫고 들어오고, 따라서 (내주자가 이미 스스로_행동하지 않는다면) {k{k{관찰자}k}k}가 스스로_활동하며, 작용 범위가 늘어나는 것을 보장할 때이며;다음은, 인간 동반자가 첫째 심령 궤도에 도달하고, 그리하여 상호 대화가 적어도 어느 정도 가능해진 때이며;마지막은, 그들이 최종적으로 영원히 융합할 때다.
[68]| {b{b{7. }b}b}{b{b{{k{k{불멸성의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{달성}k}k}}b}b}
[69]| 일곱 시공우주 궤도를 성취하는 것은, {k{k{조율사}k}k}와 융합되는 것과 동일하지 않다. 자신의 궤도들을 달성한 많은 필사자가 {k{k{유란시아}k}k}에 살지만;융합은, 아직 더 크고 더 탁월한 다른 영적 성취, 즉 필사자의 의지를, {k{k{사고}k}k} {k{k{조율사}k}k} 안에 거하는 {k{k{하나님}k}k} 뜻에 최종적으로 완벽하게 동조시키는 것을 완성하는 데 달려 있다.
[70]| 한 인간이 시공우주 성취 궤도들을 완료하면, 그리고 더 나아가서, 필사자 의지의 최종 선택이, 진화하는 육체 생애 동안에, {k{k{조율사}k}k}로 하여금 인간의 정체성과 모론시아 혼의 연합을 완결하도록 허락하면, 혼과 {k{k{조율사}k}k}의 그런 완성된 동맹은 맨션 세계들까지 독립적으로 계속되며, {k{k{조율사}k}k}와 모론시아 혼이 즉시 융합되도록 준비하라는 명령이 {k{k{우버사}k}k}로부터 하달된다. 이 융합이 육신의 생애 동안에 일어나면, 순식간에 물질 육체를 다 태워버리며;그런 광경을 목격할 수도 있는 인간은 오직, 옮겨가는 그 필사자가 “불병거 속으로” 사라지는 것을 바라보게 될 것이다.
[71]| {k{k{유란시아}k}k}에서 자신의 상대자를 옮겨간 대부분의 {k{k{조율사}k}k}는 고도로 체험한 존재였으며, 전에 다른 구체들에서 수많은 필사자에게 내주했던 것으로 기록된 존재였다. 빌려주는 계층에 속하는 행성에서, {k{k{조율사}k}k}는 값진 내주 체험을 획득한다는 것을 기억하라;오직 생존에 실패하는 필사 상대자 안에서만 {k{k{조율사}k}k}가 고등 업무를 위하여 체험을 획득하는 것은 아니다. 
[72]| 필사자와 융합하고 나서, {k{k{조율사}k}k}는 너의 운명과 체험을 공유하며;{i{i{{k{k{조율사}k}k}}i}i}{i{i{가}i}i} {i{i{바로}i}i} {i{i{너다}i}i}. 불멸의 모론시아 혼, 그리고 관련된 {k{k{조율사}k}k}가 융합한 후에, 한쪽의 모든 가치와 모든 체험은 결국 다른 쪽의 소유가 되며, 결국 그 둘은 실제로 하나의 실재가 된다. 어떤 의미에서, 이 새로운 존재는 영원한 미래를 위할 뿐만 아니라 영원한 과거에 속한다. 생존하는 혼 속에서 한때 인간적이었던 모든 것, 그리고 {k{k{조율사}k}k} 속에서 체험적으로 신성한 모든 것이, 이제는 영원히_상승하는 새로운 우주 인격체의 실제 재산이 된다. 그러나 각 우주 수준에서, {k{k{조율사}k}k}는 오직 그 수준의 의미 있고 가치 있는 그 속성만을 그 새 피조물에게 수여할 수 있다. 신성한 {k{k{관찰자}k}k}와 절대적인 {i{i{하나}i}i} {i{i{됨}i}i}, 즉 {k{k{조율사}k}k}에게 주어진 재능의 완전한 소모는, 이 신성한 선물의 영원한 근원이신 {k{k{만유의}k}k} {k{k{아버지}k}k}, 즉 영들의 {k{k{아버지}k}k}께 최종적으로 도달하고 나서 영원 속에서만 성취될 수 있다.
[73]| 진화하는 혼과 신성한 {k{k{조율사}k}k}가 최종적으로 영원히 융합할 때, 각 존재는 상대방의 체험 가능한 특성을 전부 얻게 된다. 이 동격 인격체는, 한때 조상 필사 정신이 지녔고, 그 다음에는 모론시아 혼에 내재하다가 살아남은 모든 체험적 기억을 소유하며, 이에 덧붙여서, 이 잠재적 완결성취자는, 필사자에게 내주했던 전체 기간 내내 {k{k{조율사}k}k}가 체험으로 얻은 모든 기억을 품는다. 그러나 신성한 {k{k{관찰자}k}k}가 과거 영원으로부터 앞으로 가져온 의미와 가치를, {k{k{조율사}k}k}가 인격 동반관계에 완벽히 부여하는 데는, 미래의 영원이 필요할 것이다.
[74]| 그러나 대다수 {k{k{유란시아인}k}k}의 경우에, {k{k{조율사}k}k}는 죽음으로 구원이 임하기를 인내함으로 기다려야 하며;너희의 물질 실존 계층에 내재하는 에너지 원형{原型}과 화학적 힘이 거의 완전히 지배하는 상태로부터, 떠오르는 혼이 해방되기까지 기다려야 한다. {k{k{조율사}k}k}와 접촉하는 데 너희가 겪는 주요 어려움은, 본래부터 가진 바로 이 물질적 본성 때문이다. 극소수의 필사자만이 진정한 사색가이며;너희는 신성한 {k{k{조율사}k}k}와 호의적으로 접촉하는 정도까지, 너희의 정신을 영적으로 개발하고 훈련하지 않는다. 자비의 {k{k{아버지}k}k}로부터 발생되는, 사랑의 우주 방송이 전하는 다채로운 메시지로부터 {k{k{조율사}k}k}가 번역해 주는 영적 탄원이, 인간 정신의 귀에는 거의 들리지 않는다. {k{k{조율사}k}k}는, 너희의 물질 본성에 타고난 화학 및 전기{電氣} 세력에 아주 완전히 지배되는 동물 정신 속에, 영감을 주는 이 영의 인도를 의식하게 만들기가 거의 불가능함을 발견한다. 
[75]| {k{k{조율사}k}k}들은 필사 정신과 접촉하기를 기뻐하지만;그들은, 동물적 저항을 돌파하여 너희와 직접 대화할 수 없어서 침묵하며 머무는 오랜 세월 내내, 인내해야 한다. 봉사의 척도에서 높이 올라갈수록, {k{k{사고}k}k} {k{k{조율사}k}k}는 더 유능하게 된다. 그러나 맨션 세계들에서 정신 대 정신으로 네가 {k{k{조율사}k}k}를 알아볼 때, 충만하고, 동정적이며, 깊은 애정으로 너를 영접하게 되는 것처럼 똑같이, 네가 육체 안에 있는 동안에도 {k{k{조율사}k}k}가 그렇게 너를 영접할 수는 없다.
[76]| 필사 인생 동안에는, 물질 육체와 정신이 너를 {k{k{조율사}k}k}로부터 격리시키고 자유로운 교통을 방해하며, 죽은 뒤에 영원한 융합이 이뤄진 후에는, 너와 {k{k{조율사}k}k}가 하나이며--곧 너희는 별개의 존재로 구분될 수 없으며--, 따라서 네가 이해하는 그런 식으로 교통할 필요가 없다. 
[77]| {k{k{조율사}k}k}의 음성은 항상 너희 안에 있지만, 너희 대부분은 일생 동안에 그 음성을 듣는 일이 드물 것이다. 달성하는 궤도 중에서 셋째와 둘째 보다 아래에 있는 인간은, 최상의 소망을 가진 순간, 최상의 상황에서, 최상의 결정을 내린 결과로 생기는 경우 외에는, {k{k{조율사}k}k}가 직접 말하는 음성을 거의 들을 수 없다.
[78]| 운명 예비군의 필사 정신과 행성 감독관들 사이의 접촉이 이뤄졌다 끊어졌다 하는 동안에, 내주하는 {k{k{조율사}k}k}는 가끔 어떤 메세지를 필사 상대자에게 전하는 것이 가능하게 되는 그런 상황에 있게 된다. 최근에 {k{k{유란시아}k}k}에서, 스스로_행동하는 {k{k{조율사}k}k}가 그 인간 동역자에게 그런 메시지를 전했는데, 그는 운명 예비 단체 회원이었다. 이 메시지는 이렇게 시작된다:“이제는, 열정적으로 헌신하는 내 상대자에게 손상이나 위험 없이, 그리고 과도한 비난이나 훼방을 시도함 없이, 나를 위해서, 그에게 이렇게 부탁하는 말을 기록하라.” 그러자 아름답고 감동적이며 매력적인 훈계가 뒤따랐다. 무엇보다도, 그 {k{k{조율사}k}k}는 이렇게 간청했다:“진지한 협동을 더욱 충실히 내게 베풀고, 내가 부여한 과제들을 더 기쁘게 참아내고, 내가 배치한 계획표를 더 신실하게 진행하고, 내가 선택한 시험들을 더 많은 인내심으로 통과하고, 내가 선택한 길을 더 변함없이 기쁘게 걷고, 내가 끊임없이 노력한 결과로 생길지도 모르는 영예를 더 겸손히 받아들이라고--내가 거주하는 그 사람에게 이렇게 내 훈계를 전하라. 나는 그에게 최상의 헌신과 신성한 영의 애정을 베풀었다. 그리고 나의 사랑하는 상대자에게, 끝나는 순간까지, 이 땅의 마지막 분투가 끝날 때까지 내가 지혜와 능력으로 작용할 것이라고;나는 내게 맡겨진 인격에게 충실할 것이라고 덧붙여 말한다. 그리고 나는 그에게, 나를 실망시키지 말고, 내 인내와 격렬한 분투에 대한 보상을 내가 잃어버리지 않도록 제발 생존하라고 타이른다. 우리가 인격을 성취하는 것은 인간의 의지에 달려 있다. 한 궤도 한 궤도, 나는 이 인간 정신의 높이까지 인내심을 갖고 올라왔으며, 내 부류의 우두머리에게 인정받고 있다는 증언을 들었다. 나는 판결 받기까지, 한 궤도 한 궤도 전진하고 있다. 나는 기쁨으로, 염려하지 않으면서, 운명의 출석점호를 기다리며;{k{k{태고}k}k} {k{k{항존자}k}k}들의 법정에 모든 것을 제출할 준비가 돼있다.”
[79]| [{k{k{오르본톤}k}k}의 {k{k{단독}k}k} {k{k{사자}k}k}가 제시했음]
