[1]| 제67편{{{br}}} 행성의 반역
[52]| {k{k{루시퍼}k}k}가 {k{k{유란시아}k}k}에서 {k{k{캘리개스챠}k}k}를 지지한 후에, {k{k{반}k}k}이 {k{k{에덴시아}k}k}의 {k{k{지고자}k}k}에게 항소했을 때, {k{k{반}k}k}이 주장하는 모든 점에 대해서 지지한다는 즉각적인 결정을, {k{k{성좌}k}k} {k{k{아버지}k}k}들이 보냈던 사실을 밝혀야만 할 것이다. 그러나 그것이 전달되던 도중에, 행성의 통신 회로{回路}가 단절됐기 때문에, 이 판결은 그에게 전달되지 못했다. 오직 최근에 이르러서야, {k{k{유란시아}k}k}의 격리 이후부터 줄곧 고립돼 있는 교대{交代} 에너지 전달자의 소유물 속에, 이 실제 판결이 들어 있음이 발견됐다. {k{k{유란시아}k}k} 중도자들의 조사 결과로 이뤄진 이런 발견이 없었다면, 이 결정의 발표는 {k{k{유란시아}k}k}가 성좌 회로에 복귀할 때까지 기다려야 했을지도 모른다. 그리고 행성 간 연락의 이런 명백한 사고{事故}는, 에너지 전달자들이 정보를 받고 보낼 수는 있지만, 연락을 직접 주도할 수는 없기 때문에 가능하다.
[53]| {k{k{사타니아}k}k}의 법률상 기록에서 {k{k{반}k}k}의 절차상 신분은, {k{k{에덴시아}k}k} {k{k{아버지}k}k}들이 내렸던 이 판결이 {k{k{예루셈}k}k}에 기록될 때까지는, 실제로 그리고 최종적으로 확립되지 못했다.
[54]| {b{b{7. }b}b}{b{b{{k{k{죄의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{간접}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{영향}k}k}}b}b}
[55]| 피조물이 빛을 고의로 끊임없이 거부함으로 인해 개인에게 일어나는 (구심적) 결과는, 당연할 뿐만 아니라 개별적이며, 오직 {k{k{신격}k}k}과, 그리고 인격자인 피조물과 관련될 뿐이다. 그런 식으로 혼을_파괴하는 죄악의 수확은, 의지를 지닌, 죄악을 범하는 피조물이 내적으로 거둬들인다.
[56]| 그러나 죄가 외부에 미치는 영향의 경우에는 그렇지 않은데:죄를 내포하는 비인격적 (원심적) 결과는, 당연할 뿐만 아니라 집단적이며, 그런 사건이 영향을 미치는 범위 내에서 활동하는 모든 피조물과 관련된다.
[57]| 행성 경영체제가 붕괴된 후 5만 년이 지나자, 이 세상 직무는 너무나 질서 문란하고 퇴락{頹落}해서, 35만 년 전에 {k{k{캘리개스챠}k}k}가 도착한 시대에 있었던, 일반 진화 상태보다 나을 것이 거의 없는 비슷한 처지에 놓였다. 어떤 면에서는 진보가 이뤄졌지만;다른 방면에서는 대부분의 기초가 유실{遺失}된 상태였다.
[58]| 죄는 그 영향에서 결단코 국지적일 수 없다. 우주의 경영 구역들은 유기적이며;한 인격체의 처지는 반드시 전체와 어느 정도까지 공유하게 돼있다. 죄는, 실체에 대한 인격자의 태도이므로, 우주 가치의 어느 관련된 수준에서든지, 그 안에 내재된 부정적 수확을 거두게 돼있다. 그러나 잘못된 사고, 악한 행동, 또는 죄로 가득한 계획으로 인한 전체 결과는, 오직 실제로 실행하는 수준에서만 체험될 수 있다. 우주 법칙을 어기는 것은, 정신에 심각한 영향을 미치지 않거나 영적 체험을 해치지 않으면서도, 물리적 영역에서 파멸을 가져올 수 있다. 오직 죄가 그 존재 전체의 태도일 때, 즉 정신이 선택하고 혼이 의도하는 것을 죄가 대표할 때에만, 죄가 인격 생존에 파멸적 영향을 초래한다.
[59]| 악과 죄는, 물질적이고 사회적인 영역에서 그 영향력을 나타내며, 때로는 우주 실체의 특정한 수준에서 영적 진보를 늦출 수도 있지만, 어떤 존재가 지은 죄든지, 인격을 생존시킬 수 있는 다른 존재의 신성한 권한이 실현되지 못하도록 결코 막을 수 없다. 영원한 생존은, 오직 각 개인 자신의 정신이 결정하고 혼이 선택함으로써만 위태롭게 될 수 있다.
[60]| {k{k{유란시아}k}k}에서 죄는 생물학상의 진화를 거의 지체시키지 못했지만, {k{k{아담}k}k}의 유산에서 생기는 풍부한 혜택을 인간 종족들로부터 빼앗는 작용을 했다. 죄는, 지적 발전, 도덕적 성장, 사회적 진보, 및 대규모의 영적 달성을 크게 저해한다. 그러나 누가 {k{k{하나님}k}k}을 알고 그의 신성한 뜻을 진심으로 행하기를 바라든지, 죄는 그가 이룰 수 있는 가장 높은 영적 성취를 방해하지 못한다.
[61]| {k{k{캘리개스챠}k}k}는 반역했고, {k{k{아담}k}k}과 {k{k{이브}k}k}는 태만했지만, 그 후에 {k{k{유란시아}k}k}에서 태어나는 어떤 필사자도, 이런 큰 실수들 때문에 자신의 개인적인 영적 체험에서 고통 받지는 않았다. {k{k{캘리개스챠}k}k}의 반역 이후에 {k{k{유란시아}k}k}에 태어난 필사자마다, 어떤 의미에서 시간상_불이익을 당하고 있지만, 그런 혼이 받을 장차의 행복은 영원토록 결코 위험에 빠지지 않는다. 어떤 인격자가 다른 인격자의 죄 때문에 심각한 영적 손실을 당하는 경우는 전혀 없다. 죄의 영향이, 경영적, 지적, 및 사회적 영역에 광범하게 미침에도, 죄가 가져오는 도덕적 죄책감 또는 영적 결과에 관해서는 전적으로 개인적이다.
[62]| 우리는 그런 큰 재앙들이 일어나도록 왜 용납하는지 그 지혜를 헤아릴 수 없지만, 이런 국지적인 침해가 우주에 큰 영향을 미치는 바와 같이, 그 침해가 주는 유익한 결실과정을 반드시 식별할 수 있다.
[63]| {b{b{8. }b}b}{b{b{{k{k{반역}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{때}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{나타난}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{인간}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{영웅}k}k}}b}b}
[64]| {k{k{사타니아}k}k}에 있는 다양한 세계에서, 용감한 많은 존재가 {k{k{루시퍼}k}k} 반역에 저항했지만;{k{k{살빙톤}k}k}의 기록은, 엄청나게 밀려오는 선동의 물결을 {k{k{아마돈}k}k}이 멋지게 물리쳤다는 점에서, 그리고 {k{k{반}k}k}에게 변함없이 헌신했다는 점에서--곧 보이지 아니하시는{k{k{ }k}k}{k{k{아버지}k}k}와 그의 {k{k{아들}k}k} {k{k{미가엘}k}k}의 주권에 대한 충성에서 그들이 변하지 않고 함께 지켜나갔다는 점에서, 전체 체계 가운데 두드러진 인물로 {k{k{아마돈}k}k}을 꼽았다.
[65]| 이런 중대한 진행사항이 일어날 때, 나는 {k{k{에덴시아}k}k}에 머물고 있었고, {k{k{살빙톤}k}k}의 방송물을 숙독하면서 체험했던 유쾌한 기분을 여전히 인식하고 있는데, {k{k{안돈}k}k} 종족에서 실험 중인 원래 혈통에서 태어난, 한때 반{半}야만인이었던 이 사람이, 날마다 놀라울 정도로 견실했고, 탁월하게 헌신적이며, 더없이 훌륭하게 충성했다는 내용이었다.
[66]| 7년이라는 긴 세월 동안, {k{k{사타니아}k}k}의 반역과 관련하여, {k{k{에덴시아}k}k}에서 {k{k{살빙톤}k}k}을 거쳐 심지어 {k{k{우버사}k}k}까지, 모든 하위 천상{天上} 생명체의 첫 질문은 항상, “{k{k{유란시아}k}k}의 {k{k{아마돈}k}k}이 어떻게 됐습니까? 그가 여전히 흔들림 없이 서있습니까?”라는 것이었다.
[67]| {k{k{루시퍼}k}k}의 반역이 지역 체계 및 그 타락한 세계들을 방해했다면, 이 {k{k{아들}k}k}과 잘못 인도된 동역자들의 실패가, {k{k{노라티아덱}k}k} 성좌의 진보를 일시적으로 훼방한 것이 사실이었다면, {k{k{아마돈}k}k}의 불충한 상관들이 가한 그토록 극심하고 불리한 압력에 직면해서, 더 높은 우주 관리 및 경영 개념을 지지해서 확고부동하게 버틴, 이 자연인{自然人} 한 사람과 그의 동지 143명의 굳게 결심한 무리가 보여줬던, 용기를 북돋우는 업적을 멀리까지 퍼져 나가게 한, 그 소식의 효과가 얼마나 컸을지 생각해 보라. 그리고 너희는 안심해도 좋은데, 이것은 {k{k{네바돈}k}k} 우주와 {k{k{오르본톤}k}k} 연방우주에서, {k{k{루시퍼}k}k} 반역으로 인한 모든 악과 불행의 총계가 능가할 수 없을 만큼, 이미 좋은 일을 했다.
[68]| 그리고 이 모든 것은, {k{k{낙원}k}k}에 있는 {k{k{필사자}k}k} {k{k{완결성취}k}k} {k{k{단체}k}k}를 활성화시키기 위한, 그리고 상승하면서 진보하는 평범한 육체를 가진 필사자로부터--즉 조금도 동요되지 않는 {k{k{아마돈}k}k} 같은 바로 그런 필사자로부터-- 이런 광대한 무리의 불가사의한 미래 봉사자들을 모집하기 위한, {k{k{아버지}k}k}의 우주 계획의 지혜를 최고로 장엄하게 빛내고 있으며, 아름답게 감동을 주고 있다.
[69]| [{k{k{네바돈}k}k}의 {k{k{멜기세덱}k}k}이 제시했음]
