[1]| 제125편{{{br}}} 예루살렘에서 예수
[47]| 그는 {k{k{베다니}k}k}에서 저녁식사를 한 후에, 흥에 겨운 다른 사람들과 어울리지 않고 다시 혼자 정원으로 나갔고, 밤이 깊을 때까지 거기에 남아 있었으며, 자신의 필생과업의 문제에 접근하는 어떤 명확한 계획을 생각해 내기 위해, 그리고 영적으로 눈먼 동포에게 하늘에 계신 {k{k{아버지}k}k}에 대한 좀 더 아름다운 개념을 계시하고, 그럼으로써 율법, 제례식, 예식절차, 및 진부한 전통이라는 끔찍한 속박에서 그들을 해방시키기 위해, 자신이 할 수 있는 어떤 결정적 방법을 생각해 내려고, 헛되이 애쓰고 있었다. 그러나 진리를_탐구하는 소년에게 분명한 빛은 도래하지 않았다.
[48]| {b{b{6. }b}b}{b{b{{k{k{성전에서}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{넷째}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{날}k}k}}b}b}{b{b{ }b}b}
[49]| {k{k{예수}k}k}는 이상할 정도로 육신의 부모를 염두에 두지 않았으며;아침 식사 중에, 지금쯤 부모가 집에 도착했을 것이라고 {k{k{나사로}k}k}의 어머니가 말했을 때에도, {k{k{예수}k}k}는 그들이 자기를 남겨 둔 것에 관해 얼마나 걱정할지를 납득하지 못하는 듯했다.
[50]| 그는 다시 성전으로 갔지만, 이번에는 묵상하기 위해 {k{k{감람원}k}k} 기슭에서 멈추지 않았다. 오전에 진행된 토론에서 대부분의 시간이 율법과 선지서들에 할애됐고, 선생들은 {k{k{예수}k}k}가 {k{k{그리스어}k}k} {k{k{성서}k}k}뿐 아니라 {k{k{히브리어}k}k} {k{k{성서}k}k}도 잘 알고 있음에 놀랐다. 그러나 그들은 그가 알고 있는 진리보다 어린 나이라는 것에 더 놀라워했다.
[51]| {k{k{예수}k}k}가 질문한 기도의 목적에 관해 그들이 대답할 엄두도 내지 못하던 그날 오후 회담에서, 인도자가 그를 앞으로 나오게 해서 자기 옆에 앉히고, 기도와 경배에 관한 그의 견해를 말하라고 했다.
[52]| 그날 저녁이 되기 전에, {k{k{예수}k}k}의 부모는, 율법 해석에서 능숙하게 논쟁하고 있다는 이 이상한 소년에 관한 이야기를 들었으나, 이 아이가 바로 자기 아들이라는 생각은 떠오르지 않았다. 그들은 {k{k{예수}k}k}가 {k{k{엘리사벳}k}k}과 {k{k{요한}k}k}을 만나러 {k{k{사가랴}k}k}의 집으로 갔을 지도 모른다고 짐작하여, 그쪽으로 가보기로 결정했다. {k{k{사가랴}k}k}가 성전에 있을 것이라고 생각한 그들은, {k{k{유다의}k}k} {k{k{성읍}k}k}으로 가는 도중에 거기에 들렸다. 그들은 성전에 있는 뜰을 지나다가, 찾고 있던 아이의 음성을 들었고, 게다가 그가 성전의 선생들 가운데 앉아 있는 모습을 봤을 때, 얼마나 놀라고 경탄했겠는지 상상해 보라.
[53]| {k{k{요셉}k}k}은 말문이 막혔지만, {k{k{마리아}k}k}는 오랫동안 품었던 근심과 걱정을 떨치면서, 아이에게 달려갔으며, 그제야 놀라고 있는 부모에게 인사하기 위해 서 있는 그에게, “아들아, 네가 어떻게 우리에게 이렇게 할 수 있었느냐? 아버지와 나는 지금까지 3일 넘게 상심하며 너를 찾아 헤맸다. 도대체 너는 무엇에 홀려서 우리와 헤어지게 됐느냐?”라고 말했다. 긴장된 순간이었다. 모든 시선이 그의 대답을 기다리며 그에게 집중됐다. 그의 아버지는 그를 책망의 눈으로 바라봤을 뿐 아무 말도 하지 않았다.
[54]| {k{k{예수}k}k}가 이제 성년이 된 것으로 간주되고 있음을 기억해야 한다. 그는 소년으로서의 정상적인 학교 과정을 마쳤고, 율법의 아들로 인정됐으며, 게다가 {k{k{이스라엘}k}k} 시민으로서 인정받은 후였다. 그런데도 그의 어머니는, 그가 가장 진지하고 숭고한 노력을 기울이고 있는 그의 어린 생애 한 가운데 있을 때, 모여 있는 모든 사람 앞에서, 온순하지만 신랄하게 비난함으로써, 그가 진리의 선생으로서, 의{義}의 설교자로서, 그리고 하늘에 계신 {k{k{아버지}k}k}의 사랑하는 성품에 대한 계시자로서 역할을 하도록, 그에게 부여될 수 있는 가장 좋은 기회 가운데 하나가 그렇게 불명예스럽게 끝나도록 했다.
[55]| 그러나 소년은 이 경우에도 한결같았다. 이런 상황을 조장했던 모든 요인을 너희가 공정하게 고려한다면, 어머니의 즉흥적인 꾸지람에 대해 소년이 어떻게 현명한 대답을 하리라는 것쯤은, 너희도 추측할 수 있을 것이다. 잠시 생각한 후에 {k{k{예수}k}k}는 어머니에게, “나를 찾는데 왜 그렇게 오래 걸리셨나요? 내 {k{k{아버지}k}k}의 일을 할 때가 왔으니, 내 {k{k{아버지}k}k} 집에서 나를 찾을 수 있다는 예상을 못하셨나요?”라고 대답했다.
[56]| 아이가 말하는 방식에 모든 사람이 깜짝 놀랐다. 그들은 {k{k{예수}k}k}와 부모만 남겨두고 모두 조용히 물러갔다. 이윽고 소년은 세 사람의 난처한 상황을 정리하면서 조용히 말했다:“가시지요, 아버지 어머니, 각자 최선이라고 생각한 것을 했을 뿐입니다. 하늘에 계신 우리 {k{k{아버지}k}k}께서 이것들을 정해 놓으셨으니;함께 집으로 떠나시지요.”
[57]| 그들은 말없이 길을 재촉해서, 그날 밤 {k{k{여리고}k}k}에 도착했다. 그들은 {k{k{감람원}k}k} 기슭에서 한 번 멈췄을 뿐인데, 그때 그는 밀려오는 격렬한 감정으로 지팡이를 높이 들어 머리 위에서 발끝까지 흔들며 말했다:“오, {k{k{예루살렘}k}k}아, {k{k{예루살렘}k}k}아, 그리고 거기에 있는 사람들아, 너희는 --{k{k{로마}k}k}의 멍에에 종속되고 자신의 전통에 희생된-- 노예와 다름없지만, 내가 언젠가 돌아와서 저 성전을 청소하고, 이 속박으로부터 내 백성을 구출할 것이다!”
[58]| {k{k{나사렛}k}k}으로 돌아오는 3일 동안, {k{k{예수}k}k}는 거의 말이 없었으며;부모도 그의 앞에서는 별로 입을 열지 않았다. 그들은 정말로 맏아들의 행동을 이해하지 못해서 난처했지만, 그가 하는 말의 의미를 완전히 납득할 수 없었음에도, 마음 속에 소중히 간직했다.
[59]| 집에 도착하자, {k{k{예수}k}k}는 자신의 애정을 부모에게 확신시키고, 어떤 경우에도 자신의 행동으로 염려할 일이 없을 터이니 두려워 말라고, 간단히 말했다. 그는 이렇게 말하면서 이 중요한 발언을 마무리했다:“나는 하늘에 계신 내 {k{k{아버지}k}k} 뜻을 따르는 동시에, 이 세상 아버지께도 순종하겠습니다. 나의 때를 기다리겠습니다.”
[60]| 정신 속에서 {k{k{예수}k}k}는, 자신의 생각의 진로를 바꾸거나, 또는 이 세상에서의 자신의 활동 계획을 정해 주려는, 의도는_좋았으나 잘못 인도된 부모의 노력에 {i{i{동의하기를}i}i} 여러 번 거절했지만, {k{k{낙원}k}k} {k{k{아버지}k}k} 뜻을 행하는 일에 모든 방법을 동원하여 변함없이 헌신하면서, 여전히, 이 세상의 아버지가 바라는 것에, 그리고 육신적인 가족의 관습에 가장 얌전하게 {i{i{순응했다}i}i}. 그는 자신이 동의할 수 없는 경우에도, 그것을 따르려고 가능한 모든 것을 하고자 했다. 자신의 의무에 대한 헌신을 조정하면서 가족에게 충실하고 사회에 봉사하는 책임을 다하는 문제에서, 그는 아주 솜씨 있게 처리했다.
[61]| {k{k{요셉}k}k}은 혼란에 빠졌으나, {k{k{마리아}k}k}는 {k{k{감람원}k}k}에서 {k{k{예수}k}k}가 {k{k{메시야}k}k} 사명에 대해 예언했던, 그런 체험들을 회상하면서, 아들이 결국에는 {k{k{이스라엘}k}k}의 구원자가 되리라는 생각에 위안을 받았다. {k{k{예수}k}k}의 어머니는, 애국적이고 민족적인 경로로 그의 생각을 바꾸려고, 다시 힘을 얻어서 애쓰기 시작했고, {k{k{예수}k}k}가 가장 좋아하는 외삼촌, 즉 어머니의 형제에게 도움을 청했으며;맏아들이 {k{k{다윗}k}k}의 왕권을 회복하고, 이방인이 씌운 정치적 속박의 멍에를 영원히 없앨 지도자가 되도록 준비하는 과제에 모든 방법으로 헌신했다.
