[1]| 제70편{{{br}}} 인간 정부의 진화
[90]| 사악한 통치자들은 독약을 발견함으로써 엄청난 권력을 획득했다. 초기의 궁정{宮廷} 마술은 악마적이었고;왕에게 대적하는 자는 곧 죽게 됐다. 그러나 가장 악랄한 폭군도 어느 정도 제한 받았는데, 어쨌든 항상 도사리고 있는 암살에 대한 공포가 그를 억제시켰다. 주술사, 의사, 및 사제{司祭}들은 왕에게 반드시 상당한 견제 세력이 됐다. 나중에는 땅을 소유한 자들, 즉 귀족이, 압박하는 영향력을 행사했다. 그리고 때때로 씨족과 부족들이 단순한 의도로 봉기해서, 독재자와 폭군을 타도하기도 했다. 폐위{廢位}된 통치자들이 사형 선고를 받게 되면, 자살할 수 있는 기회가 제공되기도 했는데, 이것으로 인해, 특별한 상황에 봉착했을 때 자살하는 유행이 고대 사회에서 시작됐다.
[91]| {b{b{7. }b}b}{b{b{{k{k{원시}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{동호회와}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{비밀}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{공동체}k}k}}b}b}
[92]| 혈연관계가 최초의 사회 집단들을 확정했으며;연합을 통해서 친척 관계의 씨족이 확대됐다. 씨족 간의 결혼은 그 다음 단계로 집단 확대를 이룩했고, 그 결과로 생긴 복합적인 부족은 참된 첫 정치 기구였다. 사회 발전에서 다음 단계는, 종교적 종파와 정치 동호회{同好會}의 출현이었다. 처음에는 이것들이 비밀 공동체로 결성됐고, 원래는 전적으로 종교적인 것이었는데;나중에는 통제하는 것이 됐다. 처음에는 이런 공동체들이 남자의 동호회였고;나중에는 여자의 모임도 나타났다. 이윽고 그것들은 두 부류로 나뉘었는데:사회정치적인 부류와 종교적이고_신비적인 부류였다.
[93]| 이런 공동체들이 비밀리에 이뤄진 이유가 많이 있는데, 다음과 같다:
[94]| 1. 어떤 금기를 위반함으로써 통치자의 불쾌감을 초래할 수 있다는 염려.
[95]| 2. 소수파 종교의 제례를 실행하기 위하여.
[96]| 3. 가치 있는 “기풍” 이나 거래 비밀을 보존하려는 목적으로.
[97]| 4. 어떤 특별한 마법이나 마술을 즐기기 위하여.
[98]| 이런 공동체의 강력한 비밀 엄수로, 그 부족 중에서 나머지 사람들에 대한 신비의 능력을 모든 회원에게 제공했다. 비밀 엄수는 허영심을 자극하기도 했는데;회원 가입은 당대의 사회적 특권이었다. 가입된 후에는 소년들이 어른과 함께 사냥했으며;반면에 그 전에는 여자들과 함께 식물을 채집해야 했다. 그리고 사춘기에 거치는 시험에 합격하지 못하여, 남자의 거주지에 들어가지 못하고 여자 및 어린아이들과 함께 나약한 자로 취급받는 것은, 최고의 굴욕이고 부족에서 망신거리였다. 게다가, 가입되지 못한 자는 결혼이 허용되지 않았다.
[99]| 원시 민족은, 청년기에 도달한 자녀들에게, 매우 일찍부터 성욕{性慾}을 통제하는 방법을 가르쳤다. 사춘기부터 결혼할 때까지, 남자아이를 부모로부터 분리시키는 것이 관례가 됐는데, 그들의 교육과 훈련은 남자 비밀 공동체에게 위임됐다. 그리고 이런 동호회의 주요 기능 가운데 하나는, 청년기의 젊은 남자를 계속 통제함으로써, 사생아{私生兒}의 탄생을 방지하는 것이었다.
[100]| 이런 남자 동호회들이 다른 부족 여자를 이용하는 대가{代價}로 돈을 지불함으로써, 상업화된 매춘이 시작됐다. 그러나 초기 집단들은 방종{放縱}한 성관계와는 현저히 거리가 멀었다.
[101]| 사춘기에 입문하는 의식{儀式}은 대개 5년간 계속됐다. 많은 고행{苦行}과 고통스럽게 상처 내는 행위가 이 의식에 포함됐다. 이런 단체 가운데 하나에 가입되는 제례로, 할례가 처음 실행됐다. 사춘기 입문식의 일부로 부족의 표지{標識}를 피부에 새겼으며;문신{文身}은 그런 회원을 상징하는 표시에서 기원됐다. 그와 같은 심한 고통은, 오랫동안의 궁핍과 함께, 이 젊은이들을 단련시키기 위해서, 즉 삶의 실체감과 피할 수 없는 결핍을 그들의 마음에 새겨주기 위해서 고안됐다. 후대에 나타난 운동 경기와 육체적 경연이 이런 목적을 더 훌륭하게 성취한다.
[102]| 그러나 비밀 공동체들은 청년의 도덕 증진에 목적을 뒀는데;사춘기 의식{儀式}의 주요 목적 가운데 하나는, 그가 다른 남자의 아내에게 접근하지 않아야 한다는 사실을 소년에게 심어주는 것이었다.
[103]| 이런 여러 해 동안의 종교적 수양과 훈련이 있은 후에, 그리고 결혼이 이뤄지기 전에, 젊은이들은 대개 짧은 기간의 한가한 자유시간을 즐길 수 있게 됐으며, 그 후에는 다시 돌아와서 결혼했고, 부족의 금기를 평생 지키기로 맹세했다. 그리고 고대의 이런 관습은, “젊은 혈기로 난봉부리기”라는 어리석은 관념으로 현대까지 전해 내려왔다.
[104]| 후대의 여러 부족은 여자 비밀 동호회를 허용했는데, 그 목적은 아내와 어머니가 될 수 있도록 장성한 처녀들을 준비시키는 것이었다. 입회한 후에 소녀는 결혼할 자격을 얻었고, “신부 보여주기”, 즉 당대의 성인 축하 잔치에 참여할 수 있었다. 결혼에 반대하기로 서약한 여자 계층이 일찍부터 생겼다.
[105]| 결혼하지 못한 남자 집단과 결혼하지 못한 여자 집단이 각각 독립적으로 조직되자, 마침내 공개적인 동호회들이 모습을 드러내게 됐다. 이 연합체들은 정말로 최초의 학교에 해당됐다. 그리고 남녀 동호회들이 서로를 괴롭히는 경향에 종종 빠졌지만, 진취적인 어떤 부족들은 {k{k{달라마시아}k}k}의 선생들과 접촉한 후에, 남녀공학을 실험했는데, 남자와 여자를 위한 기숙사를 운영했다.
[106]| 비밀 공동체들은, 주로 입회식의 신비스런 특징으로 말미암아, 사회 신분계층이 형성되도록 기여했다. 이 공동체 회원들은, 애도하는 제례--곧 조상숭배-- 현장에서 호기심 있는 자들을 놀라게 해서 쫓아내려고, 처음으로 가면을 썼다. 이런 종교 제례식이 나중에는 사이비 강신회{降神會}로 발전했는데, 거기서 유령들이 나타났다고 소문이 퍼졌다. “새로 출현한”고대의 공동체들은 기호를 사용했고, 특별한 은어{隱語}를 이용했으며;특정한 음식과 음료수를 거부했다. 그들은 야간 경비원으로 활동했고, 그밖에도 다양한 사회 활동에서 역할을 했다.
[107]| 모든 비밀 연합체는 맹세를 강요했고, 신용을 요구했으며, 비밀을 지키도록 가르쳤다. 이런 명령이 폭도에게 두려움을 줘서 통제했으며;또한 그들은 자체 경비 공동체로서 활약함으로써, 사형{私刑} 법을 실행했다. 그들은 부족 간 전쟁이 발생할 때 선두 정탐꾼이 됐고, 평화시에는 선두 비밀경찰이 됐다. 무엇보다 그들은 사악한 왕에게 위협을 가했다. 그들의 세력에 대적하기 위해서, 왕은 친위 비밀경찰을 양성했다.
[108]| 이 공동체들로 인해서 최초의 정치 정당이 출현했다. 최초의 정당정치는 “강한 편”과 “약한 편”의 대결로 이뤄졌다. 고대에는 경영진이 바뀌게 되면 곧 내란{內亂}이 뒤따랐는데, 약한 편이 강하게 됐음을 충분히 입증했다.
[109]| 이 동호회들은, 빚을 독촉하려는 상인에게 고용됐고, 세금을 거두려는 통치자에게 고용됐다. 세금 징수는 오랫동안 투쟁을 겪었는데, 가장 오래된 형태는 십일조, 즉 사냥한 것과 약탈품의 10분의 1을 바치는 것이었다. 세금은 원래 왕의 집을 유지하기 위해서 부과됐지만, 신전 예배를 유지하기 위해서 헌물 하도록 속임수를 쓰면 세금 거두기가 더 쉬워진다는 것을 알게 됐다.
[110]| 이윽고 이런 비밀 연합체들이 점점 커져서, 최초의 자선{慈善} 단체를 이뤘고, 나중에는 --교회의 전조{前兆}인-- 초기 종교 공동체로 발전됐다. 이 공동체들 중에서 더러는 마침내 여러 부족을 참여시키게 돼서, 최초의 국제 협동단체가 됐다.
[111]| {b{b{8. }b}b}{b{b{{k{k{사회}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{계층}k}k}}b}b}
[112]| 인간의 정신적 및 육체적 차이로 말미암아, 반드시 사회 계층이 나타나게 된다. 사회 계급이 없는 유일한 세계는, 가장 원시적인 세계와 가장 진보된 세계다. 문명이 태동{胎動}될 때에는 아직 사회 수준의 분화{分化}가 일어나지 않은 반면, 빛과 생명의 단계에 도달한 세계에서는, 진화의 중간 단계들의 특질인 이런 인류 구분이 거의 사라지게 된다.
[113]| 사회가 야만 상태에서 미개한 상태로 발전되면서, 인간 구성원은 다음과 같은 일반적 이유 때문에 여러 계층으로 나뉘는 경향이 있었다:
[114]| 1. {i{i{선천적}i}i} {i{i{이유}i}i} --연줄, 친척 관계, 및 결혼;최초의 사회적 차이는 성{性}, 나이, 핏줄에--곧 우두머리와의 친척 관계에-- 기초를 뒀다.
[115]| 2. {i{i{개인적}i}i} {i{i{이유}i}i} --역량, 인내심, 솜씨, 및 강인함을 높이 평가함;언어 숙련도, 지식, 그리고 일반적인 지성에 대한 인식이 곧 뒤따랐음.
[116]| 3. {i{i{기회}i}i} --전쟁과 이주{移住}로 말미암아 인간 집단들의 분리가 이뤄짐. 계층의 진화는, 정복, 즉 승리자와 피정복자의 관계에 크게 영향을 받았고, 동시에 노예제도는 자유인과 노예로 나누는, 처음으로 전반적인 사회 분화가 이뤄지게 했다.
[117]| 4. {i{i{경제적}i}i} {i{i{이유}i}i} --부자와 가난한 자. 재산과 노예의 소유는 한 사회 계층의 유전적 기초였다.
[118]| 5. {i{i{지리적}i}i} {i{i{이유}i}i} --정착된 곳이 도시인지 아니면 시골인지에 따라서 계층이 결정됨. 도시와 시골은, 목자_농업인과 상인_산업인이 구분되도록 상당한 영향을 줬고, 그들의 관점과 태도가 서로 달랐다.
[119]| 6. {i{i{사회적}i}i} {i{i{이유}i}i} --여러 다른 집단의 사회적 가치를 대중이 평가함에 따라서 점차 계층들이 형성됨. 이런 종류의 최초 분화{分化} 가운데에는, 사제{司祭}_선생, 통치자_전사{戰士}, 자본가_상인, 일반 노동자, 그리고 노예 사이의 구분이 있었다. 임금을 받는 사람이 자본가 반열에 들어오도록 뽑히는 경우도 있었지만, 노예는 결코 자본가가 되지 못했다.
[120]| 7. {i{i{직업적}i}i} {i{i{이유}i}i} --직업이 세분화되자, 그들은 신분계층과 조합을 형성하려고 했다. 노동자는 세 가지로 구분됐는데:주술사를 포함한 전문 계층, 그 다음에는 숙련된 기술자가 있었고, 숙련되지 않은 노동자가 그 뒤를 이었다.
[121]| 8. {i{i{종교적}i}i} {i{i{이유}i}i} --초기 종파 동호회는, 씨족과 부족 내에서 자기들만의 계층을 형성했고, 사제들의 경건성과 신비성이 그들을 오랫동안 구별된 사회 집단으로 남아 있게 했다.
[122]| 9. {i{i{인종적}i}i} {i{i{이유}i}i} --하나의 일정한 국가 또는 지역 단위 안에 둘 이상의 인종이 함께 있게 되면, 대개 피부색에 따른 신분계층이 형성된다. {k{k{인도}k}k}의 원래 신분계층 체계는, 초기 {k{k{이집트}k}k}의 경우처럼, 피부색에 기초한 것이었다.
[123]| 10. {i{i{나이}i}i} --어린이와 성인. 부족원 가운데 소년은 아버지가 살아있는 동안에는 아버지의 감독을 받았고, 소녀는 결혼할 때까지 어머니의 보호를 받았다.
[124]| 문명이 진화하려면 융통성 있고 변하기 쉬운 사회 계층이 반드시 있어야 하지만, {i{i{계층}i}i}이 {i{i{계급제도}i}i}로 바뀌면, 즉 사회 수준이 완전히 굳어지면, 사회의 안정성은 개인의 독창력이 감소함으로써 증진된다. 사회 신분계층은, 사람이 산업 사회에서 일터를 찾아야 하는 문제를 해결했지만, 동시에 개인의 발전을 심하게 축소시켰고, 사회의 협동을 실질적으로 방해했다.
[125]| 공동체 안에서 계층은 자연스럽게 형성돼 왔는데, 진보하는 문명에서 다음과 같은 생물학적이고 지적이며 영적인 자원을 재치 있게 조종함으로써, 계층은 사람이 진화로 점차 소멸할 때까지 계속 유지될 것이다:
[126]| 1. 인종 혈통의 생물학적 쇄신--열등한 인간 종족을 골라서 도태시킴. 이것은 필사자의 많은 불공평을 근절시키게 될 것이다.
[127]| 2. 그런 생물학적 개선을 통해서 발생되는, 향상된 두뇌 능력을 교육으로 훈련시킴.
[128]| 3. 필사자가 친척이고 형제관계라는 느낌을 종교적으로 북돋움.
[129]| 그러나 이런 방책은 장차 수천 년이 흐른 뒤에야 참된 그 열매를 얻을 수 있겠지만, 그럼에도 문화적 진보를 촉진시키는 이 요소들을 지성적이고 지혜롭게 그리고 {i{i{끈기}i}i} {i{i{있게}i}i} 조종한 결과로, 많은 사회적 개선이 즉시 이뤄질 것이다. 종교는 혼란으로부터 문명을 들어 올릴 수 있는 강력한 지렛대이지만, 견고하고 정상적인 세습 체제에 단단하게 자리 잡은, 견고하고 정상적인 정신이라는 받침대가 없이는 힘을 쓸 수 없다.
[130]| {b{b{9. }b}b}{b{b{{k{k{인간의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{권리}k}k}}b}b}
[131]| 자연은, 오직 생명과 그 생명을 유지할 수 있는 세계 외에는, 아무런 권리도 사람에게 주지 않았다. 무장하지 않은 사람이 원시림 속에서 굶주린 호랑이와 마주쳤을 때 발생될 수 있는 일을 생각해 봄으로써 추론할 수 있듯이, 자연은 살 권리조차도 주지 않는다. 공동체가 사람에게 주는 가장 중요한 혜택은 안전{安全}이다.
[132]| 공동체는 점진적으로 권리를 주장했는데, 오늘날 이 권리는 다음과 같다:
[133]| 1. 양식 공급 보장.
[134]| 2. 군사적 방어 --대비를 통한 안전.
[135]| 3. 내부의 평화 유지 --개인에 대한 폭력과 사회의 무질서 예방.
[136]| 4. 성{性}의 통제 --결혼, 가족 제도.
[137]| 5. 재산 --소유권.
[138]| 6. 개인 및 집단 경쟁의 육성.
[139]| 7. 청소년 교육과 훈련을 위한 준비.
[140]| 8. 무역과 상업의 증진 --산업 개발.
[141]| 9. 노동 조건과 보상의 개선.
[142]| 10. 영적으로 자극을 받아 이런 모든 다른 사회 활동을 고양{高揚}시키려는 목적으로, 종교 풍습의 자유를 보장함.
[143]| 권리가 출처를 알 수 없을 정도로 오래됐을 때, 이를 흔히 {i{i{자연권}i}i}{i{i{{}i}i}{i{i{自然權}i}i}{i{i{}}i}i}이라고 부른다. 그러나 인간의 권리는 정말로 선천적이지 않으며;온전히 사회적이다. 이 권리는 상대적이고 항상 변화하는데, 경기 규칙과 다름없다--곧 인간의 항상 변화하는 경쟁 현상을 지배하는, 인정받은 여러 관계를 조정한 것이다.
[144]| 한 시대에 권리로 간주됐던 것이 다른 세대에서는 그렇지 않을 수 있다. 미비하고 타락한 것 가운데 다수가 유지되고 있는 것은, 20세기 문명을 방해할 만큼 어떤 자연권이든지 가졌기 때문이 아니라, 단순히 그 시대의 공동체, 즉 사회관행이 그렇게 정하기 때문이다.
[145]| {k{k{유럽}k}k}의 {k{k{중세시대}k}k}에는 인간의 권리가 거의 인정되지 않았으며;그때에는 누구나 다른 사람에게 속했고, 권리는 국가 또는 교회가 수여한 특권 또는 은혜에 불과했다. 그리고 이런 잘못에 대한 항거는, 모든 사람이 똑같이 태어난다고 믿도록 유도한 점에서, 똑같이 잘못됐다.
[146]| 약하고 열등한 사람은 항상 동등한 권리를 주장하며;그들은, 그들 자신이 필요로 하는 것을 채워주고 그밖에 결함을 회복시켜주도록, 국가가 강하고 우수한 자들을 강압해야 한다고 항상 집요하게 요구하는데, 이런 결함은 아주 빈번히, 바로 그들의 무관심과 게으름 때문에 자연적으로 발생된 결과다.
[147]| 그러나 평등이라는 이 이상{理想}은 문명의 산물이며;자연 속에서 발견되는 것이 아니다. 문화를 받아들일 사람의 바로 그 능력이 균등하지 않다는 점에서, 문화 자체도 사람의 선천적 불평등을 단호하게 증명한다. 자연스런 평등이라고 생각되는 상태를 갑자기 비진화적으로 실현하면, 문명화된 사람은 원시 시대의 미숙{未熟}한 관습으로 신속히 돌아갈 것이다. 공동체는, 모든 사람에게 똑같은 권리를 부여할 수 없지만, 각자의 서로 다른 권리가 공평하고 균등하도록 경영할 것을 약속할 수 있다. 자아_유지를 추구하고, 자아_영속에 참여하게 하고, 한편 동시에 어느 정도 자아_만족을 누리도록, 공정하고 평화로운 기회를 자연인에게 제공하는 것이, 바로 공동체의 일이고 의무이며, 이 세 가지 전체가 인간의 행복의 총합이다.
[148]| {b{b{10. }b}b}{b{b{{k{k{응보의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{진화}k}k}}b}b}
[149]| 자연이 처벌{處罰}한다는 것은, 사람이_만든 이론이며;그것은 실체가 아니다. 자연계에서, 응보는 순전히 이론적이고, 완전한 허구{虛構}다. 자연은 오직 한 가지 응보밖에 제공하지 않는다--곧 결과는 원인에 순응할 수밖에 없다.
[150]| 사람이 고안해 낸 응보는, 자기 권리를 찾는 것을 의미하며, 따라서, 점진적 진화의 문제였다. 응보 개념은, 영{靈}이_부여된 정신 속에서 잘 구성될지 모르지만, 공간 세계들에서 온전히_성숙된 상태로 불쑥 나타나지는 않는다.
[151]| 원시인은 모든 현상을 사람 탓으로 돌렸다. 사람이 죽게 되면, 미개인은 {i{i{무엇이}i}i} 그를 죽였는가를 생각하는 대신, {i{i{누가}i}i} 죽였는가를 생각했다. 그렇기 때문에 사고로 죽는 것은 인정하지 않았고, 죄에 대한 벌을 부과할 때, 그 범죄의 동기는 전혀 무시됐으며;판결은 손상된 결과에 따라서 내려졌다.
[152]| 가장 초기 원시 사회에서는 여론{輿論}이 직접 작용했으므로, 법관이 필요 없었다. 원시인의 생활에는 사생활이 없었다. 한 사람의 행실에 대해 이웃이 책임을 졌으며;따라서 그들은 그의 개인 직무를 샅샅이 살펴볼 수 있는 권리를 가졌다. 공동체는, 그 집단에 소속된 자들이 각 개인의 행태에 대해서 관심을 가져야 하고, 그것을 어느 정도 통제해야 한다는 이론에 입각해서 통제됐다.
[153]| 유령이 주술사와 사제{司祭}를 통해서 응보를 집행한다는 믿음이 매우 일찍부터 있었으며;이로 말미암아 이 계층들이 최초로 범죄를 탐지하고 법을 집행하는 자가 되게 됐다. 범죄를 탐지하려고 그들이 초기에 사용한 방법은, 독약, 불, 고통 등으로 시험하는 시죄법{試罪法}이었다. 미개한 이 시죄법은, 중재{仲裁}하는 미숙한 기법에 불과했으며;논쟁을 반드시 정당하게 해결하지는 않았다. 예를 들어:독약을 먹였을 때, 피의자가 그것을 토해내면, 그에게 무죄가 선언됐다.
[154]| 이런 시죄법 가운데 하나, 즉 부부간의 죄에 대한 시험이 {k{k{구약}k}k} {k{k{성경}k}k}에 기록돼 있다:어떤 남자가 자기 아내의 비행을 의심하게 되면, 아내를 사제{司祭}에게 데려가서 자신이 의심하는 바를 말했고, 그 후에 사제는 성전 바닥의 먼지와 성수{聖水}로 만들어진 음료수를 준비했다. 험악한 저주를 퍼부으면서 적당한 예식을 치른 후에, 고소당한 아내는 그 더러운 음료수를 마셔야만 했다. 여자에게 죄가 있으면, “저주를 임하게 하는 물이 여자 속에 들어가 쓴맛을 내고, 내장이 부풀어 오르며, 허벅다리가 썩게 되고, 여자는 자기 민족 가운데서 저주를 받게 될 것이라”고 했다. 만에 하나, 여자가 이 더러운 물을 마신 후에 몸이 아픈 증상을 보이지 않으면, 그 여자는 남편이 질투심으로 고소했던 죄에서 풀려났다.
[155]| 진화하는 거의 모든 부족이, 범죄를 감지하는 이런 잔인한 방법을 한동안 사용했다. 결투{決鬪}하는 것은, 시죄법으로 판결하는 방법이 현대까지 남아있는 것이다.
[156]| {k{k{히브리인}k}k} 및 기타 약간문명화된 부족들이, 처벌을 집행하기 위해서 그런 원시 기법을 3천 년 전에 사용했다는 것은 놀랍지 않지만, 사려깊은 사람들이, 신성시되는 수집된 문서에 담겨있는 그런 야만적 유물을 그 후에도 계속 유지하려는 것은 아주 놀라운 일이다. 사려 깊게 생각하면, 의심스런 부부간의 부정행위를 탐지하고 판결하는 방법에 관해, 어떤 신성한 존재도 그런 부당한 지침을 필사적 사람에게 결코 준 적이 없다는 것을 똑똑히 깨닫게 될 것이다.
[157]| 공동체는, 일찍부터 보복하는 태도:즉 눈에는 눈으로, 생명에는 생명으로 갚아주는 방법을 채택했다. 진화하는 부족들 전체가, 피로 보복하는 이런 권리를 인정했다. 복수는 원시 생활의 목표가 됐지만, 종교가 이런 초기 부족 풍습을 크게 변경시켰다. 계시된 종교를 가르치는 선생들은, “‘복수는 내게 속한 것이라’고 {k{k{주}k}k}{主}께서 말씀하신다”는 말을 항상 선포했다. 고대에 자행됐던 복수를 위한 살인은, 불문율{不文律}을 핑계 삼아서 저지르는 오늘날의 대량 학살과 아주 다르지는 않았다.
[158]| 자살은 보복을 위한 비정한 방법이었다. 어떤 사람이 자기 생전에 직접 보복할 수 없게 되면, 귀신이 되어 돌아와서 원수에게 복수할 수 있다는 믿음을 간직하면서 죽었다. 그리고 이런 믿음이 매우 일반화된 후로, 원수의 문지방 위에서 자결하겠다고 협박하는 방법은, 흔히 상대방을 굴복시키기에 충분했다. 원시인은 생명을 별로 소중히 여기지 않았으며;사소한 일로 자살하는 것이 일반적이었지만, {k{k{달라마시아}k}k} 사람들의 교훈으로 말미암아 이런 관습이 현저히 감소됐으며, 최근에는, 여가, 안락함, 종교, 및 철학이 결합해서 인생을 더 감미롭고 매력 있게 만들었다. 아무튼, 단식투쟁은 고대의 이런 복수하는 방법의 현대판이다.
[159]| 가장 초기에 공식화된 진보된 부족 율법 가운데 하나는, 피 흘리는 반목{反目}을 부족의 용건으로 떠넘기는 것과 관련 있었다. 그러나 놀랍게도, 그때에도 남자는 자기 아내에 대한 대가를 완전히 지불하면 벌을 받지 않고 죽일 수 있었다. 아무튼 오늘날 {k{k{에스키모}k}k}는, 범죄에 대한, 심지어 살인에 대한 벌금형이 여전히 있는데, 범죄를 당한 가족이 판결하고 부과한다.
[160]| 또 다른 진보는, 금기를 어겼을 경우에 대한 벌금 부과, 즉 형벌에 대한 규칙이었다. 이 벌금은 최초의 공공{公共} 재산을 형성했다. “피 값”을 지불하는 풍습 역시, 피로 갚는 복수 대신 성행하게 됐다. 그런 손해는 대개 여자 또는 가축으로 갚았으며;실제 벌금, 즉 범죄에 대한 형벌 대신 화폐로 갚는 일은 훨씬 후대에 이뤄졌다. 그리고 형벌의 관념이 근본적으로 배상{賠償}의 관념으로 바뀐 후부터, 인간의 생명을 포함한 모든 것이 결국 배상금으로 지불될 수 있는 가치를 갖게 됐다. {k{k{히브리인}k}k}은 피 값을 지불하는 풍습을 처음으로 폐지한 민족이었다. {k{k{모세}k}k}는 “죽을죄를 지은 살인자는 그의 생명 대신 배상금을 받을 수 없으며;반드시 그를 죽여야 한다”고 가르쳤다.
[161]| 이처럼 처음에는 가족이, 그 다음에는 씨족이, 그리고 후대에는 부족이 처벌을 시행했다. 참된 처벌의 집행은, 복수하는 일이 개인과 친척 집단에서 이양되어, 사회 집단, 즉 국가의 손에 넘겨진 때부터 시작됐다.
[162]| 산채로 화형 시키는 형벌이 한때 일반 풍습으로 사용됐다. {k{k{함무라비}k}k}와 {k{k{모세}k}k}를 포함해서, 고대의 많은 통치자가 이 풍습을 인정했으며, {k{k{모세}k}k}는 여러 범죄, 특히 성적{性的} 본성이 나쁜 자는 반드시 화형에 처하도록 했다. “사제의 딸” 또는 다른 지도자급 시민이 매춘을 하게 되면, “그 여자를 불로 태우는 것”이 {k{k{히브리}k}k} 관습이었다.
[163]| 반역--곧 자기 부족의 동료를 “팔거나” 배반하는 것--은 첫째가는 최고 범죄였다. 가축을 훔치는 것은 일반적으로 즉결 처형으로 다스려졌고, 최근에도 말을 훔치는 사람에게 비슷한 형벌이 집행됐다. 그러나 시간이 지나면서, 범죄를 방지하는 면에서, 형벌의 혹독함이 그 확실성과 신속성보다 별로 가치가 없다는 것을 알게 됐다.
[164]| 공동체가 범죄를 응징하지 못하면, 집단적 분노가 대개 사적{私的}인 응징으로 나타나게 돼있으며;성역{聖域}에 대한 규정은, 이런 갑작스런 집단적 분노를 벗어나는 수단이 됐다. 사적인 제재와 결투는, 개인이 사사롭게 시정{是正}하는 일을 국가에게 넘겨주기 싫어한다는 것을 나타낸다.
[165]| {b{b{11. }b}b}{b{b{{k{k{법률과}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{법정}k}k}}b}b}
[166]| 새벽에 밤과 낮을 구분하기 어려운 것과 마찬가지로, 사회관행과 율법 사이를 정확히 구별하기는 어렵다. 사회관행은 발달 과정에 있는 율법과 치안 규칙이다. 오랫동안의 형성 과정이 지나가면, 모호했던 사회관행이 정확한 율법, 명확한 규칙, 그리고 뚜렷한 사회 관례로 구체화된다.
[167]| 율법은 언제나 처음에는 부정적이고 금지하는 내용이지만;문명이 진보됨에 따라서 점점 더 긍정적이고 지시하는 내용이 된다. 초기 공동체는 부정적으로 운영됐는데, “살인하지 말라”는 명령을 다른 모든 사람에게 부과함으로써, 개인에게 살 권리를 부여했다. 개인에게 부여된 모든 권리와 자유를 위해서는, 다른 모든 사람의 자유가 삭감될 필요가 있으며, 원시 율법인 금기가 이것을 가능하게 했다. 금기의 전체 관념은 본래 부정적인데, 이는 원시 공동체가 그 체제에서 전적으로 부정적이었고, 초기의 처벌 시행이 금기를 집행하는 것이었기 때문이다. 그러나 원래 이 율법은, 후대의 {k{k{히브리인}k}k}이 보여줬다시피, 오직 동료 부족민에게만 적용됐는데, {k{k{히브리인}k}k}은 이방인을 다룰 때에는 다른 윤리 규범을 적용했다.
[168]| 더 진실하게 증언하도록 만들기 위해서, {k{k{달라마시아}k}k} 시대에 맹세가 시작됐다. 그런 맹세는 자신에게 저주를 선언하는 것이었다. 이전에는 아무도 자기가 태어난 집단에게 불리한 증언을 하지 않으려고 했다.
[169]| 범죄는 부족의 사회관행을 범하는 것이었고, 죄는 유령{幽靈}이 좋아하는 금기를 어기는 것이었으며, 범죄와 죄를 구분하지 못하는 것 때문에 오랫동안 혼란이 있었다.
[170]| 이기심이 살인을 금기로 확립했고, 공동체는 이를 전통적 사회관행으로 정당화 시켰으며, 한편 종교는 그 관습을 도덕적 율법으로 신성화 시켰고, 그리하여 인간의 삶이 더 안전하고 신성하게 되도록 세 가지 모두가 협력했다. 권리가 종교의 지지를 받지 못했다면, 초기 시대에 공동체는 단결하지 못했을 것이며;진화하는 오랜 세월 동안, 미신이 도덕과 사회의 경찰 역할을 했다. 고대 사람은 모두, 자신의 전통적인 율법, 즉 금기를 신{神}들이 자기 조상에게 줬다고 주장했다.
[171]| 율법은, 오랜 세월의 인간 체험, 즉 구체화되고 공인된 여론이 성문화된 기록이다. 사회관행은 누적된 체험으로 이뤄진 기본 자료였는데, 통치자들은 나중에 이것으로부터 성문법{成文法}을 구체화시켰다. 고대의 재판관에게는 법률이 없었다. 그가 결정을 내릴 때에는 다만 “이것이 관습이라”고 말했다.
[172]| 법정이 결정하는 중에 판례{判例}를 참조하는 것은, 재판관이 공동체의 변화하는 상황에 맞춰서 성문화된 법률을 적용시키려고 노력하는 것을 의미한다. 이것은, 전통이 연속된다는 감명을 주면서, 변하는 사회 조건에 대해 점진적으로 적응하는 길을 마련해 준다.
[173]| 재산 분쟁은 다음과 같은 여러 가지 방법으로 다뤄졌다:
[174]| 1. 분쟁이 일어난 재물을 파괴시킴으로써.
[175]| 2. 힘으로 --분쟁하는 사람들이 결투로 해결함.
[176]| 3. 중재로 --제삼자{第三者}가 결정함.
[177]| 4. 원로들에게 상소함으로써 --나중에는 법정에 상소함.
[178]| 초심{初審} 법정은, 대항하는 사람들을 주먹다짐으로 조정하는 것이었고;재판관은 심판원 또는 심판관에 불과했다. 그들은 싸움이 공인된 규정에 의거해서 수행되도록 주선했다. 법정에서 격투가 시작되면, 당사자들은 어느 한 편의 승리로 끝나게 될 때를 대비해서 각각 재판관에게 비용과 벌금을 제출했다. “힘이 여전히 정의로 통했다.” 그 후에는 언쟁{言爭}이 육체적 싸움을 대체했다.
