[1]| 제112편{{{br}}} 인격의 생존
[84]| {k{k{아버지}k}k}로부터 오는 것은, {k{k{아버지}k}k}께서 영원하신 것처럼 영원하며, 이것은 {k{k{하나님}k}k}의 실제 단편인 신성한 {k{k{사고}k}k} {k{k{조율사}k}k}의 경우에 참인 것처럼, 인격의 경우에도 똑같이 참인데, {k{k{하나님}k}k}께서는 자신의 자유의지로 결정해서 인격을 주신다. 사람의 인격은 영원하지만, 정체성으로 본다면 조건적으로 영원한 실체다. {k{k{아버지}k}k} 뜻에 응해서 나타났기 때문에, 인격은 {k{k{신격}k}k}의 운명에 도달하겠지만, 사람은 그런 운명의 달성에 참여할 것인지 아닌지 선택해야 한다. 그런 선택이 이행되지 않을 경우에, 인격은 체험적 {k{k{신격}k}k}에 직접 도달하고, {k{k{지존하신}k}k} {k{k{분}k}k}의 한 부분이 된다. 그 순환은 운명으로 정해져 있지만, 사람이 거기에 참여하는 것은 선택적이고, 개인적이며, 또한 체험적이다. 
[85]| 필사자의 정체성은, 우주에서 덧없는 일시적_생명을 갖는 처지에 있으며;계속되는 우주 현상이 되려고 인격체가 선택하는 한에서만 실제적이다. 이것이 사람과 에너지 사이의 근본 차이인데:에너지 체계는 계속돼야 하고, 선택할 수 없지만;사람은 자신의 운명을 결정하는 데 온통 관련돼 있다. {k{k{조율사}k}k}는 진실로 {k{k{낙원}k}k}에 이르게 하는 통로이지만, 사람 자신은, 자신의 결정, 즉 자유의지로 선택함으로써 그 통로를 찾아가야 한다.
[86]| 인간은 오직 물질적 의미에서만 정체성을 갖는다. 물질 정신이 지능의 에너지 체계 안에서 작용하는 대로, 물질 정신이 자아의 그런 특성을 표현한다. 사람이 정체성을 갖는다고 말할 때, 인간의 인격이 행동하고 그 의지가 선택하는 데 복종하도록 놓인 정신 궤도를, 그가 소유했음이 인정된다. 그러나 태아가 일시적으로 모태에 붙어있는 단계인 것과 마찬가지로, 이것은 물질적이고 순전히 임시적인 형태화다. 시공우주 입장에서 본다면, 인간은 비교적 한 순간에 태어나고, 살다가, 죽으며;오래 지속되지 않는다. 그러나 필사자의 인격은, 자신의 선택을 통해서, 잠시 있는 물질_지능 체계로부터 더 높은 모론시아_혼 체계로, 그 정체성의 자리를 옮겨주는 능력을 소유하는데, 그 혼은 {k{k{사고}k}k} {k{k{조율사}k}k}와 연합해서, 인격을 명백히 나타내는 새 운반체로서 창조된다.
[87]| 그리고 바로 이 선택 능력, 즉 자유의지를 갖는 피조물 신분임을 가리키는 우주 표지{標識}가, 사람에게 주어진 가장 위대한 기회요, 최고의 시공우주 책임이다. 미래의 완결성취자의 영원한 운명은, 인간의 의지작용의 성실성에 달려 있으며;신성한 {k{k{조율사}k}k}가 영원한 인격을 얻는 것은, 필사자의 자유의지가 진실한가에 달려있으며;{k{k{만유의}k}k} {k{k{아버지}k}k}가 새로이 상승하는 아들을 얻는 것은, 필사자의 선택이 충실한가에 달려있으며;{k{k{지존하신}k}k} {k{k{분}k}k}이 체험적 진화로 실제가 되는 것은, 끈질기고 지혜로운 결단_행동에 달려 있다.
[88]| 성장하는 시공우주 궤도들을 인격이 결국 반드시 달성돼야 할지라도, 너 자신의 잘못이 아니라, 시간 속의 재난과 물질 실존의 불이익이, 네가 태어난 행성에서 이 수준들을 통달하지 못하게 한다면, 네 의향과 욕구가 생존할만한 가치가 있다면, 집행 유예를 연장한다는 판결이 내려진다. 너는 자신을 증명할 수 있는 추가 시간을 가질 것이다.
[89]| 한 인간의 정체성을 맨션 세계로 나아가게 하는 것이 타당한가에, 언제든지 의구심이 생기면, 우주 통치 체제는 반드시 그 사람의 개인 이익에 맞게 판결하며;그들은 주저하지 않고 그런 혼을 과도기 존재로 올려주는 한편, 떠오르는 모론시아 의지와 영적 목적을 계속 관찰한다. 그리하여 신성한 응보는 확실히 성취되며, 신성한 자비를 연장해서 베풀 기회가 더 많이 주어진다. 
[90]| {k{k{오르본톤}k}k} 정부와 {k{k{네바돈}k}k} 정부는, 필사자를 다시 인격화하는 우주 계획의 세부 작업이 절대로 완전하다고 주장하지는 않으나, 참을성, 아량, 이해심, 및 자비로운 동정심을 나타낸다고 주장하고, 또 실제로 그렇게 한다. 어느 진화 세계에서 오더라도, 상승하는 생애를 추구하는 영원한 기쁨을, 분투하는 한 필사자로부터 뺏는 위험을 자초하기보다, 우리는 차라리 한 체계가 반역하는 위험성을 떠맡고자 했다. 
[91]| 이것은 인간이 처음 기회를 거부해도 두 번째 기회를 가질 수 있다는 뜻이 아니며, 결코 그렇지 않다. 그러나 의지를 지닌 모든 피조물이, 의심의 여지 없이, 자아를_의식하는 최종 선택을 내리는, 단 한 번의 참된 기회를 체험해야 한다는 것을 의미한다. 주권을 가진 우주 {k{k{재판관}k}k}들은, 영원한 선택을 최종적으로 완전히 내리지 않은 어떤 존재에게서도 인격의 신분을 박탈하지 않을 것이며;참된 의지와 진정한 목적을 드러낼, 완전하고 충분한 기회를 사람의 혼에게 반드시 줘야 하고, 또한 줄 것이다. 
[92]| 좀 더 영적으로, 그리고 시공우주에서 더 진보된 필사자가 죽으면, 그는 즉시 맨션 세계로 나아가며;대체로, 이 규정은 개인 스랍 수호자가 배정된 자에게도 적용된다. 그 외의 필사자들은 그들의 직무에 대한 판결이 완료될 때까지 붙잡혀 있을지 모르며, 그 후에 맨션 세계로 나아가든지, 아니면 현재의 행성 섭리시대가 끝날 때 무더기로 다시 인격화될, 잠자는 생존자 반열에 배정될지도 모른다.
[93]| 죽음에 처한 {i{i{너}i}i}, 즉 떠나가는 {k{k{조율사}k}k}와는 다른, 생존하는 {i{i{너}i}i}에게 다만 무엇이 일어나는가를 설명하려는 내 노력을 훼방하는, 두 가지 어려움이 있다. 그 가운데 하나는, 물리적 영역과 모론시아 영역의 경계지점에서 생기는 진행사항에 대하여, 네가 납득할 수 있는 수준으로 적절히 표현하기가 불가능한 데 있다. 다른 하나는, {k{k{유란시아}k}k}에 대한 천상{天上}의 통치 당국이, 진리 계시자로서의 내 위원회에 부과한 제한 때문에 생긴다. 보여줄 만한 흥미 있는 내용이 많이 있지만, 나는 너희의 직속 행성 감독관들의 충고에 따라서, 그것들을 제외한다. 그러나 내게 허락된 범위 내에서 다음과 같은 정도는 말할 수 있다:
[94]| 죽음 이후에 살아남는, 실제적인 어떤 것, 인간 진화에 속하는 어떤 것, {k{k{신비}k}k} {k{k{관찰자}k}k}에게 더해지는 어떤 것이 있다. 새롭게 나타나는 이 실재는 혼이며, 그 혼은 너의 육체적인 몸과 물질 정신, 이 둘이 죽고 난 후에 살아남는다. 이 실재는 신성한 너, 즉 {k{k{조율사}k}k}와의 관계에서 인간적인 너의 결합된 생명과 노력이 공동으로 낳은 자식이다. 인간과 신성한 어버이로부터 나온 이 자식은, 이 세상에서 기원된 것 가운데 살아남는 요소를 이루며;그것은 모론시아 자아, 즉 불멸의 혼이다. 
[95]| 존속하는 의미와 생존하는 가치를 갖는 이 자식은, 죽을 때부터 다시 인격화될 때까지 전혀 의식이 없고, 기다리는 전체의 이 기간에, 스랍 운명 수호자의 보호를 받는다. 죽은 후에, {k{k{사타니아}k}k}의 맨션 세계에서 모론시아의 새로운 의식을 획득할 때까지, 너는 의식 있는 존재로서 활동하지 않을 것이다.
[96]| 죽는 순간에, 그 인간의 인격과 관련된 기능상 정체성은, 생명의 움직임이 중지됨으로 중단된다. 인간의 인격은, 그 구성 요소들을 뛰어넘지만, 기능상의 정체성을 위해서는 그 요소들에 의존한다. 생명의 중지는, 정신을 부여받는 물리적 뇌 원형{原型}을 파괴하며, 정신의 붕괴는 필사자 의식을 종결시킨다. 바로 그 인간 인격이, 살아있는 에너지와 관련돼서 다시 작용하도록 허용하게 될 시공우주 상황이 마련되기까지, 그 피조물의 의식은 그 뒤에 다시 나타나날 수 없다.
[97]| 생존하는 필사자들이 기원된 세계에서 맨션 세계로 운반되는 동안에는, 그들이 셋째 기간에 인격의 재조립을 체험하든지, 아니면 집단으로 부활할 때 상승하든지 상관없이, 인격의 본질에 대한 기록은, 천사장들의 특수 활동 세계들에서 그들 덕분에 정확하게 보존된다. 이 존재들은 (수호하는 스라빔이 혼의 보관자인 것처럼) 인격 보관자는 아니지만, 그럼에도 정체성을 확인할 수 있는 모든 인격 요소는, 필사자의 생존을 관리하는 믿을만한 이 보관인들의 보호를 받아서, 효과적으로 지켜지는 것이 사실이다. 죽음과 생존 사이에 개재돼 있는 시간 동안에 필사자의 인격이 정확하게 어디 있는지, 우리는 알지 못한다.
[98]| 다시 인격화되는 것을 가능하게 하는 상황은, 지방우주의 모론시아 영접{迎接} 행성들에 있는 부활실{復活室}에서 일어난다. 바로 생명을_조합하는 이 방들에서, 감독하는 관원들이 --모론시아적, 정신적, 및 영적-- 우주 에너지의 관계를 마련해 주며, 이것이 잠자는 생존자들을 의식을 되찾도록 만든다. 한때 물질이었던 인격의 구성 요소들을 다시 결합시키는 데는 다음과 같은 것이 포함된다:
[99]| 1. 새로 생존하는 자가 그 안에서 비영적{非靈的} 실체와 접촉할 수 있는, 그리고 시공우주 정신의 모론시아 변형이 그 안에서 순회할 수 있는, 어떤 적당한 형태, 즉 모론시아 에너지 원형의 조립.
[100]| 2. 기다리는 모론시아 피조물에게 {k{k{조율사}k}k}가 돌아옴. {k{k{조율사}k}k}는, 상승하는 너의 정체성의 영원한 수호자이며;너의 {k{k{관찰자}k}k}는, 너의 인격이 깨어날 때를 위해 창조된 모론시아 형태를, 다른 사람이 아닌 너 자신이 차지할 것을 절대로 보장한다. 그리고 {k{k{조율사}k}k}는, 너의 생존하는 자아에게 {k{k{낙원}k}k} 안내 역할을 한 번 더 수행하기 위해서, 너의 인격 재조립 시에 출현할 것이다.
[101]| 3. 다시 인격화되기에 필요한 것들이 이렇게 조립됐을 때, 잠자는 불멸의 혼의 잠재성을 보관한 스랍 수호자는, 수많은 시공우주 인격체의 도움을 받으면서, 기다리는 정신_몸 형태 위에, 그리고 그 속에, 이 모론시아 실재를 증여하며, 한편 {k{k{지존자}k}k}의 이 진화하는 자녀를 기다리는 {k{k{조율사}k}k}와 영원히 연합하도록 맡긴다. 이것이 다시 인격화하는 과정, 즉 기억, 통찰력, 및 의식{意識}--곧 정체성--의 재조립을 완성한다. 
[102]| 다시 인격화한다는 사실은, 깨어나는 인간 자아가 새롭게 분리된 시공우주 정신의 회로화 된 모론시아 국면을 붙잡는 것이다. 인격이라는 현상은, 우주 환경에 대해 자아가 반응하는 정체성이 영속하는 데 의존하며;이것은 오직 정신이라는 매개체를 통해서만 이뤄질 수 있다. 자아성은, 자아의 구성 성분인 모든 요소가 계속 변화함에도 불구하고 지속되며;그 변화는 육신의 삶에서 점진적이며;그 변화는 죽었다가 다시 인격화될 때 돌연히 일어난다. 모든 자아성(곧 인격)의 진정한 실체는, 그 구성 요소들의 끊임없는 변화 덕분으로, 우주 상황에 민감하게 활동할 수 있으며;정체 상태는 필연적 죽음에 이르러서 끝난다. 인간의 생명은, 불변하는 안정된 인격이 통합하는 생명 요소들의 끝없는 변화다. 
[103]| 이처럼 네가 {k{k{예루셈}k}k}의 맨션 세계에서 깨어날 때, 너는 몹시 변화돼 있고, 영적 변형은 대단히 클 것이며, 그래서 너의 {k{k{사고}k}k} {k{k{조율사}k}k}와 운명 수호천사가, 새 세계들에서 너의 새 생활을, 첫 세계에서 있었던 옛 생활과 아주 충분히 연결시켜 주는데, 만약 이들이 없다면, 너는 새 모론시아 의식을 너의 소생되는 예전 정체성에 대한 기억과 연결시키기에 처음에는 어려움을 겪을 것이다. 인격있는 자아성이 계속되는데도, 필사자 생애 가운데 대부분이, 처음에는 희미하고 몽롱한 꿈처럼 보일지 모른다. 그러나 시간이 지나면서 필사자의 관계가 대부분 명료해질 것이다.
[104]| {k{k{사고}k}k} {k{k{조율사}k}k}는, 오직 네 우주 생애의 일부분이고 그 생애에 필수적인 기억과 체험들만, 너를 위해서 다시 불러오고 숙달시킬 것이다. 인간 정신 속에 있는 무언가를 진화시키는 데 {k{k{조율사}k}k}가 동반자였다면, 이 가치_있는 체험들은 그 {k{k{조율사}k}k}의 영원한 의식 속에서 살아남을 것이다. 그러나 너의 과거 인생과 그 기억 가운데 많은 것들은, 영적 의미도 없고 모론시아 가치도 없기 때문에, 물질인 뇌와 함께 사라질 것이며;너를 모론시아 수준으로 가도록 다리 놨던 물질 체험 대부분은, 우주에서 어떤 목적에 더 이상 소용되지 않는 한 번의 발판으로 지나가 버릴 것이다. 그러나 인격, 그리고 인격체들 간의 관계는, 결코 발판 역할이 아니며;인격체로서 가졌던 관계들에 대한 필사자의 기억은 시공우주 가치가 있고 영속할 것이다. 맨션 세계에 가면, 짧지만 흥미로웠던 {k{k{유란시아}k}k}의 생애 동안 한때 관계를 가졌던 동역자들을 네가 알아보고, 또 그들도 너를 알 것이며, 더욱이 너는 그들을 기억하고, 그들도 너를 기억할 것이다.
[105]| {b{b{6. }b}b}{b{b{{k{k{모론시아}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{자아}k}k}}b}b}
[106]| 나비가 애벌레 단계로부터 생겨나는 것과 똑같이, 인간의 참된 인격도 맨션 세계에서 생겨나는데, 물질 육신 속에 한때 가려져 있던 상태에서 처음으로 분리되어 드러날 것이다. 지방우주에서 모론시아 생애는, 혼으로 실존하는 초기 모론시아 수준으로부터, 점진적인 영성{靈性}이 최종 모론시아 수준에 이르기까지, 인격 체제의 계속적인 향상과 상관이 있다.
[107]| 지방우주에서 사는 동안에, 너희의 모론시아 인격 형태에 관해 너희를 가르치기는 쉽지 않다. 너희는 인격을 명백히 드러낼 수 있는 모론시아 형태를 타고날 것이며, 이것은 결국 너희의 납득 수준을 넘어서는 의복이다. 그런 형태는 전적으로 실제적이지만, 너희가 지금 이해하는 물질적 질서의 에너지 양식{樣式}은 아니다. 하지만, 이것은 인간 출생지인 행성에서 너희의 물질 육체가 어떤 목적에 소용됐던 것처럼, 지방우주의 세계들에서도 동일한 목적에 소용된다. 
[108]| 어느 정도까지, 물질적 육체_형상의 모습은 인격 정체성의 성질에 민감하며;육체적 몸은 제한된 정도 내에서 인격의 타고난 본성에서 무언가를 반영한다. 모론시아 형상은 훨씬 더 그렇다. 육체의 삶에서, 필사자는 내부적으로 추할지라도 외부적으로는 아름다울지 모르지만;모론시아 생활에서는, 그리고 그것의 수준이 점차 높아짐에 따라서, 인격 형상은 내적 인격자의 본질에 따라 정비례로 변화하게 된다. 영적 수준에서는, 외부 형상과 내부 본성이 완벽하게 같아지는 지점까지 접근하기 시작하는데, 이것은 더 높은 영 수준으로 올라갈수록 더욱 완전해진다.
[109]| 모론시아 상태에서, 상승하는 필사자는, {k{k{오르본톤}k}k}의 {k{k{으뜸}k}k} {k{k{영}k}k}에 속하는 시공우주_정신 재능의 {k{k{네바돈}k}k} 개량형을 부여받는다. 필사자의 지능은, 그 자체로서는, 사라졌는데, 즉 {k{k{창조적}k}k} {k{k{영}k}k}의 분화되지 않은 정신 회로들에서 따로 떨어진, 한 집중된 우주 실재로서 존재하기를 멈췄다. 그러나 필사 정신에 있었던 의미와 가치는 소멸되지 않았다. 정신의 어떤 국면들은, 생존하는 혼 속에서 이어지며;예전의 인간 정신 속에 있었던 어떤 체험적 가치는, {k{k{조율사}k}k}로 인해 유지되며;상승하는 필사자를 최종 평가하는 데 관련된 수많은 존재는, 스라빔에서 {k{k{우주}k}k} {k{k{검열관}k}k}에 이르기까지, 그리고 아마도 이들을 지나서 {k{k{지존자}k}k}까지 그 범위가 연장되며, 이 존재들 안에 어떤 살아있는 기록과 함께, 인간 생명이 육체 속에 살았던 대로 그 인간 생활의 기록이 지방우주에 지속된다.
[110]| 피조물의 자유의사는, 정신 없이는 존재하지 못하지만, 물질 지능을 잃어버렸음에도 존속한다. 생존한 이후에 즉시 이어지는 시간 동안, 상승하는 인격체는 인간 생애에서 물려받은 성품 원형으로 말미암아, 그리고 모론시아 모타의 새롭게 나타나는 작용으로 말미암아 대체로 안내받는다. 그리고 맨소니아에서 가질 몸가짐에 관한 이 안내지침은, 모론시아 삶의 초기 단계에서, 상승하는 인격체의 충분히_성장한 의지의 표현으로서 모론시아 의지가 출현하기 전에, 만족할 수 있게 역할을 한다.
[111]| 지방우주 생애에는, 인간으로 실존할 때의 일곱 보조 정신_영에 필적할 만큼 영향을 주는 것은 하나도 없다. 이 시공우주 정신을 지방우주 지능의 창조 근원이--곧 {k{k{신성한}k}k} {k{k{사역자}k}k}가-- 변경하고 해석한 대로, 모론시아 정신은 시공우주 정신과 직접 접촉함으로써 진화해야 한다.
[112]| 필사자의 정신은, 죽기 전에는, {k{k{조율사}k}k} 현존에 관계없이 자아_의식적으로 독립돼 있으며;보조 정신은 그 정신이 작동할 수 있게 하기 위해서 오직 관련된 물질_에너지 원형이 필요하다. 그러나 모론시아 혼은 초월 보조자이므로, 물질_정신 체제를 빼앗길 때에는 {k{k{조율사}k}k} 없이 자아_의식을 유지하지 않는다. 아무튼, 이 진화하는 혼은, 예전에 관련됐던 보조 정신이 내린 결정에서 얻은 계속되는 성품을 소유하며, 이 성품은, 되돌아오는 {k{k{조율사}k}k}로 인해 원형들이 거기서 활기를 얻게 될 때 생생한 기억이 된다.
[113]| 기억이 지속한다는 것은 원래 자아성의 정체성이 유지된다는 증거이며;인격이가 연속되고 확장됨을 완벽하게 자아_의식하는 데 필수다. {k{k{조율사}k}k} 없이 상승하는 그런 필사자는, 인간의 기억을 되살리기 위해서 스랍 동역자들의 설명에 의존하며;그 외에 {k{k{영}k}k}과_융합된 필사자의 모론시아 혼은 제한받지 않는다. 기억의 원형{原型}은 혼 속에 존속하지만, 이 원형은 계속되는 기억으로서 {i{i{즉시}i}i} 스스로_깨달을 수 있게 되기 위해, 예전의 {k{k{조율사}k}k} 현존을 요구한다. {k{k{조율사}k}k}가 없는 경우에는, 생존하는 필사자가 이전{以前}의 실존에 속했던 의미와 가치를 기억하는 의식을, 다시 탐구하고 다시 배우고 다시 불러일으키는 데 상당한 시간이 요구된다. 
[114]| 생존할만한 가치가 있는 혼은, 자아성의 정체성이 전에 앉아있던 자리인 그 물질 지능의 질적 및 양적 행동과 동기를 충실히 반영한다. 진리, 아름다움, 및 선함을 선택하면서, 필사 정신은 지혜의 기질의 지시 아래서, 통합된 일곱 보조 정신_영의 보호 하에 모론시아_이전{以前}의 우주 생애를 시작한다. 그 후에, 모론시아_이전에 달성하는 일곱 궤도를 완성함에 따라서, 모론시아 정신의 재능을 보조 정신 위에 첨가함으로써, 지방우주에서 진보하는 영이전{靈以前} 생애, 즉 모론시아 생애가 시작된다.
[115]| 피조물이 자신의 출생 행성을 떠날 때, 보조체의 사역을 뒤에 남겨놓고, 오직 모론시아 지능에 의존한다. 한 상승자가 지방우주를 떠날 때, 그는 실존으로서의 영적 실존 수준을 달성했는데, 모론시아 수준을 넘어섰기 때문이다. 새롭게 나타나는 이 영적 실재는, 그때 {k{k{오르본톤}k}k} 시공우주 정신이 직접 베푸는 사역에 맞춰진다.
[116]| {b{b{7. }b}b}{b{b{{k{k{조율사}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{융합}k}k}}b}b}
[117]| {k{k{사고}k}k} {k{k{조율사}k}k}와 융합하는 것은 인격에게 영원한 실재들을 부여하는데, 이것들은 그 전에는 잠재했을 뿐이다. 새로 부여받은 이 재능 가운데 언급해도 좋은 것은:신성 자질이 정착됨, 과거_영원의 체험과 기억, 불멸성, 그리고 제한된 잠재 절대성의 한 국면이다.
[118]| 네가 일시적 형체를 입고 땅에서 사는 과정이 끝났을 때, 너는 더 나은 세계의 기슭에서 깨날 것이며, 결국 영원한 품속에서 너의 신실한 {k{k{조율사}k}k}와 결합할 것이다. 그리고 이 융합은, {k{k{하나님}k}k}과 사람을 하나로 만드는 신비, 즉 유한한 피조물이 진화하는 신비를 구성하지만, 이것은 영원토록 진실이다. 융합은 신성시되는 {k{k{어센딩톤}k}k} 구체의 비밀이며, {k{k{신격}k}k}의 영과 융합되는 체험을 했던 자들 이외에는 어떤 피조물도, 시간세계의 피조물의 정체성이 {k{k{낙원}k}k} {k{k{신격}k}k}의 영과 영원히 하나 되는 때에 결합되는 그 실제 가치의 진정한 의미를 납득하지 못한다. 
[119]| {k{k{조율사}k}k}와 융합하는 일은 대개, 상승하는 자가 지역 체계에 거주하는 동안 이뤄진다. 융합은 출생한 행성에서 자연사{自然死}를 초월하는 것으로서 일어날 수 있으며;맨션 세계들 가운데 하나에서 또는 체계 본부에서 발생할 수 있으며;심지어 성좌에 머무는 시간까지 연기될 수도 있으며;또는 특별한 경우에, 상승자가 지방우주 본부에 있을 때까지도 이뤄지지 않을지도 모른다.
[120]| {k{k{조율사}k}k}와 융합하는 일이 이뤄지면, 그런 인격체의 영원한 생애에 더 이상의 위험은 없다. 천상{天上}의 존재들은 오랜 동안의 체험을 통해서 검사 받지만, 필사자들은 진화하는 세계와 모론시아 세계들에서 비교적 짧고 집약된 시험을 거친다.
[121]| {k{k{조율사}k}k}와 융합하는 것은, 그 인간 본성이 영원한 경력을 위해서 최종적이고 변경할 수 없는 선택을 내렸다고, 초우주가 명령을 내릴 때까지는 결코 일어나지 않는다. 이것은 하나_됨을 공인{公認}하는 것이고, 공인이 이뤄질 때, 융합된 인격체가 결국 지방우주의 경계를 벗어나서, 언젠가 연방우주 본부까지 나아가게 하는 출국허가이며, 시간세계의 순례자는 연방우주 본부로부터, 먼 훗날에, {k{k{하보나}k}k} 중앙우주와 {k{k{신격}k}k}을 만나는 모험을 떠나도록, 오랜 비행을 위해서 제2스라빔에 둘러싸인다.
[122]| 자아성은, 진화 세계에서는 물질이며;우주에서는 한 사물이고, 그런 상태로 물질 실존의 법칙에 종속된다. 자아성은 시간세계에서 하나의 사실이며 그 변천에 민감하다. {i{i{생존하려는}i}i} {i{i{결정은}i}i} {i{i{여기서}i}i} {i{i{형성돼야}i}i} {i{i{한다}i}i}. 모론시아 상태에서, 자아는 새롭고 더 영구적인 우주 실체가 됐고, 자아의 계속되는 성장은 우주들의 정신 회로와 영 회로에 점점 더 맞춰짐에 따라 이뤄진다. {i{i{생존하려는}i}i} {i{i{결정이}i}i} {i{i{이제}i}i} {i{i{확인되고}i}i} {i{i{있다}i}i}. 자아가 영적 수준에 도달할 때, 자아는 우주에서 확고한 가치가 됐고, 이 새로운 가치는 {i{i{생존하려는}i}i} {i{i{결정이}i}i} {i{i{내려졌다}i}i}는 사실에 입각하는데, 이 사실은 {k{k{사고}k}k} {k{k{조율사}k}k}와 영원히 융합함으로써 입증됐다. 그리고 참된 우주 가치를 지닌 신분을 획득했으므로, 그 피조물은 가장 높은 우주 가치를--곧 {k{k{하나님}k}k}을-- 찾을 수 있는 잠재력을 갖고 해방된다.
[123]| 그런 융합된 존재들의 우주 반응은 이중적인데:스라빔과 아주 다르지 않은, 분리된 모론시아 개체들이며, 또한 잠재적으로는 {k{k{낙원}k}k}의 완결성취자 계층과 비슷하다.
[124]| 그러나 융합된 개인은 정말로 한 인격이고, 한 존재인데, 이렇게 하나 된 것을 우주에서 어떤 지성체든지 분석하려고 해도 시도조차 허용하지 않는다. 그래서, 지방우주 법정을 가장 낮은 곳부터 가장 높은 곳까지 거치면서, 그 중에 어떤 것도, 사람 또는 {k{k{조율사}k}k}를 서로 별개의 것으로서 확인할 수 없었으며, 마침내 너희는, 지방우주의 {k{k{아버지}k}k}이신 {k{k{네바돈}k}k} {k{k{주권자}k}k} 앞으로 안내될 것이다. 그리고 너희는 거기서, 창조하는 아버지 신분으로, 이 시간 우주에서 너희의 생명이라는 그 사실을 가능하게 했던 바로 그 존재의 손에서, 그 신임장을 수여 받게 될 것이고, 이것은 결국 {k{k{만유의}k}k} {k{k{아버지}k}k}를 찾는 너희의 연방우주 생애로 나아갈 수 있는 자격을 너희에게 준다. 
[125]| 승리한 {k{k{조율사}k}k}가 인류에게 숭고하게 봉사함으로 인격을 획득했는가, 아니면 용맹스런 인간이 {k{k{조율사}k}k}처럼 되고자 진정으로 노력함으로써 불멸성{不滅性}을 획득했는가? 둘 다 아니지만;그들은 {k{k{지존자}k}k}에게 속하는 상승하는 인격체들 중에서 한 독특한 계층의 회원으로서 진화{進化}를 함께 성취해 왔고, 그는 쓸모 있고, 충실하고, 유능하다는 것이 언제라도 발견될 것이며, 그는 더욱 성장하고 발전할만한 후보자인데, {k{k{하보나}k}k}의 일곱 회로를 거치고, 한때 땅에서 기원된 혼이, {k{k{낙원}k}k}에 계신 {k{k{아버지}k}k}의 실제 인격을 경건하게 인식하면서 서 있게 될 때까지, 언제나 위로 향하는 숭고한 상승을 멈추지 않는다. 
[126]| 이 엄청난 상승 내내, {k{k{사고}k}k} {k{k{조율사}k}k}는, 상승하는 필사자를 미래에 완전히 영적으로 안정시킨다는 신성한 보증이다. 그동안에 필사자에게 현존하는 자유의지가, {k{k{조율사}k}k}에게 신성하고 무한한 본성을 해방시키는 영원한 경로를 제공할 것이다. 이제 이 두 정체성이 하나가 됐으며;시간 또는 영원 속에서 어떤 사건도, 사람과 {k{k{조율사}k}k}를 분리하지 못할 것이며;그들은 분리될 수 없고, 영원히 융합됐다.
[127]| {k{k{조율사}k}k}와_융합하는 세계에서, {k{k{신비}k}k} {k{k{관찰자}k}k}의 운명은, 상승하는 필사자의 운명과--곧 {k{k{낙원}k}k} {k{k{완결성취}k}k} {k{k{단체}k}k}와-- 일치한다. 그리고 {k{k{조율사}k}k}뿐 아니라 필사자도, 상대방의 전적인 협동과 신실한 도움 없이는 독특한 그 목표를 달성할 수 없다. 이 특이한 동업관계는, 이 우주 시대의 모든 시공우주 현상 중에서 가장 마음을 사로잡고 놀라게 하는 것 가운데 하나다.
[128]| {k{k{조율사}k}k}와 융합할 때부터, 상승자의 신분은 진화하는 피조물의 신분이다. 인간 구성원이 맨 먼저 인격을 누렸으며, 따라서 인격체를 감지하는 데 관련된 모든 문제에서 {k{k{조율사}k}k}보다 우위에 있다. 이 융합된 존재의 {k{k{낙원}k}k} 본부는 {k{k{디비닝톤}k}k}이 아니라 {k{k{어센딩톤}k}k}이며, {k{k{하나님}k}k}과 사람의 이 독특한 조합은, {k{k{완결성취}k}k} {k{k{단체}k}k}에 이르기까지 내내, 상승하는 필사자로서 분류된다.
[129]| {k{k{조율사}k}k}가 상승하는 필사자와 일단 융합하고 나면, 그 {k{k{조율사}k}k}의 번호는 연방우주의 기록에서 삭제된다. {k{k{디비닝톤}k}k}의 기록에 무엇이 일어나는지 나는 알지 못하지만, 추측컨대, 그 {k{k{조율사}k}k}의 등록부는 {k{k{완결성취}k}k} {k{k{단체}k}k}의 대리 우두머리인 {k{k{그랜환다}k}k}의 내부 법정에 있는 비밀 궤도들로 옮겨진다. 
[130]| {k{k{조율사}k}k} 융합과 동시에, {k{k{만유의}k}k} {k{k{아버지}k}k}는 물질적으로 창조한 피조물에게 자신을 선물로 주겠다는 약속을 완성하시며;신성{神性}을 인간성에게 영원히 증여한다는 약속을 모두 이루고, 그 계획을 완료하시게 된다. 이처럼 사실이 된, {k{k{하나님}k}k}과의 숭고한 동반자적 관계에 내재된 무한한 가능성을 실현하고 현실화시키려는 인간의 시도가 이제 시작된다.
